Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9316173028,-0.337483,-1.542779,0.348305
9316223642,-0.337657,-1.533585,0.357611
9316274255,-0.347715,-1.552053,0.338897
9316324861,-0.327236,-1.523937,0.330204
9316375470,-0.347939,-1.533469,0.339099
9316426084,-0.326974,-1.542655,0.348398
9316476694,-0.316707,-1.542704,0.357711
9316527299,-0.327044,-1.542609,0.339204
9316577910,-0.327356,-1.524134,0.348613
9316628526,-0.316588,-1.542506,0.339301
9316679135,-0.326992,-1.542588,0.339200
9316729751,-0.337344,-1.552060,0.348201
9316780369,-0.337483,-1.542779,0.348305
9316830978,-0.347855,-1.542772,0.339000
9316881593,-0.347715,-1.552053,0.338897
9316932208,-0.337276,-1.551884,0.329796
9316982820,-0.327096,-1.542630,0.339208
9317033430,-0.337449,-1.542690,0.339102
9317084046,-0.347884,-1.533448,0.339095
9317134664,-0.358343,-1.533551,0.338997
9317185286,-0.337449,-1.542690,0.339102
9317235912,-0.337535,-1.533388,0.339201
9317286525,-0.347765,-1.542662,0.329793
9317337138,-0.337449,-1.542690,0.339102
9317387749,-0.368839,-1.533741,0.348103
9317438356,-0.368839,-1.533741,0.348103
9317488963,-0.379660,-1.515613,0.385019
9317539583,-0.400955,-1.497742,0.440239
9317590196,-0.401889,-1.461588,0.541883
9317640807,-0.434804,-1.379446,0.662144
9317691413,-0.467440,-1.315867,0.782199
9317742029,-0.469247,-1.223949,0.875276
9317792636,-0.511831,-1.159629,0.912373
9317843242,-0.585284,-1.123250,0.930478
9317893856,-0.595675,-1.123079,0.902784
9317944465,-0.574431,-1.141290,0.884360
9317995072,-0.573528,-1.196388,0.819349
9318045684,-0.560991,-1.297065,0.680258
9318096292,-0.590316,-1.379413,0.531769
9318146912,-0.609351,-1.442268,0.291577
9318197520,-0.629170,-1.430235,-0.012216
9318248123,-0.629194,-1.353403,-0.278262
9318298732,-0.651747,-1.193942,-0.469977
9318349343,-0.643224,-1.024947,-0.661290
9318399957,-0.676892,-0.829554,-0.733012
9318450568,-0.710368,-0.681123,-0.750088
9318501180,-0.732184,-0.607031,-0.749446
9318551793,-0.722166,-0.588388,-0.749156
9318602402,-0.721086,-0.662730,-0.740780
9318653003,-0.719101,-0.802218,-0.714722
9318703614,-0.696058,-0.979211,-0.633674
9318754217,-0.683173,-1.175697,-0.460860
9318804825,-0.671326,-1.345419,-0.177337
9318855430,-0.640374,-1.413324,0.153539
9318906041,-0.610353,-1.406290,0.411627
9318956649,-0.570460,-1.342936,0.615220
