Timestamp (us),W Element,X Element,Y Element,Z Element
9316148342,0.513287,0.851538,-0.058605,0.090704
9316150838,0.513276,0.851540,-0.058637,0.090733
9316153334,0.513264,0.851542,-0.058673,0.090759
9316155829,0.513252,0.851544,-0.058713,0.090783
9316158325,0.513240,0.851546,-0.058756,0.090806
9316160821,0.513228,0.851547,-0.058803,0.090826
9316163317,0.513214,0.851550,-0.058854,0.090845
9316165812,0.513197,0.851556,-0.058908,0.090857
9316168308,0.513179,0.851561,-0.058964,0.090868
9316170804,0.513162,0.851566,-0.059021,0.090880
9316173300,0.513146,0.851570,-0.059073,0.090899
9316175796,0.513131,0.851574,-0.059123,0.090916
9316178291,0.513120,0.851575,-0.059174,0.090933
9316180787,0.513112,0.851575,-0.059225,0.090951
9316183283,0.513108,0.851572,-0.059275,0.090972
9316185779,0.513105,0.851568,-0.059320,0.090995
9316188275,0.513105,0.851562,-0.059361,0.091022
9316190770,0.513107,0.851555,-0.059395,0.091050
9316193266,0.513111,0.851548,-0.059425,0.091078
9316195762,0.513121,0.851537,-0.059454,0.091106
9316198258,0.513136,0.851523,-0.059481,0.091134
9316200754,0.513155,0.851506,-0.059507,0.091163
9316203249,0.513176,0.851489,-0.059531,0.091196
9316205745,0.513199,0.851470,-0.059552,0.091228
9316208241,0.513224,0.851450,-0.059570,0.091259
9316210737,0.513251,0.851429,-0.059587,0.091292
9316213232,0.513281,0.851407,-0.059605,0.091326
9316215728,0.513310,0.851384,-0.059623,0.091360
9316218224,0.513338,0.851363,-0.059642,0.091390
9316220719,0.513367,0.851341,-0.059663,0.091413
9316223215,0.513398,0.851319,-0.059683,0.091430
9316225711,0.513429,0.851298,-0.059704,0.091441
9316228207,0.513458,0.851278,-0.059725,0.091452
9316230703,0.513485,0.851259,-0.059744,0.091462
9316233198,0.513511,0.851241,-0.059762,0.091472
9316235694,0.513533,0.851226,-0.059780,0.091479
9316238190,0.513552,0.851213,-0.059798,0.091482
9316240686,0.513567,0.851202,-0.059814,0.091481
9316243182,0.513578,0.851195,-0.059830,0.091478
9316245677,0.513587,0.851189,-0.059846,0.091472
9316248173,0.513593,0.851185,-0.059862,0.091461
9316250669,0.513598,0.851183,-0.059880,0.091444
9316253165,0.513602,0.851182,-0.059901,0.091425
9316255669,0.513603,0.851182,-0.059920,0.091403
9316258156,0.513600,0.851184,-0.059940,0.091381
9316260652,0.513594,0.851189,-0.059960,0.091362
9316263148,0.513586,0.851194,-0.059979,0.091344
9316265644,0.513576,0.851201,-0.059997,0.091326
9316268139,0.513565,0.851209,-0.060013,0.091304
9316270635,0.513553,0.851217,-0.060026,0.091281
9316273131,0.513541,0.851226,-0.060037,0.091258
9316275627,0.513533,0.851233,-0.060053,0.091228
9316278122,0.513526,0.851240,-0.060067,0.091200
9316280618,0.513519,0.851246,-0.060080,0.091171
9316283114,0.513512,0.851252,-0.060088,0.091143
9316285610,0.513506,0.851259,-0.060094,0.091115
9316288105,0.513501,0.851264,-0.060097,0.091089
9316290601,0.513495,0.851270,-0.060099,0.091061
9316293097,0.513491,0.851276,-0.060100,0.091035
9316295593,0.513489,0.851279,-0.060102,0.091012
9316298088,0.513489,0.851282,-0.060105,0.090990
9316300584,0.513490,0.851283,-0.060108,0.090968
9316303080,0.513496,0.851282,-0.060110,0.090944
9316305576,0.513501,0.851281,-0.060111,0.090921
9316308071,0.513505,0.851281,-0.060114,0.090898
9316310567,0.513506,0.851282,-0.060120,0.090875
9316313063,0.513510,0.851282,-0.060124,0.090851
9316315559,0.513516,0.851281,-0.060129,0.090826
9316318054,0.513523,0.851279,-0.060133,0.090802
9316320550,0.513532,0.851276,-0.060136,0.090779
