Timestamp (us),Percentage (%),Power (dBm)
9316560498,72.000000,-64.000000
9317551081,72.000000,-64.000000
9318551931,80.000000,-60.000000
9319560537,82.000000,-59.000000
9320563740,78.000000,-61.000000
9321564285,72.000000,-64.000000
9322551627,80.000000,-60.000000
9323551465,68.000000,-66.000000
9324561723,86.000000,-57.000000
9325560614,76.000000,-62.000000
9326560627,78.000000,-61.000000
9327566637,78.000000,-61.000000
9328554971,92.000000,-54.000000
9329554704,76.000000,-62.000000
9330560678,74.000000,-63.000000
9331560711,82.000000,-59.000000
9332560683,92.000000,-54.000000
9333558999,88.000000,-56.000000
9334562301,92.000000,-54.000000
9335568091,74.000000,-63.000000
9336560765,100.000000,-50.000000
9337559014,100.000000,-50.000000
9338565495,96.000000,-52.000000
9339561308,92.000000,-54.000000
9340557122,94.000000,-53.000000
9341552938,100.000000,-50.000000
9342556240,100.000000,-50.000000
9343564810,96.000000,-52.000000
9344552858,94.000000,-53.000000
9345560870,100.000000,-50.000000
9346556964,90.000000,-55.000000
9347564376,86.000000,-57.000000
9348561105,88.000000,-56.000000
9349559382,94.000000,-53.000000
9350565177,76.000000,-62.000000
9351558949,76.000000,-62.000000
9352559305,80.000000,-60.000000
9353557610,80.000000,-60.000000
9354558414,90.000000,-55.000000
9355554242,82.000000,-59.000000
9356555030,78.000000,-61.000000
9357550872,84.000000,-58.000000
9358556641,80.000000,-60.000000
9359552618,86.000000,-57.000000
9360565702,76.000000,-62.000000
9361556076,82.000000,-59.000000
9362554864,98.000000,-51.000000
9363555667,96.000000,-52.000000
9364558591,96.000000,-52.000000
9365554780,100.000000,-50.000000
9366553087,96.000000,-52.000000
9367563106,96.000000,-52.000000
9368559722,100.000000,-49.000000
9369555537,92.000000,-54.000000
9370563818,100.000000,-50.000000
9371557105,96.000000,-52.000000
9372552928,96.000000,-52.000000
9373556231,96.000000,-52.000000
9374554523,90.000000,-55.000000
9375552830,88.000000,-56.000000
9376557771,82.000000,-59.000000
9377561279,82.000000,-59.000000
9378557734,76.000000,-62.000000
9379562677,76.000000,-62.000000
9380561330,80.000000,-60.000000
9381555163,84.000000,-58.000000
9382565932,86.000000,-57.000000
9383563487,78.000000,-61.000000
9384567536,84.000000,-58.000000
9385560850,82.000000,-59.000000
9386561395,70.000000,-65.000000
9387549974,72.000000,-64.000000
9388558279,100.000000,-50.000000
9389556584,94.000000,-53.000000
9390554874,100.000000,-50.000000
9391553182,98.000000,-51.000000
9392563981,94.000000,-53.000000
9393557296,96.000000,-52.000000
9394568062,92.000000,-54.000000
9395561510,98.000000,-51.000000
9396572161,100.000000,-50.000000
9397556398,94.000000,-53.000000
9398556293,100.000000,-50.000000
9399552101,86.000000,-57.000000
9400561845,94.000000,-53.000000
9401557885,84.000000,-58.000000
9402556998,86.000000,-57.000000
9403560294,80.000000,-60.000000
9404566086,84.000000,-58.000000
9405559398,76.000000,-62.000000
9406562722,78.000000,-61.000000
9407552323,82.000000,-59.000000
9408563493,80.000000,-60.000000
9409567588,82.000000,-59.000000
9410573391,80.000000,-60.000000
9411551717,76.000000,-62.000000
9412560003,82.000000,-59.000000
9413561740,72.000000,-64.000000
9414561753,82.000000,-59.000000
9415554915,98.000000,-51.000000
9416550738,94.000000,-53.000000
