Timestamp (us),Temperature (degC)
9316502740,39.750000
9317501050,39.750000
9318499359,39.750000
9319497667,39.750000
9320495977,39.750000
9321494287,39.750000
9322492594,39.750000
9323490904,39.750000
9324489214,39.750000
9325487521,39.750000
9326485831,39.750000
9327484142,39.750000
9328482450,39.750000
9329480761,39.750000
9330479070,39.750000
9331477379,39.750000
9332475691,39.750000
9333474000,39.750000
9334472309,39.750000
9335470618,39.750000
9336468929,39.750000
9337467238,39.750000
9338465550,39.750000
9339463859,39.750000
9340462167,39.750000
9341460477,39.750000
9342458788,39.750000
9343457097,39.750000
9344455406,39.750000
9345453717,39.750000
9346452027,39.750000
9347450335,39.750000
9348448645,39.750000
9349446956,39.750000
9350445263,39.750000
9351443573,39.750000
9352441884,39.650002
9353440191,39.674999
9354438500,39.750000
9355436810,39.750000
9356435118,39.750000
9357433426,39.750000
9358431736,39.700001
9359430043,39.625000
9360428351,39.750000
9361426661,39.650002
9362424967,39.674999
9363423275,39.724998
9364421585,39.625000
9365419893,39.750000
9366418199,39.750000
9367416509,39.700001
9368414815,39.625000
9369413123,39.750000
9370411432,39.750000
9371409738,39.700001
9372408045,39.625000
9373406354,39.625000
9374404660,39.625000
9375402968,39.625000
9376401273,39.625000
9377399580,39.625000
9378397888,39.625000
9379396193,39.625000
9380394500,39.625000
9381392807,39.625000
9382391112,39.625000
9383389418,39.625000
9384387725,39.625000
9385386030,39.625000
9386384337,39.625000
9387382641,39.500000
9388380947,39.500000
9389379255,39.549999
9390377559,39.625000
9391375866,39.625000
9392374170,39.625000
9393372476,39.549999
9394370782,39.500000
9395369086,39.500000
9396367392,39.625000
9397365696,39.525002
9398364001,39.500000
9399362308,39.500000
9400360611,39.500000
9401358916,39.500000
9402357222,39.575001
9403355525,39.575001
9404353831,39.500000
9405352134,39.500000
9406350437,39.500000
9407348742,39.500000
9408347046,39.525002
9409345349,39.625000
9410343653,39.500000
9411341958,39.500000
9412340260,39.500000
9413338564,39.500000
9414336870,39.500000
9415335172,39.500000
9416333475,39.500000
