Timestamp (us),Percentage (%),Voltage (V),Charging Status
9317084171,74.231308,3.742313,0.000000
9318084701,74.227280,3.742273,0.000000
9319085232,74.220566,3.742206,0.000000
9320085764,74.219231,3.742193,0.000000
9321086312,74.220566,3.742206,0.000000
9322086843,74.204460,3.742044,0.000000
9323087373,74.192375,3.741924,0.000000
9324087903,74.217880,3.742179,0.000000
9325088433,74.185654,3.741856,0.000000
9326088963,74.195061,3.741951,0.000000
9327089493,74.176254,3.741763,0.000000
9328090023,74.180290,3.741803,0.000000
9329090553,74.186996,3.741870,0.000000
9330091097,74.185669,3.741857,0.000000
9331091627,74.157471,3.741575,0.000000
9332092157,74.195068,3.741951,0.000000
9333092687,74.188339,3.741884,0.000000
9334093237,74.168198,3.741682,0.000000
9335093767,74.127914,3.741279,0.000000
9336094297,74.135971,3.741360,0.000000
9337094829,74.174911,3.741749,0.000000
9338095358,74.165512,3.741655,0.000000
9339095906,74.142693,3.741427,0.000000
9340096436,74.122543,3.741225,0.000000
9341096966,74.145370,3.741454,0.000000
9342097496,74.123886,3.741239,0.000000
9343098027,74.144028,3.741440,0.000000
9344098571,74.123886,3.741239,0.000000
9345099101,74.125229,3.741252,0.000000
9346099633,74.107773,3.741078,0.000000
9347100163,74.114487,3.741145,0.000000
9348100714,74.088974,3.740890,0.000000
9349101245,74.101059,3.741011,0.000000
9350101775,74.091660,3.740916,0.000000
9351102306,74.063461,3.740634,0.000000
9352102837,74.087631,3.740876,0.000000
9353103374,74.098373,3.740983,0.000000
9354103905,74.091660,3.740916,0.000000
9355104435,74.075546,3.740756,0.000000
9356104965,74.056747,3.740567,0.000000
9357105512,74.093010,3.740930,0.000000
9358106042,74.063454,3.740634,0.000000
9359106572,74.066147,3.740661,0.000000
9360107104,74.052719,3.740527,0.000000
9361107635,74.063469,3.740634,0.000000
9362108174,74.052719,3.740527,0.000000
9363108705,74.024521,3.740245,0.000000
9364109237,74.004379,3.740044,0.000000
9365109768,74.031227,3.740312,0.000000
9366110299,74.029884,3.740299,0.000000
9367110830,74.025871,3.740259,0.000000
9368111359,74.067490,3.740675,0.000000
9369112681,74.021835,3.740218,0.000000
9370113211,74.041977,3.740420,0.000000
9371113754,74.040634,3.740406,0.000000
9372114284,74.025864,3.740258,0.000000
9373114815,74.029892,3.740299,0.000000
9374115346,74.019150,3.740192,0.000000
9375115878,74.020485,3.740205,0.000000
9376116408,73.997665,3.739976,0.000000
9377116939,73.982895,3.739829,0.000000
9378117469,73.984238,3.739843,0.000000
9379117998,73.994980,3.739950,0.000000
9380118528,73.960068,3.739601,0.000000
9381119058,73.968124,3.739681,0.000000
9382119589,73.961411,3.739614,0.000000
9383120119,73.981552,3.739815,0.000000
9384120649,73.980209,3.739802,0.000000
9385121180,73.976181,3.739762,0.000000
9386121711,73.970810,3.739708,0.000000
9387122241,73.964088,3.739641,0.000000
9388122772,73.946640,3.739466,0.000000
9389123302,73.966782,3.739668,0.000000
9390123833,73.943954,3.739439,0.000000
9391124365,73.937241,3.739372,0.000000
9392124896,73.933220,3.739332,0.000000
9393125428,73.953346,3.739533,0.000000
9394125958,73.910385,3.739104,0.000000
9395126490,73.941269,3.739413,0.000000
9396127020,73.938583,3.739386,0.000000
9397127550,73.899643,3.738997,0.000000
9398128080,73.956047,3.739561,0.000000
9399128610,73.902328,3.739023,0.000000
9400129140,73.913071,3.739131,0.000000
9401129672,73.929184,3.739292,0.000000
9402130201,73.880844,3.738808,0.000000
9403130731,73.874138,3.738741,0.000000
9404131265,73.888901,3.738889,0.000000
9405131796,73.862045,3.738621,0.000000
9406132326,73.847275,3.738473,0.000000
9407132856,73.863388,3.738634,0.000000
9408133419,73.849960,3.738500,0.000000
9409133949,73.862045,3.738621,0.000000
9410134479,73.853989,3.738540,0.000000
9411135009,73.844589,3.738446,0.000000
9412135540,73.863388,3.738634,0.000000
9413136072,73.837875,3.738379,0.000000
9414136603,73.817726,3.738178,0.000000
9415137135,73.827133,3.738271,0.000000
9416137666,73.839211,3.738392,0.000000
