Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9316136846,0.240051,0.710329,0.221502
9316156486,0.338051,0.710329,0.270502
9316176127,0.289051,0.710329,0.270502
9316195769,0.240051,0.808329,0.221502
9316215409,0.338051,0.710329,0.319502
9316235048,0.191051,0.808329,0.221502
9316254688,0.240051,0.808329,0.319502
9316274327,0.240051,0.759329,0.221502
9316293968,0.191051,0.710329,0.221502
9316313610,0.240051,0.759329,0.172502
9316333252,0.240051,0.808329,0.221502
9316352892,0.289051,0.661329,0.221502
9316372533,0.240051,0.710329,0.270502
9316392174,0.289051,0.661329,0.221502
9316411814,0.289051,0.710329,0.319502
9316431455,0.240051,0.808329,0.270502
9316451095,0.338051,0.710329,0.270502
9316470736,0.338051,0.808329,0.319502
9316490376,0.387051,0.759329,0.270502
9316510015,0.338051,0.808329,0.319502
9316529657,0.289051,0.710329,0.221502
9316549303,0.240051,0.710329,0.221502
9316568942,0.338051,0.808329,0.270502
9316588585,0.289051,0.808329,0.172502
9316608229,0.289051,0.759329,0.270502
9316627873,0.289051,0.759329,0.270502
9316647515,0.240051,0.759329,0.270502
9316667157,0.289051,0.808329,0.221502
9316686799,0.338051,0.710329,0.319502
9316706443,0.240051,0.808329,0.270502
9316726085,0.387051,0.759329,0.221502
9316745728,0.289051,0.759329,0.319502
9316765371,0.289051,0.808329,0.221502
9316785013,0.240051,0.759329,0.221502
9316804656,0.289051,0.808329,0.172502
9316824300,0.289051,0.759329,0.221502
9316843943,0.240051,0.710329,0.270502
9316863585,0.289051,0.759329,0.270502
9316883227,0.338051,0.710329,0.319502
9316902868,0.240051,0.710329,0.172502
9316922512,0.338051,0.759329,0.221502
9316942155,0.289051,0.661329,0.270502
9316961798,0.240051,0.710329,0.221502
9316981443,0.289051,0.808329,0.270502
9317001087,0.289051,0.710329,0.368502
9317020730,0.240051,0.759329,0.319502
9317040373,0.191051,0.759329,0.172502
9317060016,0.240051,0.710329,0.270502
9317079657,0.240051,0.759329,0.172502
9317099299,0.240051,0.759329,0.270502
9317118941,0.289051,0.759329,0.319502
9317138582,0.240051,0.759329,0.270502
9317158222,0.338051,0.759329,0.221502
9317177864,0.240051,0.759329,0.319502
9317197512,0.289051,0.759329,0.270502
9317217150,0.240051,0.759329,0.221502
9317236792,0.240051,0.759329,0.319502
9317256435,0.289051,0.808329,0.319502
9317276077,0.240051,0.808329,0.221502
9317295720,0.289051,0.759329,0.221502
9317315363,0.289051,0.661329,0.172502
9317335006,0.240051,0.808329,0.172502
9317354648,0.191051,0.759329,0.270502
9317374292,0.289051,0.759329,0.270502
9317393934,0.289051,0.710329,0.221502
9317413577,0.338051,0.759329,0.319502
9317433221,0.289051,0.710329,0.221502
9317452864,0.240051,0.710329,0.319502
9317472506,0.289051,0.759329,0.221502
9317492151,0.289051,0.661329,0.172502
9317511795,0.240051,0.857329,0.270502
9317531438,0.240051,0.857329,0.270502
9317551082,0.240051,0.759329,0.221502
9317570724,0.338051,0.808329,0.221502
9317590364,0.191051,0.808329,0.221502
9317610007,0.387051,0.710329,0.221502
9317629649,0.289051,0.759329,0.221502
9317649291,0.289051,0.808329,0.221502
9317668934,0.289051,0.808329,0.172502
9317688578,0.289051,0.661329,0.221502
9317708221,0.240051,0.857329,0.172502
9317727863,0.289051,0.808329,0.221502
9317747504,0.240051,0.759329,0.221502
9317767145,0.240051,0.808329,0.221502
9317786788,0.240051,0.759329,0.172502
9317806431,0.289051,0.808329,0.172502
9317826071,0.338051,0.759329,0.221502
9317845713,0.289051,0.759329,0.221502
9317865355,0.240051,0.759329,0.221502
9317884996,0.240051,0.857329,0.172502
9317904637,0.289051,0.857329,0.172502
9317924279,0.240051,0.759329,0.319502
9317943922,0.191051,0.759329,0.221502
9317963564,0.289051,0.759329,0.270502
9317983206,0.338051,0.710329,0.270502
9318002849,0.289051,0.808329,0.319502
9318022490,0.289051,0.759329,0.221502
9318042132,0.240051,0.661329,0.221502
9318061775,0.289051,0.759329,0.319502
9318081418,0.289051,0.710329,0.221502
9318101061,0.289051,0.759329,0.319502
9318120705,0.338051,0.710329,0.368502
