Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9316118820,0.641430,-0.245556,-0.095540,0.280667,0.779899,0.557675
9316121323,0.580815,-0.184675,-0.156618,0.274797,0.775591,0.558305
9316123826,0.519960,-0.245356,-0.156370,0.271924,0.774905,0.554620
9316126328,0.520066,-0.184130,-0.096100,0.271136,0.779264,0.564130
9316128831,0.520183,-0.123200,-0.096451,0.269732,0.780746,0.561207
9316131334,0.459434,-0.122654,-0.035933,0.279204,0.781369,0.559859
9316133836,0.459434,-0.122654,-0.035933,0.279188,0.780638,0.560582
9316136340,0.459318,-0.183584,-0.035581,0.276951,0.777742,0.562723
9316138843,0.398578,-0.183336,-0.035685,0.278405,0.776998,0.562004
9316141346,0.277099,-0.182839,-0.035893,0.276258,0.777758,0.559798
9316143849,0.216359,-0.182590,-0.035997,0.271945,0.781455,0.559049
9316146351,0.277099,-0.182839,-0.035893,0.274860,0.782878,0.559822
9316148854,0.337847,-0.183384,-0.096412,0.272696,0.782907,0.558339
9316151357,0.459336,-0.184178,-0.156826,0.274060,0.779234,0.562703
9316153859,0.459220,-0.245108,-0.156474,0.275496,0.779941,0.564913
9316156362,0.459336,-0.184178,-0.156826,0.276950,0.778469,0.563459
9316158865,0.398712,-0.122999,-0.157282,0.273365,0.781431,0.561983
9316161367,0.337954,-0.122157,-0.036141,0.273350,0.779246,0.561236
9316163870,0.338071,-0.061228,-0.036493,0.274861,0.781423,0.558352
9316166373,0.398810,-0.061476,-0.036389,0.274869,0.782152,0.558358
9316168876,0.399042,0.060384,-0.037093,0.274787,0.778498,0.561976
9316171378,0.398926,-0.000546,-0.036741,0.269692,0.777828,0.561914
9316173881,0.398926,-0.000546,-0.036741,0.271145,0.778539,0.562665
9316176384,0.398926,-0.000546,-0.036741,0.274034,0.779956,0.565626
9316178886,0.398810,-0.061476,-0.036389,0.276959,0.778471,0.562729
9316181389,0.398801,-0.061179,0.024233,0.276254,0.783576,0.565680
9316183892,0.398801,-0.061179,0.024233,0.274018,0.778498,0.565615
9316186394,0.338052,-0.060634,0.084751,0.274101,0.779970,0.559791
9316188897,0.216805,0.061723,0.083840,0.274885,0.782883,0.557634
9316191400,0.156191,0.122604,0.022762,0.272664,0.780718,0.559051
9316193902,0.217046,0.183286,0.022514,0.270476,0.780014,0.559021
9316196405,0.277893,0.244264,0.082888,0.269733,0.780019,0.560472
9316198908,0.278000,0.305490,0.143159,0.275505,0.779215,0.563448
9316201410,0.338614,0.244609,0.204237,0.280623,0.782072,0.563528
9316203913,0.338391,0.122452,0.144318,0.279172,0.779180,0.560571
9316206416,0.398899,0.000344,0.145126,0.275512,0.780671,0.564189
9316208918,0.398676,-0.121812,0.085207,0.275496,0.779941,0.564913
