Timestamp (us),Percentage (%),Power (dBm)
9316847204,72.000000,-64.000000
9317833264,76.000000,-62.000000
9318836843,80.000000,-60.000000
9319847965,82.000000,-59.000000
9320841500,82.000000,-59.000000
9321835100,80.000000,-60.000000
9322834622,76.000000,-62.000000
9323847266,92.000000,-54.000000
9324838331,80.000000,-60.000000
9325839603,86.000000,-57.000000
9326835448,74.000000,-63.000000
9327843028,74.000000,-63.000000
9328837605,80.000000,-60.000000
9329843793,96.000000,-52.000000
9330849822,84.000000,-58.000000
9331835832,88.000000,-56.000000
9332836910,90.000000,-55.000000
9333840491,92.000000,-54.000000
9334838827,80.000000,-60.000000
9335836958,100.000000,-50.000000
9336838777,92.000000,-54.000000
9337842313,88.000000,-56.000000
9338845915,92.000000,-54.000000
9339841954,86.000000,-57.000000
9340845660,88.000000,-56.000000
9341846647,82.000000,-59.000000
9342849138,84.000000,-58.000000
9343846301,86.000000,-57.000000
9344847378,76.000000,-62.000000
9345848424,88.000000,-56.000000
9346837020,74.000000,-63.000000
9347838403,82.000000,-59.000000
9348831637,78.000000,-61.000000
9349841890,78.000000,-61.000000
9350834894,76.000000,-62.000000
9351847418,82.000000,-59.000000
9352830941,80.000000,-60.000000
9353842059,76.000000,-62.000000
9354828089,86.000000,-57.000000
9355839177,82.000000,-59.000000
9356835280,80.000000,-60.000000
9357846369,78.000000,-61.000000
9358837433,88.000000,-56.000000
9359841012,92.000000,-54.000000
9360834548,76.000000,-62.000000
9361842193,88.000000,-56.000000
9362844246,96.000000,-52.000000
9363850306,84.000000,-58.000000
9364836352,80.000000,-60.000000
9365842433,80.000000,-60.000000
9366841007,76.000000,-62.000000
9367849597,84.000000,-58.000000
9368848954,80.000000,-60.000000
9369842555,82.000000,-59.000000
9370837443,78.000000,-61.000000
9371842169,78.000000,-61.000000
9372840772,86.000000,-57.000000
9373846854,80.000000,-60.000000
9374843507,82.000000,-59.000000
9375844948,78.000000,-61.000000
9376847553,82.000000,-59.000000
9377828627,74.000000,-63.000000
9378844789,84.000000,-58.000000
9379833279,76.000000,-62.000000
9380846842,70.000000,-65.000000
9381837895,82.000000,-59.000000
9382836498,80.000000,-60.000000
9383842545,98.000000,-51.000000
9384843619,84.000000,-58.000000
9385844797,86.000000,-57.000000
9386841361,82.000000,-59.000000
9387834340,92.000000,-54.000000
9388827887,92.000000,-54.000000
9389846491,72.000000,-64.000000
9390835039,78.000000,-61.000000
9391843619,88.000000,-56.000000
9392839687,76.000000,-62.000000
9393843262,78.000000,-61.000000
9394849339,84.000000,-58.000000
9395834501,74.000000,-63.000000
9396828959,78.000000,-61.000000
9397842544,72.000000,-64.000000
9398841146,90.000000,-55.000000
9399840484,86.000000,-57.000000
9400838252,88.000000,-56.000000
9401846841,76.000000,-62.000000
9402840395,74.000000,-63.000000
9403841466,78.000000,-61.000000
9404828099,74.000000,-63.000000
9405828591,84.000000,-58.000000
9406844783,78.000000,-61.000000
9407849436,74.000000,-63.000000
9408839311,82.000000,-59.000000
9409847921,80.000000,-60.000000
9410841450,84.000000,-58.000000
9411845126,90.000000,-55.000000
9412841116,76.000000,-62.000000
9413844763,80.000000,-60.000000
9414838220,88.000000,-56.000000
9415846831,82.000000,-59.000000
