Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9145259652,-0.140634,0.870460,-0.627036
9145280259,0.055366,0.821460,-0.676036
9145300865,0.006366,0.968460,-0.676036
9145321472,-0.042634,0.919460,-0.578036
9145342079,-0.091634,0.723460,-0.676036
9145362686,-0.238634,0.821460,-0.627036
9145383294,-0.238634,0.821460,-0.578036
9145403903,-0.091634,0.870460,-0.676036
9145424512,-0.042634,0.870460,-0.676036
9145445122,-0.189634,0.919460,-0.578036
9145465731,-0.238634,0.870460,-0.676036
9145486341,-0.189634,0.870460,-0.774036
9145506951,-0.189634,0.870460,-0.627036
9145527561,-0.238634,0.821460,-0.578036
9145548171,-0.189634,0.919460,-0.529036
9145568780,-0.042634,0.870460,-0.627036
9145589390,-0.042634,0.870460,-0.529036
9145609998,-0.042634,0.821460,-0.480036
9145630604,0.006366,0.919460,-0.480036
9145651212,-0.042634,0.870460,-0.480036
9145671821,-0.042634,0.870460,-0.529036
9145692430,-0.091634,0.821460,-0.382036
9145713039,-0.140634,0.870460,-0.382036
9145733648,-0.042634,0.919460,-0.480036
9145754260,-0.042634,0.919460,-0.529036
9145774871,-0.042634,0.968460,-0.480036
9145795482,-0.091634,0.968460,-0.431036
9145816090,0.006366,0.919460,-0.480036
9145836696,-0.042634,0.919460,-0.529036
9145857303,-0.042634,0.919460,-0.529036
9145877909,-0.042634,0.870460,-0.529036
9145898516,-0.091634,0.821460,-0.578036
9145919123,-0.042634,0.919460,-0.529036
9145939728,-0.042634,0.870460,-0.431036
9145960335,0.055366,0.870460,-0.480036
9145980940,0.006366,0.968460,-0.529036
9146001547,-0.042634,0.968460,-0.529036
9146022152,-0.091634,0.968460,-0.529036
9146042788,-0.140634,0.968460,-0.627036
9146063363,-0.238634,0.919460,-0.627036
9146083968,-0.140634,0.919460,-0.529036
9146104573,0.006366,0.870460,-0.676036
9146125178,-0.091634,0.821460,-0.676036
9146145784,-0.091634,0.821460,-0.627036
9146166393,-0.042634,0.919460,-0.578036
9146187004,0.006366,0.919460,-0.578036
9146207614,-0.140634,0.919460,-0.627036
9146228223,-0.091634,0.772460,-0.676036
9146248832,-0.091634,0.919460,-0.627036
9146269441,-0.140634,1.017460,-0.578036
9146290049,-0.042634,0.919460,-0.578036
9146310658,-0.042634,0.821460,-0.627036
9146331269,-0.042634,0.821460,-0.578036
9146351879,0.006366,0.821460,-0.529036
9146372488,-0.091634,0.821460,-0.578036
9146393099,-0.042634,0.821460,-0.529036
9146413708,0.055366,0.870460,-0.431036
9146434314,-0.042634,0.919460,-0.480036
9146454919,0.006366,0.821460,-0.774036
9146475526,-0.042634,0.821460,-0.480036
9146496132,-0.091634,1.017460,-0.480036
9146516737,-0.042634,0.870460,-0.480036
9146537342,-0.091634,0.968460,-0.431036
9146557947,-0.042634,0.919460,-0.529036
9146578554,0.006366,0.919460,-0.578036
9146599159,-0.042634,0.919460,-0.480036
9146619766,-0.091634,0.968460,-0.529036
9146640372,0.006366,0.919460,-0.529036
9146660977,0.006366,0.870460,-0.529036
9146681583,-0.042634,0.870460,-0.627036
9146702189,-0.091634,0.870460,-0.676036
9146722796,-0.140634,0.870460,-0.529036
9146743402,-0.140634,0.968460,-0.529036
9146764009,-0.140634,0.870460,-0.578036
9146784617,-0.091634,0.870460,-0.725036
9146805223,-0.042634,0.870460,-0.578036
9146825830,-0.091634,0.821460,-0.529036
9146846437,-0.091634,0.821460,-0.578036
9146867041,-0.189634,0.919460,-0.676036
9146887661,-0.238634,0.919460,-0.578036
9146908254,-0.140634,0.870460,-0.578036
9146928860,-0.091634,0.821460,-0.676036
9146949470,-0.042634,0.870460,-0.578036
9146970079,-0.189634,0.919460,-0.480036
9146990686,-0.140634,0.968460,-0.627036
9147011294,-0.091634,0.968460,-0.627036
9147031903,-0.091634,0.821460,-0.578036
9147052512,-0.042634,0.919460,-0.578036
9147073121,-0.140634,0.968460,-0.480036
9147093730,-0.189634,0.919460,-0.529036
9147114339,-0.091634,0.919460,-0.529036
9147134949,-0.091634,0.870460,-0.529036
9147155556,-0.042634,0.772460,-0.578036
