Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9145252823,15.914064,24.566717,-3.529511,-0.098979,0.939860,-0.365968
9145255323,16.340111,24.693827,-4.628687,-0.088087,0.940684,-0.364542
9145257822,16.827509,24.698837,-5.727895,-0.082252,0.937829,-0.366013
9145260322,17.254923,24.458883,-6.766135,-0.075024,0.940792,-0.372580
9145262822,17.743685,24.096827,-7.804406,-0.063477,0.948150,-0.380614
9145265321,18.111099,23.611710,-8.720603,-0.049695,0.949721,-0.385017
9145267821,18.356949,23.064873,-9.575780,-0.033723,0.950586,-0.387243
9145270320,18.359655,22.394400,-10.247837,-0.018484,0.951442,-0.393104
9145272820,18.301655,21.662008,-10.736711,-0.003283,0.955926,-0.402604
9145275320,18.061388,20.805983,-10.981380,0.011887,0.964770,-0.408465
9145277819,17.699524,19.887844,-11.042878,0.024157,0.972863,-0.414318
9145280319,17.155422,18.846458,-10.982319,0.033541,0.978751,-0.420163
9145282819,16.489510,17.804304,-10.799641,0.042953,0.982466,-0.420188
9145285318,15.701787,16.761377,-10.494843,0.050909,0.986896,-0.418027
9145287818,14.913790,15.779019,-10.006804,0.050866,0.991981,-0.417299
9145290317,14.064638,14.857227,-9.396609,0.043579,0.996283,-0.407820
9145292817,13.215719,13.874290,-8.786437,0.033387,1.001290,-0.393968
9145295317,12.427195,13.013446,-8.054058,0.021703,1.009911,-0.384478
9145297817,11.638902,12.091458,-7.321703,0.010759,1.017086,-0.374989
9145300316,10.789671,11.168699,-6.406141,-0.002328,1.020614,-0.361857
9145302816,9.940672,10.184794,-5.490602,-0.011794,1.024897,-0.352372
9145305315,9.031030,9.139746,-4.636173,-0.014713,1.027053,-0.348727
9145307815,8.182751,7.972792,-3.842849,-0.020514,1.027008,-0.342163
9145310314,7.396332,6.562027,-3.232822,-0.028425,1.019684,-0.331956
9145312814,6.549911,4.906102,-2.500752,-0.034159,1.011648,-0.326848
9145315314,5.703507,3.250370,-1.829757,-0.037764,1.007982,-0.329749
9145317813,4.857841,1.411782,-1.342050,-0.039127,0.997802,-0.329018
9145320313,4.072849,-0.365275,-0.915379,-0.044791,0.981048,-0.327549
9145322813,3.409945,-2.202129,-0.794070,-0.049743,0.965022,-0.331174
9145325312,2.807914,-4.038985,-0.611673,-0.054710,0.950446,-0.336983
9145327812,2.266788,-5.875457,-0.490336,-0.060426,0.938771,-0.340606
9145330311,1.663836,-7.467731,-0.307848,-0.063249,0.929305,-0.339872
9145332811,1.059964,-8.815423,-0.125269,-0.068264,0.919811,-0.347862
9145335311,0.393576,-9.735482,0.118528,-0.076969,0.916091,-0.360208
9145337811,-0.335114,-10.289245,0.484594,-0.081339,0.916046,-0.367472
9145340310,-1.126105,-10.476714,0.972929,-0.082026,0.910953,-0.370381
9145342810,-1.978922,-10.419985,1.522414,-0.084180,0.907299,-0.374741
9145345309,-2.954207,-10.180203,2.071939,-0.085617,0.905105,-0.376920
9145347809,-3.930412,-9.695838,2.621555,-0.082694,0.902951,-0.377655
9145350309,-4.906617,-9.211473,3.171171,-0.081263,0.904411,-0.383480
9145352808,-5.760783,-8.787484,3.598646,-0.082014,0.906580,-0.387116
9145355308,-6.554060,-8.363305,4.026135,-0.082003,0.905127,-0.387843
9145357808,-7.286677,-7.877789,4.453661,-0.083405,0.900034,-0.384202
9145360307,-8.019756,-7.269982,4.881233,-0.087024,0.899279,-0.379827
9145362807,-8.692374,-6.539307,5.186717,-0.094297,0.899940,-0.381262
9145365307,-9.243198,-5.808055,5.431156,-0.096426,0.894111,-0.381257
9145367806,-9.610636,-5.259279,5.553423,-0.102189,0.889708,-0.374693
9145370306,-9.795158,-4.770882,5.614636,-0.111628,0.890357,-0.368120
9145372806,-9.796785,-4.343058,5.675868,-0.117377,0.883772,-0.364467
9145375305,-9.798857,-3.792748,5.676073,-0.123133,0.877913,-0.361541
9145377805,-9.740025,-3.242054,5.615218,-0.126005,0.874258,-0.360079
9145380304,-9.742293,-2.630213,5.493299,-0.129548,0.865518,-0.352066
9145382804,-9.683920,-1.957228,5.432489,-0.130236,0.862614,-0.343334
9145385304,-9.686634,-1.222902,5.249542,-0.123726,0.865576,-0.344806
9145387803,-9.750928,-0.305331,5.066648,-0.117917,0.865626,-0.346277
9145390303,-9.876570,0.734340,4.883787,-0.115013,0.865650,-0.347740
9145392803,-10.063331,1.834965,4.700933,-0.107750,0.865713,-0.348487
9145395302,-10.250306,2.996929,4.457029,-0.099038,0.866518,-0.347055
9145397802,-10.497940,4.097557,4.213088,-0.096145,0.868726,-0.343425
9145400302,-10.745344,5.137038,3.969125,-0.096919,0.873801,-0.345605
9145402801,-11.053406,6.115184,3.725124,-0.093320,0.877464,-0.346343
9145405301,-11.361009,6.971039,3.481078,-0.089704,0.879676,-0.344897
