Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9145253816,0.035320,-0.880602,0.514933
9145303258,0.044382,-0.871722,0.525696
9145352697,0.044456,-0.862361,0.515215
9145402142,0.053439,-0.871670,0.515113
9145451580,0.035216,-0.898964,0.514663
9145501017,0.017196,-0.889523,0.514708
9145550461,-0.009968,-0.898301,0.514383
9145599906,-0.037029,-0.897554,0.493030
9145649347,-0.055128,-0.906301,0.482213
9145698792,-0.082239,-0.914740,0.460748
9145748242,-0.109350,-0.923179,0.439282
9145797686,-0.118410,-0.923233,0.449854
9145847137,-0.109374,-0.932202,0.428609
9145896587,-0.118460,-0.932419,0.449741
9145946039,-0.118534,-0.941781,0.460222
9145995479,-0.100386,-0.932684,0.449853
9146044919,-0.091374,-0.932992,0.460503
9146094363,-0.100386,-0.923847,0.471154
9146143810,-0.100387,-0.923836,0.471115
9146193262,-0.091300,-0.905945,0.492581
9146242756,-0.109322,-0.896516,0.492665
9146292171,-0.109273,-0.905003,0.450171
9146341628,-0.091349,-0.923980,0.471210
9146391080,-0.091324,-0.923805,0.460616
9146440532,-0.091397,-0.933178,0.471135
9146489974,-0.073151,-0.905697,0.460953
9146539419,-0.064213,-0.924203,0.460784
9146588872,-0.046114,-0.915456,0.471602
9146638327,-0.037050,-0.915425,0.461102
9146687775,-0.019003,-0.915854,0.471770
9146737223,-0.000922,-0.907304,0.493266
9146786676,0.026208,-0.898667,0.504058
9146836127,0.026285,-0.898154,0.472315
9146885572,0.044302,-0.898747,0.493534
9146935029,0.053343,-0.898890,0.493632
9146984490,0.062355,-0.908034,0.482981
9147033945,0.062301,-0.917210,0.482828
9147083403,0.062304,-0.934895,0.440267
9147132858,0.053269,-0.917088,0.482812
9147182316,0.062324,-0.934708,0.429641
9147231762,0.062180,-0.962280,0.429335
9147281213,0.044204,-0.961316,0.386847
9147330671,0.053092,-0.997845,0.365265
9147380123,0.035116,-0.996881,0.322777
9147429585,0.016918,-1.015163,0.333033
9147479046,-0.001156,-1.014898,0.332921
9147528506,-0.001152,-1.006074,0.354243
9147577969,-0.001106,-0.996875,0.354335
9147627419,0.007931,-1.005844,0.333090
9147676864,0.026004,-1.023783,0.290601
9147726325,0.053090,-1.024356,0.301363
9147775778,0.062202,-0.997453,0.333539
9147825232,0.053162,-0.979634,0.376059
9147874684,0.053122,-0.971171,0.418603
9147924127,0.044159,-0.961677,0.408065
9147973576,0.035172,-0.952358,0.408121
9148023029,0.017069,-0.961093,0.397273
9148072491,-0.001005,-0.960828,0.397161
9148121950,-0.019080,-0.978237,0.354448
9148171409,-0.055328,-0.996080,0.353999
9148220871,-0.073402,-0.995815,0.353887
9148270316,-0.091574,-1.013936,0.353571
9148319767,-0.127624,-0.995007,0.353529
9148369221,-0.136711,-1.012911,0.332081
9148418687,-0.163772,-1.012137,0.310695
9148468135,-0.163847,-1.021511,0.321190
9148517592,-0.145774,-1.030627,0.300018
9148567048,-0.154712,-1.020958,0.278887
9148616506,-0.127675,-1.030717,0.289536
9148665950,-0.145823,-1.039813,0.299905
9148715395,-0.127700,-1.030878,0.300116
9148764845,-0.127700,-1.030892,0.300130
9148814310,-0.118737,-1.031535,0.331949
9148863762,-0.118662,-1.004500,0.364065
9148913211,-0.091500,-0.995724,0.364369
9148962671,-0.091574,-1.005099,0.374874
9149012136,-0.082486,-0.987208,0.396347
9149061593,-0.064411,-0.978635,0.417762
9149111050,-0.064365,-0.960587,0.439111
9149160505,-0.055274,-0.951557,0.439348
9149209960,-0.055201,-0.933347,0.450133
9149259415,-0.046238,-0.942841,0.460670
9149308874,-0.046236,-0.942853,0.460707
9149358326,-0.055228,-0.933510,0.460690
9149407774,-0.055226,-0.942359,0.439426
9149457229,-0.064362,-0.942925,0.481746
9149506678,-0.055199,-0.933359,0.450169
9149556121,-0.046139,-0.924468,0.460896
9149605577,-0.055224,-0.933533,0.460764
9149655036,-0.046214,-0.942666,0.450076
9149704490,-0.055152,-0.932997,0.428945
9149753946,-0.064239,-0.942051,0.428777
9149803408,-0.037130,-0.942437,0.428912
9149852862,-0.037177,-0.951635,0.428832
9149902315,-0.037178,-0.960473,0.407531
9149951762,-0.028168,-0.951931,0.439448
9150001211,-0.001029,-0.952166,0.429056
9150050665,-0.010066,-0.943196,0.450300
9150100111,-0.001029,-0.943329,0.450356
9150149567,-0.010090,-0.943371,0.460894
9150199028,-0.010068,-0.934348,0.471562
9150248484,-0.019102,-0.934227,0.471545
9150297935,-0.009960,-0.924846,0.450597
9150347387,0.008033,-0.934449,0.461119
9150396833,0.017096,-0.916733,0.493182
9150446287,0.017100,-0.916745,0.493224
9150495750,0.008108,-0.916251,0.471938
9150545209,0.017153,-0.907569,0.493378
9150594656,0.026211,-0.907516,0.482797
9150644100,0.044256,-0.916781,0.472162
9150693548,0.035173,-0.925847,0.472032
9150742999,0.035215,-0.916637,0.472068
9150792452,0.044257,-0.907944,0.493463
9150841909,0.044206,-0.925968,0.472050
9150891354,0.026186,-0.916527,0.472089
9150940793,0.035195,-0.916823,0.482700
9150990233,0.026211,-0.916353,0.461494
9151039676,0.044235,-0.925804,0.461493
9151089122,0.026182,-0.916516,0.472050
9151138567,0.008143,-0.916110,0.461456
9151188011,-0.000978,-0.916468,0.493070
9151237458,-0.000953,-0.916293,0.482476
9151286914,-0.000954,-0.925130,0.461176
9151336364,-0.010019,-0.925161,0.471675
9151385819,-0.000954,-0.925130,0.461176
9151435266,-0.000979,-0.934142,0.450469
9151484720,-0.001050,-0.943515,0.460987
9151534168,0.017091,-0.934395,0.450546
9151583616,0.008033,-0.934449,0.461119
9151633065,0.017120,-0.925395,0.461288
9151682511,0.026256,-0.915992,0.440269
9151731960,0.026083,-0.934889,0.471825
9151781411,0.017049,-0.934768,0.471807
9151830861,0.017166,-0.925034,0.440066
9151880305,0.017067,-0.934570,0.461138
9151929756,0.017123,-0.934244,0.440021
9151979208,0.026086,-0.943738,0.450560
9152028656,0.026135,-0.943388,0.429369
9152078114,0.035144,-0.934847,0.461287
