Timestamp (us),W Element,X Element,Y Element,Z Element
9145252823,0.012727,0.055870,-0.803151,-0.593218
9145255323,0.013054,0.056267,-0.803366,-0.592883
9145257822,0.013366,0.056682,-0.803586,-0.592539
9145260322,0.013663,0.057111,-0.803810,-0.592186
9145262822,0.013942,0.057550,-0.804041,-0.591824
9145265321,0.014205,0.057996,-0.804276,-0.591455
9145267821,0.014451,0.058446,-0.804513,-0.591082
9145270320,0.014681,0.058896,-0.804750,-0.590708
9145272820,0.014897,0.059342,-0.804987,-0.590335
9145275320,0.015099,0.059778,-0.805222,-0.589966
9145277819,0.015288,0.060200,-0.805452,-0.589603
9145280319,0.015463,0.060606,-0.805676,-0.589251
9145282819,0.015626,0.060993,-0.805892,-0.588912
9145285318,0.015777,0.061359,-0.806096,-0.588590
9145287818,0.015919,0.061704,-0.806291,-0.588283
9145290317,0.016052,0.062027,-0.806474,-0.587995
9145292817,0.016173,0.062328,-0.806643,-0.587727
9145295317,0.016287,0.062607,-0.806801,-0.587478
9145297817,0.016393,0.062863,-0.806947,-0.587247
9145300316,0.016491,0.063094,-0.807080,-0.587037
9145302816,0.016583,0.063297,-0.807202,-0.586845
9145305315,0.016658,0.063458,-0.807314,-0.586672
9145307815,0.016723,0.063591,-0.807414,-0.586517
9145310314,0.016769,0.063697,-0.807505,-0.586379
9145312814,0.016795,0.063770,-0.807585,-0.586260
9145315314,0.016800,0.063809,-0.807657,-0.586157
9145317813,0.016780,0.063817,-0.807719,-0.586070
9145320313,0.016733,0.063796,-0.807774,-0.585999
9145322813,0.016655,0.063751,-0.807823,-0.585939
9145325312,0.016546,0.063680,-0.807867,-0.585889
9145327812,0.016405,0.063584,-0.807906,-0.585849
9145330311,0.016238,0.063467,-0.807938,-0.585822
9145332811,0.016050,0.063330,-0.807966,-0.585803
9145335311,0.015846,0.063179,-0.807989,-0.585794
9145337811,0.015637,0.063016,-0.808004,-0.585796
9145340310,0.015432,0.062842,-0.808011,-0.585810
9145342810,0.015236,0.062660,-0.808009,-0.585838
9145345309,0.015053,0.062472,-0.807996,-0.585882
9145347809,0.014887,0.062279,-0.807970,-0.585941
9145350309,0.014738,0.062083,-0.807935,-0.586015
9145352808,0.014604,0.061884,-0.807889,-0.586102
9145355308,0.014483,0.061683,-0.807834,-0.586203
9145357808,0.014377,0.061480,-0.807769,-0.586315
9145360307,0.014286,0.061279,-0.807695,-0.586441
9145362807,0.014212,0.061083,-0.807612,-0.586577
9145365307,0.014153,0.060892,-0.807523,-0.586721
9145367806,0.014103,0.060708,-0.807428,-0.586872
9145370306,0.014061,0.060530,-0.807329,-0.587028
9145372806,0.014024,0.060359,-0.807229,-0.587183
9145375305,0.013996,0.060196,-0.807129,-0.587338
9145377805,0.013974,0.060042,-0.807030,-0.587491
9145380304,0.013961,0.059899,-0.806929,-0.587644
9145382804,0.013958,0.059765,-0.806827,-0.587798
9145385304,0.013967,0.059643,-0.806725,-0.587950
9145387803,0.013992,0.059534,-0.806622,-0.588102
9145390303,0.014034,0.059442,-0.806517,-0.588254
9145392803,0.014095,0.059364,-0.806410,-0.588408
9145395302,0.014177,0.059303,-0.806299,-0.588563
9145397802,0.014276,0.059260,-0.806184,-0.588723
9145400302,0.014390,0.059235,-0.806065,-0.588886
9145402801,0.014511,0.059213,-0.805942,-0.589053
9145405301,0.014645,0.059205,-0.805815,-0.589225
9145407800,0.014789,0.059217,-0.805683,-0.589400
9145410300,0.014943,0.059248,-0.805548,-0.589578
9145412800,0.015102,0.059300,-0.805409,-0.589759
9145415299,0.015268,0.059376,-0.805269,-0.589937
9145417799,0.015441,0.059477,-0.805129,-0.590114
9145420299,0.015621,0.059606,-0.804988,-0.590288
9145422798,0.015807,0.059766,-0.804846,-0.590461
9145425298,0.016001,0.059955,-0.804705,-0.590628
9145427797,0.016201,0.060176,-0.804566,-0.590790
9145430299,0.016408,0.060430,-0.804430,-0.590943
9145432807,0.016623,0.060718,-0.804299,-0.591087
9145435306,0.016845,0.061037,-0.804174,-0.591217
9145437810,0.017073,0.061388,-0.804057,-0.591334
9145440314,0.017308,0.061765,-0.803949,-0.591434
9145442822,0.017549,0.062171,-0.803849,-0.591521
9145445296,0.017793,0.062595,-0.803756,-0.591595
9145447796,0.018048,0.063047,-0.803668,-0.591659
9145450296,0.018312,0.063524,-0.803586,-0.591711
9145452795,0.018609,0.064053,-0.803503,-0.591757
9145455295,0.018926,0.064609,-0.803420,-0.591800
9145457794,0.019259,0.065194,-0.803332,-0.591845
9145460294,0.019611,0.065808,-0.803237,-0.591894
9145462794,0.019983,0.066451,-0.803134,-0.591950
9145465293,0.020373,0.067117,-0.803023,-0.592011
9145467793,0.020781,0.067803,-0.802906,-0.592078
9145470293,0.021208,0.068506,-0.802784,-0.592148
9145472792,0.021656,0.069230,-0.802658,-0.592218
9145475292,0.022124,0.069976,-0.802530,-0.592287
9145477792,0.022610,0.070744,-0.802403,-0.592348
9145480291,0.023113,0.071535,-0.802281,-0.592400
9145482791,0.023630,0.072351,-0.802164,-0.592438
9145485290,0.024163,0.073195,-0.802053,-0.592463
9145487790,0.024717,0.074065,-0.801948,-0.592475
9145490290,0.025296,0.074962,-0.801847,-0.592474
9145492789,0.025902,0.075887,-0.801751,-0.592460
9145495289,0.026534,0.076842,-0.801660,-0.592432
9145497789,0.027199,0.077828,-0.801571,-0.592394
9145500288,0.027894,0.078841,-0.801481,-0.592348
9145502788,0.028635,0.079899,-0.801390,-0.592296
9145505287,0.029404,0.080978,-0.801297,-0.592237
9145507787,0.030199,0.082072,-0.801201,-0.592177
9145510287,0.031018,0.083181,-0.801100,-0.592116
9145512786,0.031857,0.084303,-0.800994,-0.592056
9145515286,0.032713,0.085440,-0.800880,-0.592001
9145517786,0.033583,0.086591,-0.800754,-0.591954
9145520285,0.034465,0.087751,-0.800617,-0.591919
9145522785,0.035356,0.088925,-0.800467,-0.591894
9145525284,0.036258,0.090110,-0.800305,-0.591878
9145527784,0.037171,0.091308,-0.800133,-0.591872
9145530284,0.038093,0.092517,-0.799947,-0.591876
