Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9145255870,-0.103808,0.986749,-0.345792
9145276699,-0.103808,0.937749,-0.394792
9145297531,-0.054807,0.937749,-0.345792
9145318361,-0.054807,1.035749,-0.296792
9145339190,-0.054807,0.986749,-0.345792
9145360019,-0.054807,1.035749,-0.345792
9145380850,-0.054807,0.888749,-0.345792
9145401680,-0.054807,0.986749,-0.345792
9145422510,-0.103808,0.986749,-0.345792
9145443339,-0.103808,0.937749,-0.345792
9145464174,-0.103808,0.937749,-0.345792
9145485004,-0.103808,0.888749,-0.247792
9145505855,-0.103808,0.986749,-0.296792
9145526665,-0.005808,0.937749,-0.394792
9145547497,-0.103808,0.937749,-0.198792
9145568327,0.043193,0.839749,-0.296792
9145589159,-0.054807,0.937749,-0.394792
9145609991,-0.103808,0.986749,-0.345792
9145630826,-0.103808,0.937749,-0.394792
9145651658,-0.152808,0.839749,-0.345792
9145672491,-0.103808,0.937749,-0.394792
9145693322,-0.054807,0.937749,-0.296792
9145714154,-0.005808,0.937749,-0.443792
9145734986,-0.054807,0.986749,-0.345792
9145755817,-0.103808,0.986749,-0.345792
9145776649,-0.005808,0.888749,-0.394792
9145797479,-0.005808,0.937749,-0.296792
9145818308,-0.152808,0.986749,-0.443792
9145839140,-0.054807,0.986749,-0.296792
9145859971,-0.103808,0.937749,-0.443792
9145880801,-0.103808,1.035749,-0.345792
9145901632,-0.005808,0.986749,-0.296792
9145922462,-0.005808,0.937749,-0.296792
9145943294,-0.005808,0.937749,-0.296792
9145964128,-0.103808,0.937749,-0.394792
9145984960,-0.103808,1.035749,-0.345792
9146005789,-0.201807,0.888749,-0.345792
9146026620,-0.005808,0.839749,-0.394792
9146047451,-0.005808,0.888749,-0.296792
9146068281,-0.054807,0.937749,-0.394792
9146089114,-0.054807,0.937749,-0.394792
9146109944,-0.054807,0.986749,-0.345792
9146130775,-0.054807,0.888749,-0.443792
9146151603,-0.054807,0.937749,-0.345792
9146172435,-0.054807,0.937749,-0.394792
9146193266,-0.103808,0.986749,-0.345792
9146214098,-0.103808,0.937749,-0.296792
9146234930,-0.054807,0.937749,-0.296792
9146255761,-0.103808,0.986749,-0.296792
9146276591,-0.054807,0.986749,-0.345792
9146297425,-0.054807,0.937749,-0.296792
9146318258,-0.005808,0.888749,-0.296792
9146339126,-0.152808,0.986749,-0.345792
9146359921,-0.054807,0.986749,-0.296792
9146380753,-0.103808,0.937749,-0.345792
9146401585,-0.005808,0.937749,-0.345792
9146422416,-0.103808,0.986749,-0.296792
9146443247,-0.054807,0.986749,-0.296792
9146464077,-0.054807,0.986749,-0.296792
9146484910,-0.054807,0.937749,-0.345792
9146505741,0.043193,0.986749,-0.345792
9146526574,-0.103808,0.986749,-0.345792
9146547404,-0.005808,0.888749,-0.345792
9146568232,0.043193,0.888749,-0.345792
9146589061,-0.054807,0.937749,-0.394792
9146609894,-0.103808,0.937749,-0.394792
9146630724,-0.103808,0.986749,-0.296792
9146651556,-0.103808,0.937749,-0.443792
9146672387,-0.054807,0.986749,-0.345792
9146693219,-0.054807,1.035749,-0.345792
9146714050,-0.005808,0.986749,-0.443792
9146734878,-0.054807,0.937749,-0.296792
9146755709,-0.054807,0.986749,-0.345792
9146776540,-0.005808,0.888749,-0.394792
9146797370,-0.054807,0.937749,-0.345792
9146818199,-0.054807,0.986749,-0.394792
