Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9145235521,-0.497147,-1.097530,0.006943,-0.033858,0.996116,-0.045061
9145238023,-0.557927,-1.097632,-0.114475,-0.032387,0.997558,-0.045773
9145240525,-0.497104,-1.158665,-0.053636,-0.031666,0.996102,-0.046499
9145243027,-0.497227,-1.219483,0.007196,-0.033119,0.998286,-0.044322
9145245530,-0.436407,-1.158404,0.128488,-0.035348,0.996115,-0.039983
9145248032,-0.436367,-1.097427,0.128361,-0.028790,0.996790,-0.040660
9145250535,-0.375215,-1.036983,0.006831,-0.025163,0.996756,-0.039180
9145253037,-0.375172,-1.098119,-0.053748,-0.030218,0.998982,-0.042118
9145255539,-0.375009,-0.976324,-0.114707,-0.028035,0.999689,-0.041372
9145258060,-0.496821,-0.853940,-0.114973,-0.023693,1.001092,-0.036247
9145260550,-0.557564,-0.670954,-0.176065,-0.022954,1.002538,-0.036237
9145263045,-0.618549,-0.731715,-0.175946,-0.022905,1.006174,-0.039134
9145265547,-0.618507,-0.792851,-0.236525,-0.018565,1.001787,-0.040569
9145268049,-0.496655,-0.854258,-0.236385,-0.020030,1.001795,-0.039126
9145270552,-0.374683,-0.732735,-0.236623,-0.020709,1.009780,-0.036925
9145273054,-0.313780,-0.671814,-0.176037,-0.017055,1.011204,-0.037621
9145275557,-0.313906,-0.610520,-0.054753,-0.019994,1.011940,-0.032551
9145278059,-0.374892,-0.671282,-0.054633,-0.020732,1.011219,-0.031832
9145280561,-0.374851,-0.610305,-0.054760,-0.017780,1.009039,-0.040541
9145283063,-0.435717,-0.488136,-0.055019,-0.013463,1.001749,-0.041986
9145285566,-0.374731,-0.427375,-0.055139,-0.012044,0.996659,-0.042718
9145288068,-0.313743,-0.488726,-0.115711,-0.017152,0.995971,-0.041304
9145290571,-0.252877,-0.610894,-0.115451,-0.019993,0.999638,-0.047129
9145293073,-0.252917,-0.671871,-0.115325,-0.015583,1.003961,-0.048537
9145295575,-0.252960,-0.610735,-0.054746,-0.011978,1.002473,-0.045607
9145298078,-0.252880,-0.488782,-0.054999,-0.016314,1.009755,-0.041255
9145300580,-0.191976,-0.427862,0.005588,-0.018435,1.019927,-0.038331
9145303082,-0.131113,-0.427918,0.066300,-0.016239,1.022809,-0.036851
9145305585,-0.009305,-0.428190,0.127020,-0.018424,1.024997,-0.033953
9145308087,0.051601,-0.489382,0.127153,-0.018412,1.027172,-0.033219
9145310589,0.173579,-0.612083,0.006009,-0.013298,1.028586,-0.034631
9145313092,0.234444,-0.734252,0.006268,-0.014008,1.030769,-0.034629
9145315594,0.295390,-0.734467,0.006275,-0.015449,1.029339,-0.038279
9145318096,0.295511,-0.551537,0.005896,-0.012516,1.027876,-0.043351
9145320599,0.295754,-0.307788,-0.055315,-0.008884,1.027845,-0.042597
9145323101,0.356697,-0.185891,0.005145,-0.006030,1.022735,-0.040412
9145325603,0.417600,-0.124971,0.065731,-0.004605,1.018370,-0.041142
9145328106,0.600315,-0.186435,0.126584,-0.006769,1.016947,-0.045524
9145330608,0.844181,-0.187454,0.065906,-0.006744,1.016956,-0.049158
9145333110,0.905047,-0.309623,0.066166,-0.004590,1.014034,-0.048425
9145335613,0.904964,-0.309464,0.126871,-0.003187,1.008214,-0.047706
9145338115,0.844018,-0.309249,0.126864,-0.003927,1.005320,-0.049174
9145340617,0.783112,-0.248057,0.126731,-0.006156,0.999531,-0.049209
9145343120,0.783193,-0.126103,0.126478,-0.004730,0.995890,-0.049210
9145345622,0.844053,-0.004048,0.247643,-0.004723,0.993722,-0.052851
9145348124,0.844053,-0.004048,0.247643,-0.002569,0.990799,-0.052118
9145350626,0.783112,-0.248057,0.126731,-0.001169,0.986425,-0.049213
9145353129,0.844104,-0.431520,0.005706,-0.001209,0.982068,-0.048500
9145355631,0.904967,-0.431576,0.066419,0.000240,0.981331,-0.048492
9145358134,0.965870,-0.370656,0.127005,-0.001208,0.982792,-0.047771
9145360636,0.965744,-0.309362,0.248289,-0.002713,0.978444,-0.045615
9145363138,0.843935,-0.309090,0.187570,-0.004180,0.976280,-0.046359
9145365641,0.722290,-0.187024,0.065892,-0.004888,0.976293,-0.049272
9145368143,0.661590,-0.065173,-0.055779,-0.001262,0.974812,-0.049250
9145370645,0.600807,0.056837,-0.116744,0.000195,0.972630,-0.052154
9145373148,0.539818,0.118188,-0.056172,-0.003457,0.972654,-0.050000
9145375650,0.478792,-0.003550,-0.055926,-0.006412,0.971938,-0.044208
9145378153,0.356777,-0.063938,0.004892,-0.004922,0.972663,-0.048557
9145380655,0.295914,-0.063882,-0.055821,-0.000540,0.974081,-0.049247
9145383157,0.235048,0.058287,-0.056080,-0.001314,0.972622,-0.044169
9145385659,0.235048,0.058287,-0.056080,-0.003492,0.972642,-0.044912
9145388162,0.235008,-0.002690,-0.055954,-0.002018,0.971913,-0.048538
9145390664,0.234805,-0.185461,0.005131,0.000145,0.971888,-0.045614
9145393166,0.234685,-0.368391,0.005510,0.000869,0.973328,-0.043424
9145395669,0.173699,-0.429153,0.005629,-0.000576,0.973344,-0.044888
9145398171,0.173699,-0.429153,0.005629,0.001577,0.974039,-0.039781
9145400674,0.112876,-0.368120,-0.055210,0.002276,0.974746,-0.034685
9145403176,0.112962,-0.490391,-0.176368,0.002314,0.973313,-0.041959
9145405678,0.051936,-0.612129,-0.176122,0.000876,0.974778,-0.042692
9145408180,-0.009050,-0.672890,-0.176003,-0.002809,0.972619,-0.038364
9145410683,-0.131025,-0.672301,-0.115311,-0.002810,0.976237,-0.033991
9145413185,-0.252960,-0.610735,-0.054746,-0.001326,0.979855,-0.033969
9145415687,-0.253083,-0.671553,0.006086,-0.004218,0.982780,-0.033254
9145418190,-0.192137,-0.671769,0.006093,-0.003493,0.984220,-0.031063
9145420692,-0.131314,-0.732802,0.066932,-0.002007,0.990009,-0.028853
9145423194,-0.131394,-0.854755,0.067185,-0.003414,0.996551,-0.028116
9145425697,-0.070528,-0.976924,0.067445,-0.005597,0.996569,-0.028132
9145428199,-0.070486,-1.038059,0.006866,-0.007043,0.995861,-0.030326
9145430701,-0.070488,-0.915947,0.067318,-0.009186,0.999511,-0.031784
9145433203,-0.131394,-0.854755,0.067185,-0.011400,0.998070,-0.028897
9145435706,-0.131231,-0.732960,0.006227,-0.012893,0.995173,-0.026736
9145438208,-0.131228,-0.855073,-0.054226,-0.015086,0.994463,-0.026028
9145440711,-0.131268,-0.916049,-0.054100,-0.015785,0.998098,-0.026021
9145443213,-0.070320,-1.038377,-0.114546,-0.016559,0.991573,-0.026774
9145445715,-0.070363,-0.977241,-0.053966,-0.018018,0.992307,-0.025329
9145448218,-0.192337,-0.976652,0.006725,-0.022356,0.993800,-0.027537
