Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9145258067,-0.050346,-1.186555,1.100298
9145308175,-0.041280,-1.168917,1.110985
9145358291,-0.050305,-1.168778,1.100438
9145408408,-0.050264,-1.177685,1.110083
9145458524,-0.032368,-1.186735,1.110627
9145508640,-0.041261,-1.186705,1.120464
9145558761,-0.041371,-1.177715,1.100247
9145608876,-0.041371,-1.177715,1.100247
9145658997,-0.050363,-1.195481,1.100700
9145709119,-0.050239,-1.168833,1.110630
9145759240,-0.050256,-1.177758,1.111035
9145809364,-0.041307,-1.177755,1.110247
9145859491,-0.041256,-1.186750,1.121040
9145909612,-0.041434,-1.177689,1.090434
9145959731,-0.041452,-1.186600,1.090647
9146009847,-0.041454,-1.186585,1.090459
9146059956,-0.041368,-1.177744,1.100625
9146110069,-0.050241,-1.168818,1.110440
9146160190,-0.041305,-1.177769,1.110438
9146210310,-0.050386,-1.177663,1.090836
9146260423,-0.050407,-1.186545,1.090673
9146310541,-0.050327,-1.177660,1.100273
9146360660,-0.041370,-1.177729,1.100436
9146410775,-0.041496,-1.177664,1.080619
9146460895,-0.050343,-1.186585,1.100676
9146511008,-0.041496,-1.177664,1.080619
9146561119,-0.050325,-1.177674,1.100462
9146611229,-0.059277,-1.177648,1.100867
9146661342,-0.059129,-1.168832,1.120851
9146711462,-0.050450,-1.177623,1.080831
9146761573,-0.041430,-1.177719,1.090810
9146811683,-0.032459,-1.168849,1.090384
9146861794,-0.041434,-1.177689,1.090434
9146911914,-0.041498,-1.177649,1.080433
9146962031,-0.050197,-1.177754,1.120466
9147012147,-0.059278,-1.177633,1.100677
9147062262,-0.050298,-1.168836,1.101194
9147112372,-0.050127,-1.177838,1.131047
9147162485,-0.041368,-1.177744,1.100625
9147212598,-0.050367,-1.168753,1.090624
9147262716,-0.050366,-1.168767,1.090811
9147312829,-0.050325,-1.177674,1.100462
9147362938,-0.041389,-1.186625,1.100461
9147413050,-0.050451,-1.177609,1.080645
9147463160,-0.050389,-1.177634,1.090461
9147513272,-0.050325,-1.177674,1.100462
9147563385,-0.059297,-1.186544,1.100891
9147613501,-0.059427,-1.186450,1.080696
9147663608,-0.050391,-1.177619,1.090273
9147713721,-0.041478,-1.168753,1.080408
9147763831,-0.050391,-1.177619,1.090273
9147813945,-0.041388,-1.186640,1.100650
9147864064,-0.050369,-1.168738,1.090436
9147914183,-0.041353,-1.168805,1.100034
9147964303,-0.050327,-1.177660,1.100273
9148014419,-0.050325,-1.177674,1.100462
9148064532,-0.041352,-1.168819,1.100223
9148114644,-0.041436,-1.177675,1.090247
9148164761,-0.041492,-1.177693,1.080992
9148214875,-0.041482,-1.168725,1.080036
9148264989,-0.050367,-1.168753,1.090624
9148315101,-0.041436,-1.177675,1.090247
9148365216,-0.050369,-1.168738,1.090436
9148415330,-0.050387,-1.177649,1.090648
9148465446,-0.041414,-1.168793,1.090410
9148515568,-0.041432,-1.177704,1.090622
9148565679,-0.041518,-1.186545,1.080457
9148615792,-0.050433,-1.168698,1.080434
9148665905,-0.059326,-1.168669,1.090274
9148716019,-0.050389,-1.177634,1.090461
9148766129,-0.041430,-1.177719,1.090810
9148816238,-0.050307,-1.168764,1.100249
9148866344,-0.041480,-1.168739,1.080222
9148916454,-0.041494,-1.177679,1.080805
9148966578,-0.050389,-1.177634,1.090461
9149016679,-0.050455,-1.177579,1.080272
9149066797,-0.041540,-1.168728,1.070591
9149116915,-0.041628,-1.177555,1.060246
9149167031,-0.059452,-1.168603,1.070458
9149217153,-0.041432,-1.177704,1.090622
9149267279,-0.041414,-1.168793,1.090410
9149317394,-0.041430,-1.177719,1.090810
9149367520,-0.041434,-1.177689,1.090434
9149417639,-0.050241,-1.168818,1.110440
9149467762,-0.041350,-1.168833,1.100412
9149517885,-0.041304,-1.177784,1.110628
9149568014,-0.041434,-1.177689,1.090434
9149618139,-0.041370,-1.177729,1.100436
9149668258,-0.041436,-1.177675,1.090247
9149718378,-0.041500,-1.177635,1.080246
9149768506,-0.050387,-1.177649,1.090648
9149818630,-0.041418,-1.168765,1.090035
9149868750,-0.041305,-1.177769,1.110438
9149918877,-0.041350,-1.168833,1.100412
9149968999,-0.041480,-1.168739,1.080222
9150019119,-0.041370,-1.177729,1.100436
9150069241,-0.050323,-1.177689,1.100651
9150119362,-0.050261,-1.177714,1.110464
9150169480,-0.041287,-1.168859,1.110223
9150219600,-0.050389,-1.177634,1.090461
9150269727,-0.041282,-1.168902,1.110794
9150319850,-0.041284,-1.168888,1.110604
9150369975,-0.041307,-1.177755,1.110247
9150420102,-0.041309,-1.177740,1.110057
9150470229,-0.050239,-1.168833,1.110630
9150520360,-0.041157,-1.168953,1.130417
9150570482,-0.041179,-1.177835,1.130248
9150620626,-0.050195,-1.177769,1.120658
9150670741,-0.041218,-1.168942,1.120799
9150720865,-0.041304,-1.177784,1.110628
9150770993,-0.032224,-1.177890,1.130222
9150821121,-0.041239,-1.177824,1.120632
9150871249,-0.032350,-1.177825,1.110412
9150921374,-0.041368,-1.177744,1.100625
9150971504,-0.041239,-1.177824,1.120632
9151021629,-0.041234,-1.177868,1.121207
9151071755,-0.041370,-1.177729,1.100436
9151121872,-0.041352,-1.168819,1.100223
9151171998,-0.041307,-1.177755,1.110247
9151222127,-0.041286,-1.168873,1.110414
9151272251,-0.041307,-1.177755,1.110247
9151322373,-0.041216,-1.168957,1.120991
9151372499,-0.032246,-1.160073,1.120365
9151422623,-0.041155,-1.168968,1.130610
9151472746,-0.032388,-1.168932,1.100953
9151522876,-0.041175,-1.177864,1.130635
9151573000,-0.041286,-1.168873,1.110414
9151623126,-0.023442,-1.168930,1.100170
9151673248,-0.032286,-1.177865,1.120414
9151723368,-0.041179,-1.177835,1.130248
9151773492,-0.041368,-1.177744,1.100625
9151823616,-0.041305,-1.177769,1.110438
9151873746,-0.050262,-1.177699,1.110274
9151923871,-0.041331,-1.186621,1.109891
9151973995,-0.041353,-1.168805,1.100034
9152024110,-0.050323,-1.177689,1.100651
9152074229,-0.041309,-1.177740,1.110057
