Timestamp (us),W Element,X Element,Y Element,Z Element
9145235521,-0.014354,-0.022206,0.716325,0.697440
9145238023,-0.014331,-0.022199,0.716322,0.697444
9145240525,-0.014308,-0.022189,0.716319,0.697447
9145243027,-0.014285,-0.022178,0.716316,0.697451
9145245530,-0.014264,-0.022167,0.716313,0.697455
9145248032,-0.014246,-0.022154,0.716311,0.697459
9145250535,-0.014228,-0.022144,0.716308,0.697462
9145253037,-0.014206,-0.022135,0.716307,0.697464
9145255539,-0.014186,-0.022129,0.716305,0.697466
9145258060,-0.014169,-0.022122,0.716300,0.697472
9145260550,-0.014155,-0.022120,0.716294,0.697479
9145263045,-0.014140,-0.022117,0.716288,0.697485
9145265547,-0.014124,-0.022113,0.716282,0.697492
9145268049,-0.014107,-0.022108,0.716278,0.697497
9145270552,-0.014091,-0.022105,0.716274,0.697500
9145273054,-0.014079,-0.022101,0.716272,0.697503
9145275557,-0.014068,-0.022097,0.716269,0.697507
9145278059,-0.014056,-0.022092,0.716265,0.697511
9145280561,-0.014046,-0.022088,0.716263,0.697514
9145283063,-0.014039,-0.022084,0.716260,0.697517
9145285566,-0.014034,-0.022081,0.716259,0.697519
9145288068,-0.014025,-0.022079,0.716258,0.697520
9145290571,-0.014013,-0.022077,0.716259,0.697519
9145293073,-0.014001,-0.022072,0.716261,0.697517
9145295575,-0.013993,-0.022066,0.716262,0.697516
9145298078,-0.013985,-0.022063,0.716262,0.697516
9145300580,-0.013979,-0.022060,0.716262,0.697517
9145303082,-0.013974,-0.022056,0.716263,0.697516
9145305585,-0.013969,-0.022052,0.716264,0.697515
9145308087,-0.013964,-0.022047,0.716267,0.697513
9145310589,-0.013953,-0.022038,0.716271,0.697508
9145313092,-0.013941,-0.022027,0.716277,0.697503
9145315594,-0.013928,-0.022017,0.716285,0.697496
9145318096,-0.013918,-0.022009,0.716293,0.697488
9145320599,-0.013913,-0.022004,0.716302,0.697479
9145323101,-0.013911,-0.022000,0.716311,0.697470
9145325603,-0.013911,-0.021995,0.716321,0.697460
9145328106,-0.013911,-0.021990,0.716335,0.697446
9145330608,-0.013909,-0.021985,0.716353,0.697427
9145333110,-0.013906,-0.021978,0.716373,0.697407
9145335613,-0.013904,-0.021969,0.716392,0.697388
9145338115,-0.013903,-0.021961,0.716411,0.697369
9145340617,-0.013901,-0.021954,0.716429,0.697350
9145343120,-0.013902,-0.021949,0.716447,0.697332
9145345622,-0.013907,-0.021944,0.716467,0.697312
9145348124,-0.013912,-0.021938,0.716486,0.697292
9145350626,-0.013912,-0.021930,0.716504,0.697273
9145353129,-0.013907,-0.021921,0.716523,0.697254
9145355631,-0.013903,-0.021911,0.716543,0.697234
9145358134,-0.013901,-0.021901,0.716564,0.697214
9145360636,-0.013904,-0.021893,0.716584,0.697193
9145363138,-0.013905,-0.021886,0.716602,0.697175
9145365641,-0.013906,-0.021884,0.716619,0.697157
9145368143,-0.013909,-0.021884,0.716635,0.697141
9145370645,-0.013912,-0.021886,0.716651,0.697124
9145373148,-0.013917,-0.021889,0.716665,0.697109
9145375650,-0.013919,-0.021892,0.716677,0.697097
9145378153,-0.013921,-0.021892,0.716688,0.697085
9145380655,-0.013924,-0.021891,0.716699,0.697075
9145383157,-0.013929,-0.021893,0.716707,0.697066
9145385659,-0.013932,-0.021895,0.716715,0.697057
9145388162,-0.013936,-0.021896,0.716725,0.697048
9145390664,-0.013938,-0.021893,0.716733,0.697039
9145393166,-0.013937,-0.021887,0.716741,0.697031
9145395669,-0.013935,-0.021880,0.716749,0.697023
9145398171,-0.013934,-0.021872,0.716755,0.697017
9145400674,-0.013932,-0.021867,0.716759,0.697013
9145403176,-0.013927,-0.021861,0.716765,0.697008
9145405678,-0.013920,-0.021854,0.716770,0.697003
9145408180,-0.013911,-0.021846,0.716773,0.697000
9145410683,-0.013903,-0.021838,0.716773,0.697001
9145413185,-0.013897,-0.021829,0.716771,0.697003
9145415687,-0.013891,-0.021819,0.716769,0.697006
9145418190,-0.013884,-0.021809,0.716767,0.697008
9145420692,-0.013878,-0.021797,0.716765,0.697010
9145423194,-0.013870,-0.021783,0.716764,0.697012
9145425697,-0.013859,-0.021768,0.716763,0.697014
9145428199,-0.013846,-0.021753,0.716763,0.697015
9145430701,-0.013835,-0.021740,0.716763,0.697015
9145433203,-0.013824,-0.021728,0.716762,0.697017
9145435706,-0.013814,-0.021720,0.716759,0.697020
9145438208,-0.013801,-0.021711,0.716757,0.697023
9145440711,-0.013787,-0.021701,0.716755,0.697026
9145443213,-0.013769,-0.021691,0.716753,0.697028
9145445715,-0.013753,-0.021681,0.716752,0.697030
9145448218,-0.013737,-0.021671,0.716749,0.697033
9145450720,-0.013720,-0.021659,0.716745,0.697038
9145453223,-0.013701,-0.021644,0.716740,0.697044
9145455725,-0.013682,-0.021627,0.716736,0.697049
9145458227,-0.013662,-0.021611,0.716733,0.697054
9145460730,-0.013637,-0.021590,0.716730,0.697057
9145463232,-0.013613,-0.021573,0.716727,0.697062
9145465734,-0.013592,-0.021553,0.716722,0.697068
9145468237,-0.013574,-0.021535,0.716717,0.697074
9145470739,-0.013553,-0.021519,0.716711,0.697081
9145473241,-0.013530,-0.021504,0.716707,0.697086
9145475743,-0.013503,-0.021489,0.716705,0.697089
9145478246,-0.013476,-0.021473,0.716703,0.697092
9145480748,-0.013450,-0.021455,0.716699,0.697097
9145483250,-0.013425,-0.021437,0.716695,0.697103
9145485753,-0.013401,-0.021420,0.716688,0.697110
9145488255,-0.013379,-0.021405,0.716680,0.697120
9145490757,-0.013358,-0.021390,0.716673,0.697128
9145493260,-0.013337,-0.021377,0.716667,0.697135
9145495762,-0.013317,-0.021365,0.716662,0.697140
9145498264,-0.013296,-0.021352,0.716659,0.697144
9145500767,-0.013276,-0.021336,0.716656,0.697149
9145503269,-0.013256,-0.021318,0.716652,0.697154
9145505771,-0.013237,-0.021299,0.716646,0.697161
9145508274,-0.013218,-0.021281,0.716639,0.697168
9145510776,-0.013200,-0.021264,0.716631,0.697177
9145513279,-0.013183,-0.021246,0.716624,0.697185
9145515781,-0.013165,-0.021229,0.716616,0.697195
9145518283,-0.013146,-0.021214,0.716606,0.697206
9145520786,-0.013130,-0.021201,0.716596,0.697217
9145523288,-0.013115,-0.021190,0.716587,0.697227
9145525790,-0.013100,-0.021183,0.716578,0.697237
9145528292,-0.013087,-0.021176,0.716572,0.697243
9145530795,-0.013074,-0.021166,0.716564,0.697252
9145533297,-0.013061,-0.021156,0.716555,0.697262
9145535799,-0.013047,-0.021142,0.716546,0.697272
9145538302,-0.013032,-0.021125,0.716536,0.697283
9145540804,-0.013018,-0.021109,0.716526,0.697294
9145543306,-0.013003,-0.021096,0.716516,0.697305
9145545809,-0.012992,-0.021082,0.716508,0.697313
9145548311,-0.012980,-0.021065,0.716502,0.697321
9145550814,-0.012970,-0.021049,0.716495,0.697329
9145553316,-0.012958,-0.021031,0.716487,0.697338
9145555818,-0.012948,-0.021012,0.716480,0.697346
9145558320,-0.012937,-0.020994,0.716474,0.697352
9145560823,-0.012926,-0.020977,0.716468,0.697359
9145563325,-0.012917,-0.020962,0.716464,0.697364
9145565827,-0.012909,-0.020947,0.716458,0.697370
9145568332,-0.012902,-0.020930,0.716454,0.697375
9145570832,-0.012896,-0.020915,0.716448,0.697382
9145573334,-0.012890,-0.020898,0.716444,0.697387
9145575837,-0.012881,-0.020880,0.716440,0.697392
9145578339,-0.012869,-0.020865,0.716438,0.697395
9145580842,-0.012858,-0.020849,0.716436,0.697397
9145583345,-0.012845,-0.020833,0.716434,0.697399
9145585847,-0.012831,-0.020814,0.716433,0.697401
9145588350,-0.012818,-0.020795,0.716432,0.697403
9145590852,-0.012807,-0.020779,0.716429,0.697407
9145593355,-0.012797,-0.020766,0.716425,0.697412
9145595857,-0.012787,-0.020757,0.716420,0.697418
9145598359,-0.012776,-0.020748,0.716414,0.697424
9145600862,-0.012765,-0.020740,0.716408,0.697431
9145603364,-0.012752,-0.020734,0.716402,0.697437
9145605866,-0.012740,-0.020729,0.716394,0.697446
9145608369,-0.012727,-0.020725,0.716384,0.697456
9145610871,-0.012718,-0.020723,0.716372,0.697469
9145613373,-0.012710,-0.020721,0.716362,0.697480
9145615876,-0.012699,-0.020722,0.716352,0.697490
9145618378,-0.012688,-0.020721,0.716345,0.697498
9145620880,-0.012679,-0.020721,0.716337,0.697506
9145623383,-0.012671,-0.020723,0.716330,0.697513
9145625885,-0.012664,-0.020726,0.716323,0.697520
9145628387,-0.012656,-0.020730,0.716318,0.697526
9145630890,-0.012649,-0.020734,0.716311,0.697532
9145633392,-0.012645,-0.020742,0.716304,0.697539
9145635894,-0.012642,-0.020751,0.716295,0.697549
9145638397,-0.012639,-0.020762,0.716287,0.697556
9145640899,-0.012641,-0.020771,0.716282,0.697561
9145643402,-0.012647,-0.020781,0.716277,0.697566
9145645904,-0.012653,-0.020795,0.716274,0.697569
9145648406,-0.012660,-0.020808,0.716271,0.697571
9145650908,-0.012667,-0.020820,0.716271,0.697571
9145653411,-0.012675,-0.020830,0.716270,0.697571
9145655913,-0.012684,-0.020843,0.716268,0.697573
9145658416,-0.012695,-0.020860,0.716265,0.697576
9145660918,-0.012708,-0.020885,0.716262,0.697577
9145663420,-0.012726,-0.020911,0.716261,0.697577
9145665922,-0.012744,-0.020939,0.716262,0.697576
9145668425,-0.012762,-0.020966,0.716263,0.697573
9145670927,-0.012783,-0.020993,0.716266,0.697569
9145673429,-0.012805,-0.021020,0.716267,0.697566
9145675932,-0.012831,-0.021051,0.716266,0.697566
9145678434,-0.012857,-0.021086,0.716266,0.697565
9145680937,-0.012884,-0.021125,0.716263,0.697565
9145683439,-0.012914,-0.021164,0.716260,0.697568
9145685941,-0.012945,-0.021202,0.716256,0.697570
9145688443,-0.012977,-0.021239,0.716252,0.697572
9145690946,-0.013008,-0.021275,0.716249,0.697573
9145693448,-0.013039,-0.021312,0.716246,0.697575
9145695950,-0.013072,-0.021349,0.716242,0.697577
9145698453,-0.013104,-0.021389,0.716238,0.697580
9145700955,-0.013136,-0.021429,0.716233,0.697583
9145703457,-0.013172,-0.021470,0.716228,0.697586
9145705960,-0.013211,-0.021512,0.716223,0.697589
9145708462,-0.013251,-0.021555,0.716218,0.697593
9145710966,-0.013294,-0.021598,0.716210,0.697598
9145713467,-0.013336,-0.021642,0.716200,0.697606
9145715969,-0.013378,-0.021686,0.716190,0.697614
9145718472,-0.013417,-0.021729,0.716184,0.697619
9145720974,-0.013454,-0.021770,0.716179,0.697621
9145723476,-0.013490,-0.021812,0.716174,0.697625
9145725978,-0.013529,-0.021856,0.716169,0.697628
9145728481,-0.013570,-0.021903,0.716163,0.697632
9145730983,-0.013614,-0.021950,0.716156,0.697637
9145733485,-0.013658,-0.021999,0.716148,0.697642
9145735988,-0.013701,-0.022049,0.716142,0.697646
9145738490,-0.013744,-0.022097,0.716138,0.697648
9145740993,-0.013789,-0.022143,0.716133,0.697651
9145743495,-0.013832,-0.022187,0.716128,0.697654
9145745997,-0.013873,-0.022231,0.716124,0.697656
9145748500,-0.013914,-0.022275,0.716120,0.697657
9145751002,-0.013955,-0.022318,0.716119,0.697656
9145753504,-0.013997,-0.022364,0.716118,0.697654
9145756007,-0.014039,-0.022410,0.716118,0.697653
9145758509,-0.014085,-0.022455,0.716115,0.697653
9145761011,-0.014131,-0.022500,0.716112,0.697653
9145763513,-0.014179,-0.022548,0.716110,0.697653
9145766016,-0.014226,-0.022597,0.716107,0.697653
9145768518,-0.014269,-0.022646,0.716103,0.697655
9145771020,-0.014308,-0.022692,0.716098,0.697659
9145773523,-0.014344,-0.022737,0.716093,0.697662
9145776026,-0.014382,-0.022781,0.716088,0.697664
9145778528,-0.014423,-0.022825,0.716085,0.697665
9145781030,-0.014465,-0.022869,0.716079,0.697668
9145783532,-0.014509,-0.022914,0.716073,0.697673
9145786035,-0.014553,-0.022964,0.716065,0.697679
9145788537,-0.014599,-0.023013,0.716056,0.697685
9145791039,-0.014647,-0.023063,0.716046,0.697692
9145793563,-0.014692,-0.023114,0.716038,0.697698
9145796049,-0.014734,-0.023164,0.716033,0.697701
9145798545,-0.014776,-0.023215,0.716030,0.697701
9145801047,-0.014821,-0.023265,0.716026,0.697702
9145803550,-0.014869,-0.023315,0.716020,0.697707
9145806052,-0.014918,-0.023365,0.716013,0.697711
9145808554,-0.014967,-0.023416,0.716008,0.697713
9145811057,-0.015011,-0.023463,0.716002,0.697716
9145813559,-0.015055,-0.023510,0.715998,0.697718
9145816061,-0.015100,-0.023557,0.715995,0.697718
9145818564,-0.015144,-0.023605,0.715992,0.697719
9145821066,-0.015187,-0.023651,0.715987,0.697722
9145823568,-0.015232,-0.023697,0.715981,0.697725
9145826071,-0.015279,-0.023744,0.715976,0.697728
9145828573,-0.015327,-0.023792,0.715971,0.697731
9145831075,-0.015373,-0.023843,0.715964,0.697734
9145833578,-0.015419,-0.023896,0.715959,0.697737
9145836080,-0.015465,-0.023949,0.715954,0.697739
9145838582,-0.015512,-0.024001,0.715949,0.697742
9145841085,-0.015557,-0.024051,0.715944,0.697745
9145843587,-0.015604,-0.024100,0.715937,0.697749
9145846089,-0.015653,-0.024148,0.715930,0.697753
9145848592,-0.015702,-0.024195,0.715924,0.697756
9145851094,-0.015750,-0.024244,0.715918,0.697760
9145853596,-0.015798,-0.024291,0.715911,0.697764
9145856099,-0.015847,-0.024337,0.715903,0.697770
9145858601,-0.015894,-0.024379,0.715896,0.697774
9145861103,-0.015937,-0.024421,0.715890,0.697779
9145863606,-0.015978,-0.024463,0.715885,0.697781
9145866108,-0.016020,-0.024508,0.715880,0.697783
9145868610,-0.016062,-0.024552,0.715874,0.697787
9145871113,-0.016106,-0.024594,0.715870,0.697789
9145873615,-0.016148,-0.024634,0.715864,0.697793
9145876117,-0.016190,-0.024675,0.715858,0.697797
9145878619,-0.016233,-0.024715,0.715851,0.697800
9145881122,-0.016279,-0.024755,0.715845,0.697805
9145883624,-0.016326,-0.024794,0.715841,0.697806
9145886127,-0.016373,-0.024833,0.715839,0.697806
9145888629,-0.016417,-0.024870,0.715838,0.697805
9145891131,-0.016457,-0.024908,0.715839,0.697801
9145893634,-0.016496,-0.024947,0.715841,0.697796
9145896136,-0.016532,-0.024986,0.715843,0.697793
9145898639,-0.016568,-0.025023,0.715842,0.697791
9145901141,-0.016604,-0.025061,0.715842,0.697789
9145903643,-0.016642,-0.025098,0.715841,0.697788
9145906146,-0.016677,-0.025135,0.715840,0.697787
9145908648,-0.016709,-0.025170,0.715838,0.697787
9145911150,-0.016740,-0.025205,0.715837,0.697786
9145913652,-0.016771,-0.025243,0.715836,0.697785
9145916155,-0.016803,-0.025282,0.715834,0.697785
9145918658,-0.016834,-0.025322,0.715830,0.697786
9145921159,-0.016865,-0.025361,0.715827,0.697788
9145923662,-0.016898,-0.025399,0.715824,0.697788
9145926164,-0.016930,-0.025438,0.715822,0.697788
9145928666,-0.016962,-0.025477,0.715819,0.697789
9145931169,-0.016994,-0.025517,0.715817,0.697789
9145933671,-0.017029,-0.025557,0.715813,0.697791
9145936173,-0.017065,-0.025596,0.715809,0.697792
9145938676,-0.017101,-0.025635,0.715807,0.697792
9145941178,-0.017136,-0.025674,0.715804,0.697793
9145943681,-0.017171,-0.025714,0.715801,0.697794
9145946183,-0.017206,-0.025753,0.715798,0.697795
9145948685,-0.017241,-0.025793,0.715796,0.697795
9145951188,-0.017277,-0.025833,0.715793,0.697795
9145953690,-0.017313,-0.025871,0.715790,0.697796
9145956192,-0.017349,-0.025909,0.715786,0.697798
9145958695,-0.017386,-0.025948,0.715783,0.697798
9145961197,-0.017422,-0.025992,0.715780,0.697799
9145963699,-0.017459,-0.026037,0.715776,0.697801
9145966201,-0.017493,-0.026082,0.715770,0.697804
9145968703,-0.017527,-0.026128,0.715766,0.697806
9145971206,-0.017561,-0.026169,0.715764,0.697805
9145973708,-0.017595,-0.026213,0.715765,0.697801
9145976211,-0.017632,-0.026255,0.715766,0.697798
9145978713,-0.017672,-0.026299,0.715765,0.697796
9145981215,-0.017710,-0.026344,0.715764,0.697794
9145983718,-0.017746,-0.026391,0.715764,0.697792
9145986220,-0.017784,-0.026436,0.715763,0.697791
9145988723,-0.017825,-0.026482,0.715760,0.697790
9145991225,-0.017866,-0.026527,0.715758,0.697790
9145993727,-0.017907,-0.026573,0.715759,0.697786
9145996229,-0.017947,-0.026619,0.715759,0.697783
9145998732,-0.017987,-0.026664,0.715760,0.697780
9146001234,-0.018025,-0.026709,0.715762,0.697775
9146003736,-0.018063,-0.026753,0.715764,0.697770
9146006239,-0.018101,-0.026797,0.715767,0.697764
9146008741,-0.018140,-0.026839,0.715770,0.697758
9146011243,-0.018179,-0.026879,0.715774,0.697752
9146013746,-0.018218,-0.026918,0.715776,0.697747
9146016248,-0.018258,-0.026958,0.715780,0.697741
9146018750,-0.018299,-0.026998,0.715783,0.697735
9146021253,-0.018341,-0.027040,0.715783,0.697732
9146023755,-0.018385,-0.027083,0.715783,0.697729
9146026257,-0.018431,-0.027126,0.715784,0.697725
9146028760,-0.018478,-0.027168,0.715787,0.697720
9146031262,-0.018525,-0.027210,0.715788,0.697715
9146033764,-0.018574,-0.027251,0.715791,0.697709
9146036267,-0.018622,-0.027292,0.715794,0.697703
9146038769,-0.018668,-0.027332,0.715797,0.697697
9146041272,-0.018716,-0.027369,0.715799,0.697693
9146043774,-0.018761,-0.027408,0.715800,0.697689
9146046276,-0.018802,-0.027446,0.715799,0.697687
9146048778,-0.018840,-0.027480,0.715799,0.697685
9146051281,-0.018876,-0.027511,0.715800,0.697682
9146053783,-0.018913,-0.027542,0.715803,0.697677
9146056285,-0.018953,-0.027576,0.715808,0.697669
9146058788,-0.018991,-0.027611,0.715816,0.697658
9146061290,-0.019028,-0.027644,0.715824,0.697648
9146063792,-0.019064,-0.027675,0.715831,0.697639
9146066295,-0.019098,-0.027706,0.715839,0.697628
9146068797,-0.019132,-0.027739,0.715847,0.697618
9146071299,-0.019167,-0.027776,0.715853,0.697609
9146073802,-0.019203,-0.027815,0.715860,0.697599
9146076304,-0.019238,-0.027854,0.715866,0.697591
9146078806,-0.019271,-0.027890,0.715877,0.697577
9146081309,-0.019301,-0.027927,0.715890,0.697562
9146083811,-0.019332,-0.027964,0.715904,0.697545
9146086313,-0.019367,-0.027999,0.715920,0.697526
9146088816,-0.019404,-0.028038,0.715938,0.697506
9146091318,-0.019442,-0.028080,0.715953,0.697487
9146093820,-0.019482,-0.028124,0.715966,0.697471
9146096323,-0.019518,-0.028169,0.715979,0.697454
9146098825,-0.019555,-0.028216,0.715997,0.697433
