Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9145270510,-0.130444,0.921085,-0.320202
9145291169,-0.081444,0.921085,-0.222202
9145311828,-0.130444,1.019085,-0.222202
9145332486,-0.228444,0.970085,-0.222202
9145353146,-0.081444,0.970085,-0.173202
9145373805,0.065556,0.872085,-0.222202
9145394465,0.016556,0.823085,-0.320202
9145415124,-0.032444,0.872085,-0.271202
9145435783,0.016556,0.774085,-0.222202
9145456443,0.065556,0.921085,-0.222202
9145477102,0.065556,0.921085,-0.320202
9145497762,0.065556,0.872085,-0.173202
9145518421,-0.032444,0.970085,-0.173202
9145539080,0.065556,0.921085,-0.124202
9145559740,0.114556,0.921085,-0.173202
9145580399,-0.081444,0.921085,-0.173202
9145601059,-0.032444,0.921085,-0.271202
9145621719,-0.081444,0.872085,-0.173202
9145642379,-0.032444,0.872085,-0.222202
9145663038,-0.130444,0.872085,-0.222202
9145683697,-0.032444,0.725085,-0.222202
9145704356,-0.228444,0.774085,-0.075202
9145725015,-0.179444,0.774085,-0.026202
9145745674,-0.130444,0.823085,-0.026202
9145766334,-0.081444,0.872085,-0.075202
9145786994,-0.081444,0.921085,-0.124202
9145807654,-0.081444,0.872085,-0.222202
9145828312,-0.081444,0.872085,-0.075202
9145848972,-0.081444,0.872085,-0.124202
9145869632,-0.032444,0.872085,-0.124202
9145890292,0.016556,0.872085,0.022798
9145910952,-0.032444,0.823085,-0.124202
9145931612,0.016556,0.872085,-0.075202
9145952272,0.016556,0.872085,-0.124202
9145972932,0.016556,0.823085,-0.124202
9145993592,0.016556,0.823085,-0.173202
9146014251,0.016556,0.921085,-0.222202
9146034910,0.016556,0.921085,-0.075202
9146055567,0.114556,0.921085,-0.075202
9146076225,0.065556,0.970085,-0.173202
9146096883,-0.032444,0.872085,-0.124202
9146117541,-0.179444,0.774085,-0.124202
9146138199,-0.179444,0.823085,-0.075202
9146158857,-0.130444,0.872085,-0.222202
9146179514,0.016556,0.774085,-0.222202
9146200171,0.016556,0.921085,-0.173202
9146220829,-0.032444,1.019085,-0.173202
9146241486,-0.032444,1.117085,-0.173202
9146262143,-0.081444,0.921085,-0.075202
9146282800,-0.032444,0.872085,-0.271202
9146303458,-0.032444,0.872085,-0.173202
9146324115,0.065556,0.823085,-0.124202
9146344809,0.065556,0.774085,-0.173202
9146365429,0.114556,0.774085,-0.271202
9146386085,-0.081444,0.823085,-0.124202
9146406741,-0.130444,0.823085,-0.173202
9146427398,-0.032444,0.921085,-0.026202
9146448054,0.016556,0.872085,0.120798
9146468711,0.016556,0.970085,-0.026202
9146489366,-0.032444,0.872085,-0.026202
9146510023,-0.032444,0.872085,-0.026202
9146530679,-0.081444,0.872085,-0.075202
9146551336,-0.032444,0.823085,-0.124202
9146571993,-0.032444,0.823085,-0.173202
9146592651,-0.032444,0.823085,-0.173202
9146613307,-0.081444,0.774085,-0.124202
9146633963,-0.081444,0.823085,-0.075202
9146654619,-0.130444,0.921085,-0.026202
9146675275,-0.081444,0.970085,-0.075202
9146695932,-0.081444,0.970085,-0.075202
9146716588,-0.032444,0.921085,-0.075202
9146737244,0.065556,0.921085,-0.124202
9146757900,-0.081444,0.921085,-0.075202
9146778557,-0.081444,0.921085,-0.075202
9146799214,-0.032444,0.872085,-0.075202
9146819871,-0.032444,0.725085,-0.173202
9146840528,0.065556,0.774085,-0.222202
9146861186,0.016556,0.872085,-0.075202
9146881844,-0.130444,0.970085,-0.075202
9146902501,-0.081444,0.970085,-0.075202
9146923160,-0.081444,0.872085,-0.124202
9146943820,-0.081444,0.872085,-0.124202
9146964479,-0.081444,0.872085,-0.075202
9146985138,-0.081444,0.872085,-0.026202
9147005797,-0.179444,1.019085,-0.026202
9147026455,-0.179444,0.872085,-0.124202
9147047114,-0.032444,0.872085,-0.124202
9147067773,-0.081444,0.872085,-0.124202
9147088431,-0.032444,0.872085,-0.075202
9147109090,-0.081444,0.872085,0.022798
9147129749,-0.081444,0.872085,-0.124202
9147150408,-0.081444,0.921085,-0.222202
9147171068,-0.130444,0.970085,-0.222202
9147191726,0.016556,0.970085,-0.271202
9147212385,0.114556,0.823085,-0.075202
9147233045,0.016556,0.872085,-0.124202
9147253704,-0.179444,0.872085,-0.075202
9147274364,-0.081444,0.823085,-0.026202
9147295023,-0.081444,0.823085,-0.124202
9147315682,0.016556,0.823085,0.022798
9147336341,0.016556,0.823085,-0.124202
9147357001,-0.130444,0.774085,-0.075202
9147377661,-0.130444,0.823085,-0.075202
9147398321,-0.032444,0.823085,-0.026202
9147418980,-0.032444,0.872085,-0.026202
9147439640,-0.032444,0.970085,0.169798
9147460300,-0.081444,0.872085,0.120798
9147480960,-0.130444,0.872085,0.120798
9147501620,-0.130444,0.823085,0.120798
9147522279,-0.081444,0.774085,0.022798
9147542939,-0.081444,0.823085,0.169798
9147563605,-0.032444,0.823085,0.120798
