Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9145272478,-0.180085,-1.385069,0.323649
9145322133,-0.180081,-1.394128,0.323613
9145371783,-0.188827,-1.384895,0.313062
9145421431,-0.170913,-1.384776,0.302753
9145471078,-0.179799,-1.384771,0.302669
9145520723,-0.188970,-1.385044,0.323552
9145570363,-0.206448,-1.393735,0.302328
9145620008,-0.214900,-1.402322,0.270729
9145669663,-0.232382,-1.411054,0.249525
9145719313,-0.240989,-1.401713,0.228486
9145768961,-0.258754,-1.401622,0.228289
9145818610,-0.258462,-1.401283,0.207312
9145868258,-0.276524,-1.401572,0.228095
9145917904,-0.258611,-1.401473,0.217799
9145967555,-0.267350,-1.401278,0.207213
9146017204,-0.258603,-1.419591,0.217726
9146066844,-0.241268,-1.401949,0.249460
9146116488,-0.267636,-1.401576,0.228191
9146166132,-0.267782,-1.401746,0.238682
9146215777,-0.267779,-1.401726,0.238679
9146265420,-0.276663,-1.410780,0.238549
9146315055,-0.250016,-1.392737,0.238913
9146364697,-0.259040,-1.401920,0.249270
9146414336,-0.258890,-1.410809,0.238740
9146463979,-0.258749,-1.419761,0.228218
9146513614,-0.232093,-1.410735,0.228543
9146563254,-0.231807,-1.410437,0.207565
9146612895,-0.231817,-1.392339,0.207636
9146662541,-0.214181,-1.410636,0.218248
9146712178,-0.205148,-1.428651,0.207783
9146761828,-0.196264,-1.419575,0.207919
9146811478,-0.178498,-1.419687,0.208109
9146861134,-0.169468,-1.419521,0.197720
9146910794,-0.169611,-1.419670,0.208209
9146960444,-0.160297,-1.419248,0.176840
9147010102,-0.151845,-1.410640,0.208442
9147059754,-0.160444,-1.410338,0.187365
9147109408,-0.142671,-1.419447,0.187523
9147159062,-0.142528,-1.419298,0.177034
9147208714,-0.133786,-1.419472,0.187620
9147258365,-0.142528,-1.419319,0.177028
9147308022,-0.133497,-1.428254,0.166599
9147357673,-0.150980,-1.427906,0.145424
9147407331,-0.159436,-1.427454,0.113840
9147456981,-0.159436,-1.427413,0.113871
9147506633,-0.150405,-1.436390,0.103409
9147556290,-0.149975,-1.435879,0.071999
9147605942,-0.150548,-1.436517,0.113916
9147655596,-0.141663,-1.436500,0.114045
9147705245,-0.132921,-1.436674,0.124629
9147754894,-0.133214,-1.418896,0.145654
9147804549,-0.133207,-1.436972,0.145604
9147854206,-0.124612,-1.428257,0.166704
9147903842,-0.133640,-1.428382,0.177095
9147953492,-0.142814,-1.419596,0.198012
9148003170,-0.151556,-1.419443,0.187421
9148052787,-0.169323,-1.428473,0.187186
9148102436,-0.186956,-1.410135,0.176579
9148152081,-0.213172,-1.436812,0.144696
9148201719,-0.230654,-1.427342,0.123597
9148251363,-0.239264,-1.408942,0.102563
9148301000,-0.292417,-1.426720,0.091455
9148350643,-0.301162,-1.417488,0.080907
9148400291,-0.282823,-1.426041,0.039063
9148449934,-0.318656,-1.408122,0.059728
9148499576,-0.301018,-1.426418,0.070361
9148549223,-0.291861,-1.408068,0.049504
9148598874,-0.291701,-1.435055,0.038956
9148648523,-0.291554,-1.443965,0.028431
9148698163,-0.265050,-1.435150,0.039221
9148747805,-0.273934,-1.435125,0.039124
9148797454,-0.265334,-1.444529,0.060142
9148847098,-0.247564,-1.435477,0.060419
9148896740,-0.230370,-1.427064,0.102605
9148946388,-0.230370,-1.427064,0.102605
9148996035,-0.239823,-1.436695,0.144427
9149045677,-0.222204,-1.418776,0.155182
9149095335,-0.213459,-1.428008,0.165732
9149144984,-0.204573,-1.428012,0.165837
9149194638,-0.213316,-1.427859,0.155243
9149244284,-0.222492,-1.419095,0.176154
9149293929,-0.213752,-1.410189,0.186782
9149343573,-0.222496,-1.410035,0.176190
9149393215,-0.222780,-1.419414,0.197131
9149442854,-0.213752,-1.410189,0.186782
9149492500,-0.222633,-1.428324,0.186603
9149542141,-0.222347,-1.418925,0.165671
9149591783,-0.222490,-1.419074,0.176160
9149641421,-0.222208,-1.418817,0.155163
9149691070,-0.230940,-1.436741,0.144513
9149740716,-0.230803,-1.418453,0.134108
9149790355,-0.212895,-1.418415,0.123771
9149840001,-0.204003,-1.427458,0.123860
9149889649,-0.204005,-1.427479,0.123846
9149939304,-0.204145,-1.427586,0.134363
9149988951,-0.195546,-1.427909,0.155438
9150038593,-0.195689,-1.428058,0.165926
9150088234,-0.204581,-1.419016,0.165850
9150137881,-0.196126,-1.419509,0.197419
9150187527,-0.187237,-1.419471,0.197526
9150237165,-0.187097,-1.419364,0.187028
9150286798,-0.187384,-1.410561,0.208051
9150336444,-0.187235,-1.428551,0.197487
9150386086,-0.169608,-1.428750,0.208171
9150435723,-0.178353,-1.419496,0.197623
9150485365,-0.169615,-1.410611,0.208246
9150535013,-0.169898,-1.419989,0.229188
9150584659,-0.178780,-1.429045,0.229056
9150634304,-0.160584,-1.419567,0.197814
9150683947,-0.152132,-1.410980,0.229419
9150733576,-0.143096,-1.428953,0.218953
9150783210,-0.161014,-1.420035,0.229287
9150832878,-0.160869,-1.419844,0.218795
9150882487,-0.143244,-1.420106,0.229483
9150932119,-0.152128,-1.420039,0.229383
9150981749,-0.160866,-1.428903,0.218759
9151031380,-0.161009,-1.429073,0.229249
9151081018,-0.170040,-1.420117,0.239676
9151130655,-0.178647,-1.401697,0.218673
9151180288,-0.178785,-1.420006,0.229094
9151229920,-0.187668,-1.419940,0.228994
9151279550,-0.178637,-1.428896,0.218564
