Timestamp (us),W Element,X Element,Y Element,Z Element
9145253305,0.125925,0.109300,-0.667570,-0.725802
9145255802,0.126214,0.109486,-0.667740,-0.725568
9145258302,0.126519,0.109691,-0.667902,-0.725335
9145260798,0.126834,0.109918,-0.668061,-0.725099
9145263295,0.127153,0.110170,-0.668229,-0.724850
9145265792,0.127477,0.110436,-0.668398,-0.724597
9145268290,0.127800,0.110712,-0.668565,-0.724344
9145270788,0.128112,0.111002,-0.668741,-0.724082
9145273285,0.128416,0.111301,-0.668919,-0.723817
9145275782,0.128712,0.111604,-0.669090,-0.723560
9145278280,0.128992,0.111914,-0.669255,-0.723310
9145280777,0.129253,0.112235,-0.669413,-0.723067
9145283275,0.129500,0.112559,-0.669554,-0.722842
9145285772,0.129733,0.112886,-0.669681,-0.722632
9145288270,0.129947,0.113215,-0.669799,-0.722433
9145290767,0.130142,0.113547,-0.669908,-0.722244
9145293265,0.130322,0.113877,-0.670006,-0.722069
9145295762,0.130485,0.114206,-0.670099,-0.721901
9145298260,0.130630,0.114538,-0.670193,-0.721735
9145300758,0.130759,0.114864,-0.670283,-0.721576
9145303255,0.130877,0.115182,-0.670369,-0.721424
9145305753,0.130979,0.115491,-0.670453,-0.721278
9145308250,0.131057,0.115786,-0.670537,-0.721138
9145310748,0.131111,0.116054,-0.670622,-0.721007
9145313245,0.131139,0.116291,-0.670704,-0.720887
9145315743,0.131137,0.116497,-0.670787,-0.720777
9145318240,0.131108,0.116669,-0.670863,-0.720684
9145320750,0.131060,0.116804,-0.670929,-0.720609
9145323234,0.130993,0.116905,-0.670990,-0.720548
9145325731,0.130906,0.116980,-0.671054,-0.720492
9145328229,0.130803,0.117029,-0.671116,-0.720445
9145330726,0.130692,0.117051,-0.671177,-0.720405
9145333224,0.130575,0.117056,-0.671240,-0.720366
9145335722,0.130457,0.117048,-0.671308,-0.720326
9145338219,0.130343,0.117028,-0.671375,-0.720288
9145340717,0.130235,0.116995,-0.671441,-0.720251
9145343214,0.130128,0.116949,-0.671509,-0.720214
9145345712,0.130021,0.116887,-0.671578,-0.720180
9145348209,0.129914,0.116804,-0.671643,-0.720151
9145350707,0.129808,0.116703,-0.671706,-0.720129
9145353205,0.129700,0.116589,-0.671768,-0.720108
9145355702,0.129591,0.116461,-0.671828,-0.720093
9145358200,0.129484,0.116315,-0.671879,-0.720088
9145360697,0.129382,0.116157,-0.671921,-0.720092
9145363195,0.129287,0.115993,-0.671959,-0.720101
9145365692,0.129202,0.115829,-0.671989,-0.720114
9145368190,0.129133,0.115664,-0.672003,-0.720140
9145370687,0.129080,0.115503,-0.672002,-0.720176
9145373185,0.129046,0.115354,-0.671984,-0.720223
9145375682,0.129023,0.115206,-0.671949,-0.720283
9145378180,0.129010,0.115054,-0.671895,-0.720360
9145380678,0.129006,0.114896,-0.671823,-0.720454
9145383175,0.129010,0.114736,-0.671732,-0.720563
9145385673,0.129022,0.114575,-0.671623,-0.720688
9145388170,0.129045,0.114414,-0.671496,-0.720828
9145390668,0.129077,0.114255,-0.671356,-0.720978
9145393165,0.129117,0.114101,-0.671209,-0.721132
9145395663,0.129165,0.113956,-0.671058,-0.721287
9145398160,0.129220,0.113827,-0.670910,-0.721435
9145400658,0.129283,0.113719,-0.670773,-0.721568
9145403155,0.129353,0.113632,-0.670646,-0.721687
9145405653,0.129433,0.113556,-0.670529,-0.721794
9145408150,0.129519,0.113493,-0.670422,-0.721888
9145410648,0.129605,0.113442,-0.670321,-0.721974
9145413146,0.129692,0.113404,-0.670225,-0.722053
9145415643,0.129782,0.113379,-0.670133,-0.722127
