Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9145250637,-0.264931,0.744445,-0.978987
9145270522,-0.558931,0.940445,-1.027987
9145290408,-0.656931,0.989445,-0.978987
9145310294,-0.656931,0.940445,-1.125987
9145330181,-0.656931,0.793445,-0.978987
9145350066,-0.558931,0.842445,-0.929987
9145369952,-0.264931,0.940445,-0.831987
9145389838,-0.117931,0.842445,-0.880987
9145409740,-0.166931,0.646445,-0.831987
9145429613,-0.215931,0.548445,-0.978987
9145449499,-0.313931,0.695445,-0.880987
9145469384,-0.264931,0.891445,-1.076987
9145489269,-0.215931,0.891445,-0.929987
9145509155,-0.362931,0.989445,-1.125987
9145529043,-0.460931,0.940445,-1.174987
9145548930,-0.313931,1.038445,-0.929987
9145568817,-0.264931,0.940445,-1.076987
9145588702,-0.411931,1.038445,-1.027987
9145608589,-0.264931,0.989445,-0.978987
9145628475,-0.264931,0.891445,-0.978987
9145648360,-0.166931,0.989445,-1.027987
9145668245,0.029069,1.087445,-1.027987
9145688131,0.029069,1.136445,-1.076987
9145708016,0.127069,0.989445,-1.076987
9145727901,-0.117931,0.891445,-1.125987
9145747787,-0.313931,1.087445,-1.125987
9145767672,-0.264931,0.940445,-1.027987
9145787557,-0.166931,0.891445,-1.027987
9145807442,-0.166931,0.891445,-1.076987
9145827327,-0.019931,0.891445,-1.027987
9145847214,-0.068931,0.891445,-0.929987
9145867100,0.029069,0.793445,-0.880987
9145886986,-0.068931,0.597445,-1.027987
9145906872,0.029069,0.646445,-1.125987
9145926757,0.127069,0.597445,-1.027987
9145946644,-0.117931,0.646445,-0.978987
9145966531,-0.411931,0.499445,-1.174987
9145986417,-0.754931,0.793445,-1.370987
9146006303,-1.097931,0.891445,-1.566987
9146026188,-0.901931,1.136445,-1.370987
9146046086,0.421069,1.038445,-1.468987
9146065961,0.666069,0.303445,-0.831987
9146085846,-0.313931,0.450445,-0.243987
9146105731,-0.803931,0.548445,-0.978987
9146125617,-0.509931,0.352445,-1.027987
9146145502,-0.215931,0.597445,-0.880987
9146165385,0.078069,0.597445,-1.027987
9146185270,0.127069,0.793445,-1.174987
9146205154,-0.117931,0.695445,-1.223987
9146225037,-0.460931,0.646445,-1.125987
9146244922,-0.558931,0.597445,-1.174987
9146264807,-0.509931,0.793445,-1.272987
9146284692,-0.362931,0.744445,-1.272987
9146304577,-0.362931,0.793445,-1.223987
9146324461,-0.411931,0.891445,-1.223987
9146344347,-0.313931,0.695445,-1.223987
9146364232,-0.313931,0.646445,-1.174987
9146384118,-0.313931,0.646445,-1.223987
9146404004,-0.362931,0.695445,-1.223987
9146423891,-0.411931,0.695445,-1.174987
9146443778,-0.362931,0.842445,-1.125987
9146463666,-0.362931,0.793445,-1.223987
9146483553,-0.313931,0.793445,-1.223987
9146503439,-0.411931,0.940445,-1.125987
9146523326,-0.509931,0.695445,-1.174987
9146543212,-0.460931,0.695445,-1.174987
9146563097,-0.558931,0.695445,-1.125987
9146582982,-0.460931,0.744445,-1.125987
9146602867,-0.558931,0.646445,-1.125987
9146622753,-0.509931,0.695445,-1.076987
9146642638,-0.509931,0.744445,-1.174987
9146662523,-0.411931,0.744445,-1.125987
9146682433,-0.558931,0.646445,-1.174987
9146702292,-0.509931,0.646445,-1.125987
9146722177,-0.509931,0.695445,-1.027987
9146742062,-0.509931,0.597445,-1.027987
9146761947,-0.411931,0.597445,-1.174987
9146781833,-0.509931,0.597445,-1.125987
9146801718,-0.509931,0.597445,-1.174987
9146821604,-0.558931,0.597445,-1.174987
9146841490,-0.656931,0.695445,-1.272987
9146861375,-0.411931,0.744445,-1.272987
9146881262,-0.460931,0.450445,-1.174987
9146901149,-0.558931,0.499445,-1.076987
9146921035,-0.803931,0.597445,-0.978987
9146940921,-0.754931,0.597445,-1.125987
9146960807,-0.607931,0.597445,-1.076987
9146980693,-0.460931,0.646445,-1.076987
