Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9145234977,1.264943,44.490322,43.010738,-0.048002,0.739470,-0.394325
9145237472,1.547578,38.457638,44.144814,-0.085169,0.729642,-0.395842
9145239967,2.194996,31.999861,44.731598,-0.123699,0.723530,-0.400957
9145242472,2.841922,25.117918,44.891968,-0.162912,0.726115,-0.403008
9145244959,3.549634,17.872988,44.504787,-0.199122,0.733818,-0.407831
9145247454,4.380399,10.751515,43.632484,-0.233092,0.737967,-0.419239
9145249949,5.213511,4.058344,42.275871,-0.269838,0.748771,-0.434941
9145252445,5.927558,-2.084563,40.495895,-0.299328,0.764531,-0.446063
9145254940,6.583448,-7.616860,38.353561,-0.320032,0.787477,-0.456180
9145257435,7.060087,-12.355437,35.849289,-0.358177,0.818516,-0.461335
9145259931,7.356963,-16.422312,33.043388,-0.387790,0.846379,-0.455481
9145262427,7.229382,-20.121679,30.116640,-0.420270,0.877194,-0.450348
9145264922,6.676620,-23.757334,26.946604,-0.459344,0.907296,-0.442423
9145267417,5.819473,-27.452621,23.775915,-0.494846,0.939451,-0.428573
9145269913,4.656810,-31.330936,20.968458,-0.521556,0.975199,-0.416699
9145272408,3.189020,-35.270542,18.524633,-0.550387,1.009597,-0.409984
9145274904,1.598317,-39.212410,16.687771,-0.571955,1.041036,-0.404661
9145277399,0.129149,-42.852909,15.398525,-0.584819,1.069490,-0.399979
9145279895,-1.157117,-45.949348,14.779218,-0.589659,1.089978,-0.402597
9145282391,-2.077331,-48.380180,14.709094,-0.587905,1.099660,-0.416232
9145284886,-2.874545,-50.204189,14.944736,-0.580410,1.099844,-0.431404
9145287381,-3.486722,-51.237614,15.183268,-0.574590,1.087552,-0.440276
9145289877,-4.279173,-51.721359,15.180485,-0.563593,1.068111,-0.460122
9145292372,-5.190249,-51.593414,14.633108,-0.552644,1.045016,-0.479307
9145294868,-6.342913,-51.218788,13.600463,-0.550608,1.021072,-0.486269
9145297364,-7.554845,-50.659096,12.082619,-0.556673,0.998528,-0.485325
9145299859,-8.643653,-49.915352,10.140561,-0.565567,0.977541,-0.488770
9145302354,-9.549451,-49.171249,7.955914,-0.573740,0.960139,-0.489223
9145304850,-10.272488,-48.427338,5.650112,-0.585499,0.948587,-0.488899
9145307345,-10.995646,-47.683701,3.405023,-0.601566,0.939297,-0.490789
9145309841,-11.657828,-46.819122,1.281855,-0.616874,0.932197,-0.493356
9145312336,-12.076638,-45.834625,-0.658406,-0.632908,0.925104,-0.495934
9145314832,-12.434504,-44.547951,-2.172571,-0.647521,0.915801,-0.497801
9145317328,-12.791507,-42.836285,-3.442470,-0.658504,0.905018,-0.500364
9145319823,-13.268933,-40.577400,-4.467878,-0.663649,0.894203,-0.504289
9145322318,-13.684287,-37.892937,-5.431072,-0.663641,0.881252,-0.513997
9145324813,-14.098266,-34.661465,-6.210310,-0.662963,0.871109,-0.517814
9145327309,-14.450153,-30.883512,-6.744789,-0.658613,0.866734,-0.520009
9145329804,-14.800224,-26.497128,-7.216539,-0.648509,0.859354,-0.519979
9145332300,-14.905637,-21.625319,-7.564889,-0.639110,0.856327,-0.518423
9145334795,-15.009302,-16.205675,-7.911426,-0.623106,0.856185,-0.518892
