Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9145239573,0.579682,-0.778650,0.708581
9145290021,0.561413,-0.806393,0.708299
9145340471,0.580256,-0.815317,0.677293
9145390932,0.579995,-0.815558,0.698220
9145441387,0.561782,-0.824680,0.687562
9145491842,0.543903,-0.870728,0.666727
9145542298,0.507585,-0.907500,0.645601
9145592757,0.452188,-0.944840,0.676325
9145643216,0.434038,-0.972432,0.665406
9145693675,0.406007,-0.963518,0.696406
9145744140,0.460468,-0.908337,0.727900
9145794600,0.505665,-0.834667,0.759477
9145845070,0.513655,-0.724191,0.811607
9145895532,0.475304,-0.632497,0.893928
9145945992,0.391880,-0.605128,0.934644
9145996443,0.373358,-0.605232,0.944947
9146046896,0.354412,-0.577785,0.975729
9146097351,0.483340,-0.503389,0.935590
9146147803,0.547702,-0.466312,0.926394
9146198250,0.455483,-0.475715,0.945530
9146248704,0.520212,-0.494048,0.925608
9146299160,0.520524,-0.530955,0.915248
9146349613,0.520733,-0.549345,0.904638
9146400068,0.576768,-0.576607,0.853852
9146450525,0.604542,-0.595009,0.843437
9146500983,0.604826,-0.594787,0.822696
9146551451,0.604585,-0.604264,0.843440
9146601915,0.604860,-0.576157,0.812101
9146652384,0.632245,-0.557792,0.823089
9146702839,0.641224,-0.511525,0.823172
9146753290,0.668448,-0.465381,0.833822
9146803744,0.668633,-0.474525,0.823453
9146854198,0.668547,-0.456015,0.823447
9146904649,0.733748,-0.427514,0.751422
9146955098,0.761427,-0.446044,0.751823
9147005549,0.714922,-0.446462,0.793032
9147056000,0.724088,-0.446464,0.792917
9147106451,0.706071,-0.464738,0.771984
9147156903,0.706140,-0.473998,0.772194
9147207353,0.678392,-0.501964,0.792552
9147257804,0.688790,-0.575345,0.730534
9147308249,0.635552,-0.750247,0.646835
9147358708,0.499621,-0.962220,0.572757
9147409146,0.290186,-1.118402,0.477222
9147459594,0.108090,-1.191234,0.371679
9147510041,0.016710,-1.218586,0.339544
9147560485,-0.001676,-1.218556,0.339304
9147610937,-0.002568,-1.209970,0.401523
9147661389,0.097533,-1.173687,0.464811
9147711839,0.280752,-1.127873,0.497868
9147762294,0.417227,-1.036200,0.571899
9147812745,0.516807,-0.944637,0.656084
9147863202,0.543145,-0.834135,0.708018
9147913657,0.597893,-0.778748,0.718861
9147964111,0.616228,-0.760276,0.719340
9148014563,0.598512,-0.815450,0.687951
9148065011,0.544598,-0.898048,0.625244
9148115467,0.490763,-0.971258,0.551995
9148165928,0.436874,-1.063085,0.489143
9148216380,0.373645,-1.117931,0.426364
9148266838,0.319118,-1.163818,0.394621
9148317293,0.273432,-1.191473,0.383867
9148367745,0.246495,-1.209486,0.341993
9148418209,0.227680,-1.209790,0.372864
9148468674,0.209061,-1.219289,0.393513
9148519135,0.227504,-1.200680,0.383330
9148569591,0.218250,-1.219278,0.393560
9148620048,0.199825,-1.210028,0.393412
9148670502,0.190760,-1.237786,0.393324
9148720958,0.218250,-1.219278,0.393560
9148771415,0.208826,-1.200857,0.403775
9148821882,0.218336,-1.237787,0.393567
9148872342,0.245924,-1.209914,0.383430
9148922797,0.255253,-1.209792,0.373110
9148973277,0.282701,-1.209955,0.383872
9149023714,0.301143,-1.191347,0.373690
9149074171,0.346733,-1.173075,0.394867
9149124629,0.346960,-1.163567,0.374027
9149175091,0.374397,-1.154537,0.384983
9149225550,0.383660,-1.145114,0.374509
9149276010,0.365082,-1.135943,0.384631
9149326467,0.383553,-1.154464,0.384833
9149376929,0.392953,-1.163661,0.374710
9149427399,0.365005,-1.145355,0.395156
9149477862,0.365239,-1.163770,0.384839
9149528319,0.338014,-1.182006,0.363708
9149578781,0.292369,-1.190991,0.342433
9149629233,0.255967,-1.209252,0.321307
9149679693,0.210658,-1.227302,0.279377
9149730148,0.155905,-1.254771,0.257990
9149780610,0.110171,-1.273156,0.247167
9149831068,0.091969,-1.282287,0.236604
9149881526,0.110456,-1.272951,0.226455
9149931979,0.110369,-1.254424,0.226421
9149982428,0.128658,-1.263820,0.237019
9150032885,0.156053,-1.254695,0.247682
9150083336,0.174294,-1.254801,0.258218
9150133796,0.211409,-1.236001,0.227521
9150184245,0.220611,-1.236041,0.227675
9150234701,0.229616,-1.226887,0.238115
9150285155,0.238847,-1.236130,0.238187
9150335609,0.229757,-1.226775,0.227742
9150386059,0.230079,-1.235790,0.206974
9150436524,0.229937,-1.235902,0.217346
9150486980,0.239135,-1.235925,0.217470
9150537439,0.230221,-1.235679,0.196602
9150587890,0.230088,-1.235825,0.207023
9150638349,0.221032,-1.235690,0.196527
9150688799,0.220843,-1.226530,0.206873
9150739260,0.220744,-1.235896,0.217247
9150789708,0.230074,-1.235773,0.206949
9150840166,0.211500,-1.226601,0.217094
9150890618,0.211456,-1.245273,0.227552
9150941072,0.202598,-1.226406,0.196305
9150991528,0.211504,-1.226618,0.217120
9151041983,0.211782,-1.254305,0.206809
9151092426,0.202393,-1.245103,0.217002
9151142879,0.174499,-1.236104,0.237530
9151193336,0.146769,-1.236145,0.247517
9151243789,0.101178,-1.254436,0.226350
9151294241,0.083216,-1.254089,0.195039
9151344698,0.074494,-1.263039,0.163867
9151395160,0.092777,-1.272364,0.174380
9151445608,0.083683,-1.262993,0.163908
9151496061,0.101976,-1.272424,0.174539
9151546523,0.129610,-1.253804,0.164433
9151596983,0.138846,-1.263065,0.164534
9151647435,0.148036,-1.263053,0.164614
9151697891,0.166379,-1.253811,0.164807
9151748347,0.156813,-1.263447,0.195897
9151798802,0.165816,-1.254274,0.206318
9151849251,0.166234,-1.253905,0.175158
9151899699,0.175105,-1.244897,0.196017
9151950155,0.175636,-1.235231,0.154562
9152000605,0.166205,-1.244720,0.175237
9152051056,0.166383,-1.253829,0.164826
