Timestamp (us),W Element,X Element,Y Element,Z Element
9145234977,0.309311,0.280820,0.808175,0.415408
9145237472,0.308211,0.281353,0.808149,0.415916
9145239967,0.307200,0.281898,0.808101,0.416386
9145242472,0.306316,0.282507,0.808012,0.416797
9145244959,0.305576,0.283169,0.807885,0.417138
9145247454,0.304971,0.283881,0.807725,0.417406
9145249949,0.304500,0.284631,0.807538,0.417601
9145252445,0.304156,0.285405,0.807328,0.417729
9145254940,0.303929,0.286195,0.807100,0.417795
9145257435,0.303814,0.286981,0.806859,0.417805
9145259931,0.303803,0.287752,0.806608,0.417767
9145262427,0.303893,0.288500,0.806346,0.417691
9145264922,0.304032,0.289250,0.806074,0.417596
9145267417,0.304270,0.289973,0.805789,0.417472
9145269913,0.304608,0.290673,0.805485,0.417325
9145272408,0.305046,0.291356,0.805157,0.417163
9145274904,0.305580,0.292030,0.804799,0.416991
9145277399,0.306198,0.292704,0.804411,0.416813
9145279895,0.306883,0.293386,0.803995,0.416633
9145282391,0.307616,0.294080,0.803554,0.416454
9145284886,0.308383,0.294789,0.803091,0.416279
9145287381,0.309168,0.295504,0.802614,0.416109
9145289877,0.309966,0.296218,0.802126,0.415949
9145292372,0.310770,0.296908,0.801634,0.415805
9145294868,0.311582,0.297567,0.801141,0.415676
9145297364,0.312405,0.298185,0.800650,0.415561
9145299859,0.313239,0.298752,0.800167,0.415457
9145302354,0.314084,0.299267,0.799694,0.415359
9145304850,0.314940,0.299728,0.799235,0.415263
9145307345,0.315807,0.300136,0.798788,0.415169
9145309841,0.316682,0.300493,0.798355,0.415078
9145312336,0.317558,0.300802,0.797938,0.414987
9145314832,0.318427,0.301069,0.797535,0.414901
9145317328,0.319279,0.301293,0.797150,0.414823
9145319823,0.320102,0.301474,0.796783,0.414762
9145322318,0.320890,0.301610,0.796437,0.414720
9145324813,0.321630,0.301698,0.796115,0.414701
9145327309,0.322311,0.301739,0.795820,0.414709
9145329804,0.322921,0.301727,0.795555,0.414750
9145332300,0.323450,0.301664,0.795327,0.414822
9145334795,0.323888,0.301544,0.795138,0.414929
9145337291,0.324225,0.301365,0.794992,0.415077
9145339787,0.324455,0.301127,0.794889,0.415266
9145342282,0.324591,0.300860,0.794820,0.415485
9145344777,0.324615,0.300534,0.794798,0.415745
9145347273,0.324527,0.300151,0.794821,0.416047
9145349768,0.324326,0.299717,0.794887,0.416389
9145352264,0.324066,0.299203,0.794998,0.416750
9145354759,0.323698,0.298650,0.795144,0.417154
9145357255,0.323230,0.298062,0.795322,0.417598
9145359750,0.322665,0.297441,0.795529,0.418082
9145362268,0.322006,0.296787,0.795765,0.418605
9145364751,0.321279,0.296109,0.796020,0.419159
9145367238,0.320487,0.295400,0.796293,0.419748
9145369731,0.319636,0.294662,0.796579,0.420371
9145372226,0.318741,0.293900,0.796877,0.421020
9145374722,0.317817,0.293116,0.797180,0.421690
9145377217,0.316879,0.292315,0.797485,0.422376
9145379713,0.315939,0.291502,0.797783,0.423078
9145382208,0.315010,0.290685,0.798070,0.423791
9145384703,0.314129,0.289843,0.798365,0.424464
9145387199,0.313282,0.289006,0.798643,0.425139
9145389695,0.312477,0.288182,0.798897,0.425813
