Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9145272502,0.446034,0.879954,0.321882
9145292958,0.446034,0.879954,0.174882
9145313414,0.397034,0.830954,0.076882
9145333870,0.348034,0.683954,0.027882
9145354327,0.250034,0.634954,-0.021118
9145374782,0.299034,0.585954,-0.070118
9145395238,0.299034,0.634954,-0.266118
9145415695,0.250034,0.634954,-0.315118
9145436151,0.348034,0.781954,-0.315118
9145456607,0.397034,0.732954,-0.511118
9145477064,0.348034,0.634954,-0.511118
9145497519,0.348034,0.781954,-0.462118
9145517976,0.348034,0.830954,-0.364118
9145538432,0.299034,0.830954,-0.315118
9145558889,0.299034,0.830954,-0.266118
9145579345,0.250034,0.879954,-0.266118
9145599803,0.201034,0.879954,-0.266118
9145620259,0.201034,0.928954,-0.266118
9145640716,0.299034,0.830954,-0.217118
9145661173,0.250034,0.781954,-0.119118
9145681630,0.250034,0.879954,-0.119118
9145702089,0.250034,0.830954,-0.070118
9145722547,0.299034,0.781954,-0.119118
9145743004,0.348034,0.732954,-0.021118
9145763461,0.299034,0.683954,-0.119118
9145783919,0.397034,0.830954,-0.119118
9145804375,0.397034,0.732954,-0.217118
9145824832,0.397034,0.781954,-0.168118
9145845289,0.299034,0.830954,-0.168118
9145865744,0.446034,0.781954,-0.168118
9145886201,0.299034,0.781954,-0.266118
9145906659,0.348034,0.830954,-0.266118
9145927116,0.348034,0.830954,-0.266118
9145947574,0.299034,0.830954,-0.315118
9145968030,0.348034,0.732954,-0.315118
9145988486,0.299034,0.781954,-0.364118
9146008944,0.348034,0.781954,-0.266118
9146029400,0.299034,0.732954,-0.413118
9146049858,0.250034,0.732954,-0.315118
9146070316,0.397034,0.683954,-0.364118
9146090773,0.250034,0.683954,-0.364118
9146111228,0.250034,0.634954,-0.462118
9146131685,0.152034,0.683954,-0.462118
9146152142,0.348034,0.781954,-0.315118
9146172598,0.397034,0.683954,-0.315118
9146193055,0.348034,0.732954,-0.266118
9146213511,0.299034,0.781954,-0.315118
9146233968,0.299034,0.830954,-0.266118
9146254424,0.299034,0.781954,-0.266118
9146274880,0.446034,0.830954,-0.266118
9146295336,0.446034,0.683954,-0.217118
9146315794,0.348034,0.781954,-0.217118
9146336249,0.250034,0.781954,-0.168118
9146356705,0.397034,0.732954,-0.119118
9146377161,0.495034,0.879954,-0.119118
9146397619,0.495034,0.879954,-0.070118
9146418075,0.593034,0.879954,-0.119118
9146438532,0.446034,0.781954,-0.070118
9146458988,0.446034,0.781954,0.027882
9146479445,0.446034,0.830954,-0.021118
9146499902,0.397034,0.781954,-0.070118
9146520360,0.495034,0.683954,0.076882
9146540817,0.348034,0.781954,0.027882
9146561274,0.397034,0.683954,0.076882
9146581730,0.397034,0.732954,0.223882
9146602187,0.397034,0.732954,0.174882
9146622644,0.446034,0.683954,0.125882
9146643100,0.348034,0.634954,0.223882
9146663557,0.348034,0.634954,0.223882
9146684012,0.348034,0.634954,0.370882
9146704467,0.446034,0.634954,0.272882
9146724923,0.348034,0.634954,0.272882
9146745378,0.495034,0.487954,0.223882
9146765834,0.397034,0.536954,0.223882
9146786291,0.397034,0.585954,0.125882
9146806747,0.446034,0.487954,0.027882
9146827203,0.642034,0.487954,0.076882
9146847659,0.642034,0.585954,0.174882
9146868114,0.593034,0.585954,0.125882
9146888570,0.642034,0.438954,0.076882
9146909026,0.495034,0.389954,0.223882
9146929482,0.348034,0.438954,0.370882
9146949937,0.446034,0.536954,0.468882
9146970391,0.495034,0.438954,0.517882
9146990846,0.397034,0.438954,0.468882
9147011303,0.495034,0.487954,0.468882
9147031758,0.544034,0.536954,0.419882
9147052213,0.593034,0.487954,0.419882
9147072668,0.593034,0.438954,0.370882
9147093122,0.495034,0.438954,0.370882
9147113578,0.544034,0.487954,0.272882
9147134033,0.495034,0.536954,0.272882
9147154488,0.691034,0.438954,0.321882
9147174944,0.642034,0.487954,0.370882
9147195399,0.397034,0.438954,0.125882
9147215855,0.250034,0.438954,-0.168118
9147236310,0.152034,0.340954,-0.266118
9147256765,0.299034,0.242954,-0.168118
9147277220,0.103034,0.389954,-0.119118
9147297675,0.152034,0.487954,-0.217118
9147318131,0.054034,0.781954,-0.315118
9147338586,0.299034,0.879954,-0.560118
9147359041,0.397034,1.124954,-0.560118
9147379495,0.495034,1.124954,-0.609118
9147399952,0.495034,1.124954,-0.609118
9147420409,0.495034,1.075954,-0.805118
9147440866,0.544034,1.026954,-0.805118
9147461321,0.446034,1.075954,-0.609118
9147481776,0.250034,1.124954,-0.315118
9147502231,0.446034,1.124954,0.027882
9147522686,0.446034,1.124954,0.223882
9147543142,0.593034,0.879954,0.272882
9147563597,0.397034,0.732954,0.174882
9147584052,0.446034,0.585954,-0.168118
9147604506,0.299034,0.683954,-0.266118
9147624961,0.299034,0.683954,-0.560118
9147645416,0.201034,0.732954,-0.609118
9147665871,0.299034,0.683954,-0.462118
9147686325,0.348034,0.732954,-0.315118
9147706781,0.201034,0.879954,-0.315118
9147727236,0.250034,0.830954,-0.315118
9147747692,0.250034,0.781954,-0.266118
9147768147,0.201034,0.683954,-0.364118
9147788603,0.250034,0.879954,-0.364118
9147809058,0.201034,0.781954,-0.364118
9147829513,0.250034,0.732954,-0.511118
9147849969,0.348034,0.683954,-0.462118
9147870424,0.446034,0.487954,-0.560118
9147890880,0.446034,0.536954,-0.511118
9147911335,0.495034,0.536954,-0.364118
9147931790,0.495034,0.487954,-0.511118
9147952245,0.348034,0.340954,-0.413118
9147972701,0.348034,0.438954,-0.462118
9147993156,0.299034,0.487954,-0.462118
9148013614,0.299034,0.487954,-0.462118
9148034071,0.152034,0.536954,-0.462118
9148054526,0.250034,0.634954,-0.413118
9148074981,0.152034,0.781954,-0.560118
9148095437,0.103034,0.781954,-1.001118
9148115892,-0.043966,0.928954,-0.952118
9148136347,-0.141966,1.222954,-0.756118
9148156802,0.005034,1.075954,-0.658118
9148177258,0.005034,1.075954,-0.560118
9148197713,0.054034,1.026954,-0.805118
9148218168,-0.043966,0.977954,-0.756118
9148238642,0.152034,0.879954,-0.511118
9148259079,0.103034,0.928954,-0.560118
9148279534,0.103034,0.830954,-0.560118
9148299989,0.250034,0.732954,-0.609118
9148320444,0.250034,0.683954,-0.658118
9148340898,0.201034,0.732954,-0.658118
9148361352,0.103034,0.683954,-0.609118
9148381808,0.103034,0.585954,-0.609118
9148402263,0.201034,0.585954,-0.658118
9148422718,0.250034,0.536954,-0.805118
9148443173,0.152034,0.438954,-0.805118
9148463627,0.152034,0.438954,-0.462118
9148484082,0.103034,0.438954,-0.511118
9148504537,0.201034,0.340954,-0.658118
9148524993,0.152034,0.242954,-0.609118
9148545448,0.250034,0.144954,-0.756118
9148565903,0.250034,0.095954,-0.756118
9148586358,0.152034,0.193954,-0.707118
9148606812,0.250034,0.291954,-0.609118
9148627268,0.348034,0.242954,-0.707118
9148647723,0.348034,0.340954,-0.707118
9148668179,0.103034,0.291954,-0.707118
9148688634,0.250034,0.389954,-0.707118
9148709089,0.348034,0.438954,-0.756118
9148729544,0.299034,0.585954,-0.756118
9148749999,0.152034,0.683954,-0.903118
9148770455,0.054034,0.634954,-1.050117
9148790910,0.103034,0.536954,-1.050117
9148811365,0.005034,0.536954,-0.854118
9148831821,-0.092966,0.732954,-0.707118
9148852277,-0.190966,0.683954,-0.658118
