Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9145263546,-33.538841,-19.460180,10.131478,0.718214,0.952566,0.289005
9145266042,-33.055519,-22.382250,11.404208,0.719328,0.966755,0.312151
9145268538,-32.337940,-24.812714,12.740121,0.711181,0.978468,0.321356
9145271034,-31.507523,-26.753107,13.894838,0.697271,0.988627,0.327587
9145273530,-30.561773,-28.325380,14.867956,0.687073,0.995094,0.328088
9145276025,-29.681711,-29.654528,15.719700,0.669040,1.000575,0.316103
9145278521,-28.867140,-30.740446,16.389044,0.651112,1.000135,0.297641
9145281017,-28.063177,-31.277287,16.877134,0.641199,0.997554,0.277131
9145283513,-27.270479,-31.203756,17.001093,0.632750,0.997137,0.254426
9145286009,-26.365990,-30.579081,16.883034,0.617837,0.993683,0.227299
9145288504,-25.471518,-29.405006,16.400639,0.610218,0.985908,0.198874
9145291000,-24.403763,-27.678587,15.554297,0.605515,0.976694,0.169779
9145293496,-23.222971,-25.461992,14.465734,0.598581,0.970424,0.144258
9145295992,-21.923773,-22.998903,13.012075,0.593838,0.964154,0.117310
9145298488,-20.448145,-20.166712,11.376945,0.594852,0.955830,0.095570
9145300984,-19.034470,-17.274313,9.619831,0.589289,0.946064,0.078862
9145303480,-17.623089,-14.259865,7.802098,0.582222,0.935632,0.067245
9145305975,-16.454872,-11.310317,5.983636,0.579529,0.917983,0.057244
9145308471,-15.408012,-8.423918,4.286767,0.578275,0.902531,0.047233
9145310967,-14.422645,-5.538716,2.711826,0.579869,0.887900,0.041623
9145313463,-13.436228,-2.714593,1.197709,0.582197,0.871819,0.036043
9145315959,-12.505939,-0.135344,-0.317355,0.586655,0.857986,0.033377
9145318454,-11.629483,2.076977,-1.772743,0.586758,0.844840,0.030642
9145320950,-10.626043,4.047263,-3.167657,0.589069,0.827335,0.027267
9145323446,-9.429734,5.532498,-4.441752,0.590629,0.806967,0.027566
9145325942,-7.981551,6.655824,-5.716549,0.590008,0.787305,0.027825
9145328438,-6.463753,7.353213,-6.931612,0.583595,0.770469,0.025780
9145330933,-4.696568,7.810639,-8.146968,0.572809,0.755786,0.024374
9145333429,-2.985313,8.023297,-9.424299,0.566352,0.745512,0.022968
9145335925,-1.150414,8.177052,-10.762602,0.558509,0.730803,0.017958
9145338421,0.804007,8.454612,-12.039207,0.545597,0.717481,0.011403
9145340917,2.877293,8.917268,-13.436996,0.537752,0.709280,0.003389
9145343413,5.015412,9.197989,-14.835266,0.531337,0.703287,-0.003906
9145345908,7.219808,9.235904,-16.295246,0.519899,0.699344,-0.017130
9145348404,9.426495,9.151766,-17.694611,0.505576,0.693907,-0.031101
9145350900,11.694283,9.068612,-19.093842,0.499155,0.695151,-0.041410
9145353396,13.905751,8.740477,-20.432991,0.489829,0.697095,-0.051769
9145355892,16.180613,8.291269,-21.711390,0.479819,0.700424,-0.066530
9145358388,18.397909,7.658055,-22.929501,0.474890,0.701627,-0.080463
9145360883,20.737017,7.026593,-24.025293,0.472157,0.702101,-0.095813
9145363379,23.021902,6.027988,-24.939354,0.467970,0.706180,-0.112691
9145365875,25.312809,4.724414,-25.793404,0.465142,0.718344,-0.125286
9145368371,27.422504,3.295732,-26.526197,0.462358,0.723946,-0.138521
9145370866,29.530956,1.928024,-27.258787,0.458872,0.728064,-0.153203
9145373362,31.574377,0.742147,-27.929869,0.453088,0.738104,-0.159979
9145375858,33.616749,-0.382651,-28.661774,0.446601,0.748832,-0.168961
9145378354,35.655388,-1.324530,-29.393068,0.440838,0.758122,-0.177184
9145380850,37.693443,-2.266728,-29.941275,0.431440,0.767389,-0.184728
9145383346,39.787037,-2.964371,-30.305450,0.423553,0.774421,-0.196594
9145385841,41.818935,-3.663315,-30.486673,0.422238,0.773507,-0.208262
9145388337,43.725754,-4.242491,-30.545691,0.423058,0.774112,-0.217006
9145390833,45.448017,-4.763641,-30.604895,0.426075,0.778324,-0.229413
9145393329,47.107742,-5.224905,-30.602999,0.428351,0.781105,-0.239624
9145395825,48.647552,-5.810187,-30.540745,0.429142,0.781025,-0.245443
9145398321,50.125210,-6.335372,-30.539442,0.433570,0.777351,-0.250435
9145400816,51.540329,-6.800673,-30.477039,0.436557,0.775097,-0.256923
9145403312,52.955639,-7.265866,-30.475666,0.438811,0.774292,-0.263441
9145405808,54.374290,-7.914192,-30.352848,0.441766,0.774972,-0.268512
9145408304,55.794186,-8.623491,-30.230232,0.449102,0.776377,-0.276448
9145410799,57.337334,-9.391905,-30.046532,0.458597,0.777825,-0.282898
9145413295,58.817554,-10.100649,-29.679670,0.466578,0.785125,-0.286532
9145415791,60.179295,-10.994275,-29.313684,0.473177,0.791597,-0.296006
9145418287,61.543331,-12.009955,-28.887074,0.480522,0.795882,-0.306168
9145420783,62.907364,-13.025634,-28.460464,0.484941,0.800172,-0.314183
9145423278,64.330864,-13.979571,-27.911465,0.488615,0.808095,-0.322259
9145425774,65.631371,-14.935899,-27.118612,0.495186,0.816772,-0.330304
9145428270,66.809868,-15.894083,-26.387051,0.502528,0.824675,-0.341974
9145430766,67.925438,-16.792595,-25.472328,0.507706,0.833264,-0.355140
9145433262,68.914024,-17.449076,-24.618080,0.512133,0.837543,-0.363884
9145435758,69.902016,-18.105873,-23.580748,0.520940,0.839657,-0.373996
9145438254,70.827667,-18.702682,-22.543339,0.533411,0.842480,-0.387713
9145440749,71.691566,-19.239180,-21.688946,0.537149,0.844536,-0.398623
9145443245,72.611969,-19.530592,-20.955662,0.532167,0.847977,-0.408942
9145445741,73.586212,-19.455072,-20.282055,0.530087,0.854335,-0.420720
9145448237,74.736877,-19.010450,-19.789917,0.526557,0.859235,-0.431768
9145450733,76.062546,-18.135855,-19.418018,0.517940,0.862653,-0.441409
9145453228,77.565300,-16.953449,-19.044708,0.510042,0.870423,-0.452556
9145455724,79.060394,-15.405313,-18.609146,0.504391,0.872337,-0.467238
9145458220,80.426476,-13.554595,-17.989742,0.497301,0.869163,-0.480412
9145460716,81.665375,-11.461947,-17.369785,0.491665,0.862384,-0.492059
9145463212,82.657372,-9.251283,-16.749939,0.488172,0.854224,-0.500013
9145465707,83.463966,-6.921405,-16.252138,0.488272,0.846141,-0.505004
9145468203,84.205734,-4.409590,-15.753855,0.489082,0.840977,-0.510025
9145470702,84.820045,-1.594342,-15.559955,0.492770,0.838762,-0.514318
9145473199,85.434090,1.282412,-15.670997,0.497141,0.835164,-0.514209
9145475704,85.925674,4.218707,-16.087234,0.495669,0.833009,-0.511284
9145478209,86.417839,7.155321,-16.686562,0.492688,0.838870,-0.507031
9145480684,87.029732,10.215845,-17.285221,0.488936,0.848397,-0.500653
9145483180,87.640572,13.337451,-17.944702,0.480846,0.858589,-0.495800
9145485675,88.372368,16.521994,-18.603720,0.471349,0.865095,-0.493103
9145488171,89.102333,19.767189,-19.079447,0.470527,0.873888,-0.488861
9145490667,89.829422,23.134119,-19.432709,0.468305,0.882603,-0.489010
9145493163,90.374245,26.437021,-19.725538,0.465359,0.886248,-0.486914
9145495659,90.799561,29.616119,-20.080065,0.468207,0.885623,-0.481764
9145498155,91.047974,32.487514,-20.497034,0.471719,0.887253,-0.472262
9145500650,91.302605,35.054035,-20.915018,0.478830,0.891122,-0.461284
9145503146,91.680687,37.561554,-21.332949,0.491789,0.895710,-0.454609
9145505642,92.062439,39.947769,-22.117455,0.504021,0.897400,-0.446446
