Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9145307198,-0.853229,-1.282021,-0.215417
9145357780,-0.811536,-1.281710,-0.215016
9145408382,-0.790417,-1.300299,-0.196600
9145458950,-0.800381,-1.347352,-0.141964
9145509528,-0.779362,-1.375847,-0.059188
9145560114,-0.716281,-1.413038,-0.003733
9145610696,-0.695472,-1.422782,0.060832
9145661280,-0.664034,-1.441642,0.116187
9145711863,-0.632909,-1.442016,0.180958
9145762444,-0.612088,-1.461155,0.254631
9145813033,-0.591375,-1.452282,0.319398
9145863615,-0.591268,-1.471300,0.365236
9145914195,-0.570605,-1.452472,0.356438
9145964778,-0.539258,-1.452070,0.338331
9146015361,-0.591186,-1.470878,0.319195
9146065945,-0.601609,-1.461230,0.273150
9146116529,-0.643262,-1.461360,0.254320
9146167126,-0.653609,-1.460932,0.198965
9146217726,-0.674347,-1.460654,0.152715
9146268330,-0.663899,-1.441534,0.106979
9146318931,-0.663757,-1.450577,0.079247
9146369525,-0.705751,-1.422667,0.042314
9146420121,-0.726736,-1.413120,-0.003835
9146470715,-0.779247,-1.366188,-0.095916
9146521305,-0.790257,-1.318893,-0.196814
9146571898,-0.811558,-1.253124,-0.288369
9146622493,-0.833696,-1.159377,-0.398071
9146673080,-0.824130,-1.075070,-0.461489
9146723678,-0.856136,-1.009759,-0.516313
9146774271,-0.888536,-0.944822,-0.534328
9146824864,-0.889232,-0.898383,-0.533811
9146875460,-0.920807,-0.880221,-0.515479
9146926052,-0.900071,-0.870512,-0.542812
9146976641,-0.857801,-0.888319,-0.588656
9147027240,-0.868151,-0.897777,-0.579652
9147077841,-0.868126,-0.888392,-0.588742
9147128440,-0.857324,-0.916351,-0.570532
9147179034,-0.847031,-0.916366,-0.561236
9147229632,-0.888638,-0.945088,-0.506701
9147280246,-0.876855,-1.057345,-0.415748
9147330826,-0.875381,-1.207897,-0.214802
9147381433,-0.842885,-1.359088,0.078542
9147432034,-0.696327,-1.434633,0.327794
9147482637,-0.623471,-1.463623,0.503181
9147533236,-0.592483,-1.445067,0.531323
9147583839,-0.613570,-1.436031,0.540431
9147634441,-0.666201,-1.408398,0.521811
9147685040,-0.759932,-1.408163,0.419587
9147735642,-0.811649,-1.397762,0.262618
9147786242,-0.843288,-1.350171,0.115481
9147836847,-0.895687,-1.302974,-0.004231
9147887452,-0.917158,-1.246702,-0.077488
9147938057,-0.906949,-1.218315,-0.123121
9147988655,-0.938593,-1.199984,-0.123222
9148039245,-0.885453,-1.255552,-0.095698
9148089834,-0.842971,-1.330676,0.023601
9148140428,-0.748711,-1.406383,0.244710
9148191021,-0.592187,-1.444517,0.476060
9148241617,-0.478498,-1.417893,0.698527
9148292205,-0.406555,-1.362811,0.828781
9148342801,-0.376477,-1.307594,0.903430
9148393395,-0.388050,-1.233926,0.968553
9148443980,-0.420444,-1.178650,0.987320
9148494564,-0.421179,-1.132461,1.015447
9148545152,-0.359247,-1.095437,1.080939
