Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9145254831,0.289051,0.710329,-0.856498
9145274491,0.338051,0.759329,-0.905498
9145294151,0.142051,0.808329,-0.954498
9145313812,0.240051,0.808329,-0.905498
9145333470,0.240051,0.759329,-0.807498
9145353127,0.289051,0.710329,-0.856498
9145372786,0.289051,0.710329,-0.954498
9145392445,0.289051,0.710329,-0.807498
9145412103,0.240051,0.808329,-0.856498
9145431762,0.338051,0.759329,-0.905498
9145451421,0.338051,0.661329,-0.856498
9145471079,0.289051,0.759329,-1.003498
9145490737,0.387051,0.710329,-0.954498
9145510397,0.338051,0.710329,-0.905498
9145530058,0.240051,0.759329,-1.003498
9145549718,0.289051,0.759329,-1.003498
9145569379,0.240051,0.710329,-0.954498
9145589038,0.240051,0.808329,-0.905498
9145608699,0.240051,0.759329,-0.954498
9145628358,0.289051,0.710329,-0.954498
9145648019,0.240051,0.808329,-0.954498
9145667679,0.338051,0.759329,-1.003498
9145687338,0.338051,0.759329,-1.003498
9145706997,0.191051,0.759329,-0.954498
9145726657,0.240051,0.857329,-0.905498
9145746316,0.289051,0.661329,-0.954498
9145765997,0.338051,0.759329,-1.003498
9145785631,0.191051,0.759329,-0.954498
9145805291,0.142051,0.857329,-0.905498
9145824950,0.240051,0.808329,-0.856498
9145844612,0.289051,0.759329,-0.807498
9145864272,0.289051,0.808329,-0.954498
9145883934,0.289051,0.759329,-0.905498
9145903595,0.289051,0.759329,-0.807498
9145923254,0.289051,0.857329,-0.856498
9145942913,0.289051,0.759329,-0.856498
9145962572,0.240051,0.808329,-0.905498
9145982232,0.191051,0.808329,-0.905498
9146001891,0.338051,0.759329,-0.954498
9146021549,0.289051,0.710329,-0.856498
9146041210,0.240051,0.808329,-0.856498
9146060871,0.289051,0.808329,-0.905498
9146080532,0.289051,0.808329,-0.709498
9146100191,0.289051,0.857329,-0.856498
9146119851,0.240051,0.857329,-0.856498
9146139511,0.191051,0.759329,-0.856498
9146159170,0.289051,0.808329,-0.807498
9146178830,0.289051,0.759329,-0.856498
9146198490,0.240051,0.759329,-0.807498
9146218151,0.289051,0.808329,-0.905498
9146237810,0.240051,0.759329,-0.807498
9146257468,0.289051,0.759329,-0.856498
9146277126,0.191051,0.759329,-0.856498
9146296786,0.289051,0.710329,-0.905498
9146316445,0.240051,0.808329,-0.905498
9146336104,0.240051,0.808329,-0.905498
9146355764,0.289051,0.759329,-0.905498
9146375423,0.240051,0.759329,-0.856498
9146395084,0.289051,0.808329,-0.758498
9146414745,0.289051,0.759329,-0.856498
9146434404,0.289051,0.857329,-0.905498
9146454066,0.289051,0.808329,-0.856498
9146473724,0.240051,0.857329,-0.807498
9146493382,0.338051,0.759329,-0.905498
9146513041,0.191051,0.857329,-0.905498
9146532702,0.338051,0.808329,-0.856498
9146552361,0.240051,0.710329,-0.856498
9146572020,0.289051,0.759329,-0.905498
9146591679,0.289051,0.759329,-0.954498
9146611337,0.191051,0.808329,-0.905498
9146630994,0.338051,0.710329,-0.905498
9146650652,0.289051,0.759329,-0.856498
9146670311,0.289051,0.759329,-0.856498
9146689971,0.289051,0.857329,-0.856498
9146709631,0.338051,0.857329,-0.905498
9146729291,0.289051,0.710329,-0.758498
9146748951,0.289051,0.759329,-0.856498
9146768610,0.289051,0.808329,-0.807498
9146788271,0.240051,0.759329,-0.856498
9146807931,0.240051,0.808329,-0.856498
9146827589,0.191051,0.808329,-0.758498
9146847249,0.289051,0.759329,-0.807498
9146866908,0.289051,0.808329,-0.905498
9146886568,0.240051,0.759329,-0.758498
9146906229,0.289051,0.808329,-0.709498
9146925889,0.289051,0.759329,-0.807498
9146945547,0.289051,0.759329,-0.856498
9146965207,0.240051,0.759329,-0.856498
9146984865,0.289051,0.759329,-0.856498
9147004527,0.289051,0.759329,-0.856498
9147024186,0.240051,0.808329,-0.905498
9147043847,0.289051,0.857329,-0.856498
9147063507,0.289051,0.808329,-0.807498
9147083166,0.387051,0.759329,-0.856498
9147102826,0.289051,0.857329,-0.807498
9147122487,0.289051,0.759329,-0.807498
9147142147,0.289051,0.808329,-0.758498
9147161808,0.240051,0.808329,-0.905498
9147181468,0.289051,0.808329,-0.856498
9147201129,0.191051,0.857329,-0.807498
9147220789,0.338051,0.759329,-0.807498
9147240449,0.289051,0.808329,-0.758498
9147260136,0.289051,0.808329,-0.807498
9147279768,0.240051,0.759329,-0.758498
9147299429,0.289051,0.759329,-0.905498
9147319088,0.240051,0.759329,-0.856498
9147338746,0.240051,0.808329,-0.905498
9147358405,0.289051,0.710329,-0.856498
9147378065,0.240051,0.808329,-0.856498
9147397732,0.191051,0.759329,-0.954498
9147417386,0.289051,0.759329,-0.905498
9147437047,0.191051,0.808329,-0.905498
9147456708,0.240051,0.759329,-0.905498
9147476367,0.289051,0.710329,-0.954498
9147496027,0.191051,0.759329,-0.905498
9147515687,0.289051,0.808329,-0.905498
9147535348,0.240051,0.710329,-0.954498
9147555009,0.240051,0.759329,-0.905498
9147574668,0.338051,0.759329,-0.954498
9147594327,0.240051,0.906329,-0.905498
9147613986,0.289051,0.710329,-0.856498
9147633647,0.289051,0.661329,-0.954498
9147653305,0.289051,0.710329,-1.003498
9147672965,0.289051,0.759329,-0.807498
9147692626,0.240051,0.759329,-0.905498
9147712287,0.289051,0.857329,-0.954498
9147731947,0.338051,0.710329,-0.954498
9147751606,0.240051,0.759329,-0.807498
9147771266,0.142051,0.808329,-0.905498
9147790926,0.240051,0.808329,-0.807498
9147810586,0.240051,0.857329,-0.856498
9147830244,0.240051,0.808329,-0.856498
9147849903,0.289051,0.808329,-0.709498
9147869561,0.289051,0.857329,-0.758498
9147889220,0.240051,0.906329,-0.807498
9147908879,0.240051,0.808329,-0.856498
9147928538,0.289051,0.857329,-0.709498
9147948199,0.289051,0.857329,-0.807498
9147967858,0.289051,0.759329,-0.807498
9147987519,0.289051,0.808329,-0.807498
9148007179,0.191051,0.808329,-0.807498
9148026840,0.240051,0.857329,-0.807498
9148046501,0.240051,0.808329,-0.758498
9148066162,0.289051,0.857329,-0.905498
9148085821,0.289051,0.906329,-0.807498
9148105481,0.191051,0.808329,-0.905498
9148125139,0.289051,0.759329,-0.758498
9148144798,0.142051,0.808329,-0.807498
9148164458,0.240051,0.759329,-0.905498
9148184119,0.142051,0.759329,-1.003498
9148203778,0.240051,0.808329,-0.905498
9148223439,0.338051,0.808329,-0.856498
9148243099,0.338051,0.808329,-0.905498
9148262759,0.240051,0.759329,-0.905498
9148282419,0.289051,0.808329,-0.905498
9148302079,0.289051,0.808329,-0.905498
9148321736,0.289051,0.759329,-0.905498
9148341395,0.240051,0.857329,-0.807498
9148361054,0.240051,0.710329,-0.807498
9148380713,0.191051,0.808329,-0.758498
9148400375,0.240051,0.808329,-0.856498
9148420034,0.289051,0.808329,-1.003498
9148439695,0.338051,0.759329,-0.807498
9148459355,0.240051,0.710329,-0.758498
9148479016,0.240051,0.906329,-0.758498
9148498675,0.191051,0.857329,-0.807498
9148518335,0.240051,0.710329,-0.856498
9148537996,0.289051,0.759329,-0.807498
9148557656,0.191051,0.808329,-0.709498
9148577316,0.240051,0.857329,-0.758498
9148596977,0.191051,0.906329,-0.905498
9148616638,0.240051,0.857329,-0.758498
9148636297,0.142051,0.857329,-0.807498
9148655959,0.289051,0.857329,-0.807498
9148675620,0.289051,0.906329,-0.807498
9148695279,0.289051,0.808329,-0.807498
9148714939,0.289051,0.906329,-0.807498
9148734598,0.240051,0.857329,-0.807498
9148754268,0.191051,0.857329,-0.758498
9148773915,0.289051,0.759329,-0.709498
9148793574,0.240051,0.808329,-0.758498
9148813234,0.338051,0.906329,-0.758498
9148832894,0.289051,0.759329,-0.807498
9148852551,0.240051,0.906329,-0.758498
9148872210,0.240051,0.857329,-0.758498
9148891868,0.240051,0.808329,-0.807498
9148911527,0.240051,0.906329,-0.807498
9148931189,0.240051,0.955329,-0.758498
9148950849,0.240051,0.906329,-0.758498
9148970510,0.240051,0.857329,-0.660498
9148990171,0.289051,0.857329,-0.758498
9149009831,0.240051,0.857329,-0.709498
9149029490,0.289051,0.857329,-0.758498
9149049150,0.240051,0.857329,-0.807498
9149068812,0.338051,0.808329,-0.709498
9149088471,0.240051,0.955329,-0.807498
9149108134,0.289051,0.808329,-0.660498
9149127797,0.240051,0.808329,-0.807498
9149147458,0.289051,0.857329,-0.758498
9149167122,0.289051,0.759329,-0.807498
9149186782,0.240051,0.857329,-0.758498
9149206444,0.240051,0.808329,-0.856498
9149226104,0.289051,0.808329,-0.807498
9149245764,0.338051,0.808329,-0.856498
9149265425,0.338051,0.759329,-0.856498
9149285086,0.338051,0.759329,-0.807498
9149304747,0.191051,0.857329,-0.905498
9149324409,0.142051,0.808329,-0.856498
9149344070,0.240051,0.808329,-0.905498
9149363730,0.289051,0.808329,-0.905498
9149383390,0.289051,0.710329,-0.856498
9149403051,0.387051,0.710329,-0.905498
9149422711,0.240051,0.759329,-0.856498
9149442371,0.240051,0.759329,-0.856498
9149462031,0.240051,0.710329,-0.856498
9149481691,0.289051,0.710329,-0.954498
9149501351,0.240051,0.808329,-1.003498
9149521011,0.289051,0.808329,-0.856498
9149540669,0.289051,0.808329,-0.954498
9149560327,0.240051,0.759329,-0.905498
9149579986,0.191051,0.906329,-0.954498
9149599645,0.289051,0.759329,-0.807498
9149619304,0.240051,0.808329,-0.905498
9149638964,0.240051,0.710329,-0.905498
9149658625,0.289051,0.808329,-0.905498
9149678285,0.338051,0.710329,-0.807498
9149697946,0.240051,0.906329,-0.856498
9149717604,0.289051,0.808329,-0.807498
9149737265,0.191051,0.808329,-0.758498
9149756925,0.338051,0.759329,-0.856498
9149776585,0.240051,0.808329,-0.954498
9149796245,0.240051,0.857329,-0.807498
9149815904,0.240051,0.808329,-0.758498
9149835564,0.240051,0.808329,-0.856498
9149855223,0.289051,0.759329,-0.856498
9149874883,0.240051,0.808329,-0.807498
9149894544,0.289051,0.808329,-0.856498
9149914205,0.289051,0.759329,-0.954498
9149933864,0.289051,0.808329,-0.856498
9149953524,0.240051,0.808329,-0.758498
9149973183,0.289051,0.808329,-0.807498
9149992843,0.289051,0.759329,-0.807498
9150012504,0.240051,0.710329,-0.856498
9150032162,0.289051,0.808329,-0.856498
9150051822,0.289051,0.808329,-0.807498
9150071481,0.289051,0.759329,-0.856498
9150091139,0.240051,0.808329,-0.856498
9150110799,0.240051,0.808329,-0.856498
9150130458,0.191051,0.808329,-0.856498
9150150116,0.289051,0.808329,-0.905498
9150169774,0.338051,0.808329,-0.856498
9150189432,0.289051,0.759329,-0.905498
9150209089,0.240051,0.808329,-0.905498
9150228746,0.240051,0.710329,-0.905498
9150248407,0.240051,0.759329,-0.905498
9150268064,0.240051,0.808329,-0.856498
9150287724,0.240051,0.808329,-0.856498
9150307382,0.240051,0.710329,-0.856498
9150327041,0.289051,0.710329,-0.905498
9150346699,0.289051,0.759329,-0.807498
9150366358,0.240051,0.759329,-0.905498
9150386018,0.191051,0.759329,-0.905498
9150405676,0.289051,0.759329,-0.905498
9150425335,0.289051,0.759329,-0.905498
9150444993,0.240051,0.710329,-0.954498
9150464652,0.289051,0.759329,-0.954498
9150484311,0.240051,0.759329,-1.003498
9150503969,0.240051,0.710329,-1.003498
9150523628,0.240051,0.710329,-1.052498
9150543287,0.240051,0.759329,-0.954498
9150562945,0.240051,0.710329,-1.003498
9150582604,0.240051,0.759329,-1.003498
9150602265,0.240051,0.710329,-0.954498
9150621925,0.191051,0.710329,-0.954498
9150641585,0.240051,0.661329,-0.905498
9150661243,0.240051,0.710329,-0.954498
9150680901,0.289051,0.710329,-0.905498
9150700559,0.289051,0.759329,-0.954498
9150720217,0.289051,0.710329,-0.905498
9150739876,0.240051,0.661329,-0.856498
9150759535,0.289051,0.710329,-0.954498
9150779194,0.289051,0.710329,-0.905498
9150798851,0.240051,0.759329,-0.856498
9150818510,0.289051,0.759329,-0.954498
9150838168,0.240051,0.759329,-0.856498
9150857827,0.338051,0.661329,-0.856498
9150877487,0.240051,0.808329,-0.905498
9150897147,0.142051,0.808329,-0.954498
9150916806,0.240051,0.857329,-0.954498
9150936463,0.289051,0.759329,-1.003498
9150956120,0.289051,0.808329,-0.954498
9150975778,0.240051,0.808329,-0.856498
9150995435,0.289051,0.710329,-0.856498
9151015093,0.240051,0.857329,-0.905498
9151034752,0.240051,0.808329,-0.905498
9151054410,0.338051,0.759329,-0.954498
9151074070,0.240051,0.808329,-0.905498
9151093729,0.289051,0.710329,-0.905498
9151113387,0.289051,0.759329,-0.856498
9151133045,0.240051,0.710329,-0.954498
9151152704,0.338051,0.710329,-1.003498
9151172363,0.289051,0.710329,-0.954498
9151192020,0.387051,0.759329,-0.856498
9151211677,0.240051,0.808329,-0.905498
9151231336,0.289051,0.759329,-0.954498
9151250995,0.289051,0.661329,-0.856498
9151270655,0.289051,0.759329,-0.856498
9151290313,0.240051,0.857329,-0.856498
9151309971,0.240051,0.710329,-0.856498
9151329629,0.289051,0.759329,-0.856498
9151349287,0.289051,0.759329,-1.003498
9151368944,0.289051,0.808329,-0.856498
9151388603,0.240051,0.808329,-0.954498
9151408262,0.240051,0.808329,-0.954498
9151427922,0.338051,0.759329,-0.905498
9151447580,0.240051,0.759329,-0.856498
9151467240,0.289051,0.759329,-0.856498
9151486899,0.289051,0.710329,-0.905498
9151506557,0.240051,0.759329,-0.856498
9151526214,0.338051,0.808329,-0.905498
9151545873,0.240051,0.710329,-0.954498
9151565532,0.240051,0.808329,-0.856498
9151585190,0.338051,0.759329,-0.856498
9151604848,0.240051,0.710329,-0.954498
9151624509,0.240051,0.710329,-0.905498
9151644168,0.191051,0.759329,-0.954498
9151663828,0.142051,0.759329,-0.856498
9151683489,0.240051,0.710329,-1.052498
9151703149,0.240051,0.759329,-0.856498
9151722807,0.240051,0.759329,-1.003498
9151742467,0.289051,0.661329,-0.856498
9151762127,0.240051,0.759329,-1.003498
9151781786,0.338051,0.661329,-0.954498
9151801445,0.338051,0.759329,-0.905498
9151821103,0.289051,0.710329,-0.954498
9151840761,0.191051,0.710329,-0.954498
9151860421,0.240051,0.710329,-0.954498
9151880080,0.338051,0.661329,-1.003498
9151899738,0.240051,0.759329,-0.954498
9151919396,0.191051,0.661329,-0.905498
9151939056,0.338051,0.759329,-0.856498
9151958716,0.289051,0.808329,-0.905498
9151978376,0.240051,0.759329,-0.954498
9151998035,0.338051,0.759329,-0.905498
9152017695,0.240051,0.710329,-0.954498
9152037352,0.338051,0.661329,-0.954498
9152057010,0.240051,0.759329,-0.905498
9152076668,0.240051,0.710329,-0.954498
9152096327,0.338051,0.710329,-0.905498
