Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9145255364,1.191043,-0.662372,0.449472,0.289762,0.803010,-0.525410
9145257867,1.191043,-0.662372,0.449472,0.290536,0.807376,-0.525367
9145260369,1.251899,-0.601691,0.449224,0.289809,0.808111,-0.524640
9145262872,1.252140,-0.480128,0.387898,0.284699,0.803802,-0.526920
9145265375,1.252256,-0.419198,0.387546,0.283246,0.803818,-0.526936
9145267877,1.252265,-0.419495,0.326924,0.284779,0.811092,-0.526861
9145270381,1.252149,-0.480425,0.327276,0.286968,0.810341,-0.528302
9145272883,1.312898,-0.480970,0.266758,0.288324,0.805212,-0.524679
9145275386,1.373638,-0.481219,0.266862,0.285350,0.803777,-0.520347
9145277889,1.495242,-0.421083,0.206096,0.283137,0.802341,-0.518923
9145280391,1.555991,-0.421628,0.145577,0.283907,0.801614,-0.523298
9145282894,1.556233,-0.300065,0.084251,0.286845,0.804496,-0.523242
9145285397,1.677712,-0.300562,0.084459,0.283203,0.804537,-0.522553
9145287900,1.677828,-0.239632,0.084107,0.280369,0.808950,-0.524739
9145290402,1.799182,-0.300762,0.145289,0.280417,0.813324,-0.524704
9145292905,1.859815,-0.362237,0.085123,0.281176,0.816232,-0.524672
9145295408,1.920331,-0.484642,0.025308,0.282613,0.815484,-0.523933
9145297911,1.980964,-0.546117,-0.034858,0.285512,0.814722,-0.523906
9145300413,2.041820,-0.485436,-0.035106,0.288433,0.817600,-0.522392
9145302916,2.102667,-0.424458,0.025268,0.287028,0.821992,-0.522373
9145305419,2.224262,-0.364025,0.025125,0.285641,0.823477,-0.526754
9145307921,2.345876,-0.304186,-0.096264,0.283412,0.819856,-0.526078
9145310424,2.406634,-0.305028,-0.217404,0.282635,0.819853,-0.521709
9145312927,2.467517,-0.245237,-0.399519,0.283369,0.821301,-0.520960
9145315430,2.589015,-0.246327,-0.520555,0.281148,0.819136,-0.519543
9145317932,2.710485,-0.246528,-0.459725,0.275303,0.816287,-0.519630
