Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9145271842,-0.500262,-0.956018,0.753668
9145322763,-0.500242,-0.955834,0.763563
9145373680,-0.509047,-0.946793,0.763461
9145424598,-0.509103,-0.955658,0.763575
9145475522,-0.491289,-0.946939,0.773067
9145526446,-0.500078,-0.937722,0.782950
9145577364,-0.500140,-0.946593,0.783152
9145628278,-0.508954,-0.937724,0.772978
9145679203,-0.500084,-0.937728,0.783041
9145730126,-0.509088,-0.947162,0.743668
9145781047,-0.500186,-0.946969,0.763449
9145831972,-0.500128,-0.938261,0.753092
9145882897,-0.509117,-0.947516,0.723710
9145933825,-0.500247,-0.947521,0.733759
9145984752,-0.509287,-0.965635,0.704405
9146035677,-0.500256,-0.947692,0.723698
9146086611,-0.500502,-0.974859,0.694621
9146137538,-0.509225,-0.956764,0.704203
9146188467,-0.509240,-0.956941,0.694229
9146239395,-0.500420,-0.965804,0.704314
9146290318,-0.517998,-0.947525,0.713827
9146341236,-0.509251,-0.956955,0.694386
9146392160,-0.500458,-0.965855,0.704871
9146443078,-0.500375,-0.956953,0.704351
9146493996,-0.491544,-0.957483,0.684389
9146544911,-0.500293,-0.947897,0.714047
9146595824,-0.500446,-0.965995,0.694498
9146646726,-0.500466,-0.966179,0.684603
9146697647,-0.491477,-0.948604,0.684110
9146748568,-0.491467,-0.948434,0.694161
9146799474,-0.500379,-0.957116,0.694218
9146850371,-0.491538,-0.957476,0.684312
9146901293,-0.482806,-0.975402,0.684781
9146952218,-0.500493,-0.974690,0.704675
9147003133,-0.509163,-0.947892,0.704001
9147054044,-0.491467,-0.956909,0.713832
9147104967,-0.500379,-0.957116,0.694218
9147155891,-0.482627,-0.957113,0.714144
9147206804,-0.491539,-0.965795,0.714196
9147257720,-0.491457,-0.956739,0.723888
9147308636,-0.500283,-0.956202,0.743773
9147359549,-0.491350,-0.947492,0.743389
9147410472,-0.500180,-0.946962,0.763362
9147461396,-0.491371,-0.947520,0.743729
9147512312,-0.500195,-0.947139,0.753380
9147563225,-0.491309,-0.947124,0.763175
9147614141,-0.500195,-0.947139,0.753380
9147665055,-0.500287,-0.956365,0.733626
9147715974,-0.491462,-0.956746,0.723970
9147766889,-0.500420,-0.965804,0.704314
9147817803,-0.491611,-0.966362,0.684668
9147868726,-0.500472,-0.966187,0.684680
9147919660,-0.500420,-0.957484,0.674430
9147970583,-0.491605,-0.957880,0.664896
9148021508,-0.491620,-0.966532,0.674620
9148072425,-0.509308,-0.957345,0.674820
9148123345,-0.491538,-0.957476,0.684312
9148174271,-0.491549,-0.957490,0.684466
9148225194,-0.491626,-0.966539,0.674696
9148276124,-0.500390,-0.957130,0.694374
9148327055,-0.500436,-0.957506,0.674657
9148377978,-0.509362,-0.966365,0.664749
9148428919,-0.491626,-0.966539,0.674696
9148479849,-0.500507,-0.966548,0.664812
9148530781,-0.500466,-0.957860,0.654715
9148581715,-0.500482,-0.957882,0.654934
9148632642,-0.482872,-0.975962,0.655168
9148683573,-0.500630,-0.975972,0.635328
9148734503,-0.491676,-0.967077,0.644867
9148785429,-0.500600,-0.975619,0.655264
9148836347,-0.491784,-0.976324,0.625352
9148887265,-0.500594,-0.967292,0.625300
9148938187,-0.500573,-0.967108,0.635196
9148989106,-0.500542,-0.958589,0.615066
9149040023,-0.500568,-0.967100,0.635126
9149090940,-0.500491,-0.958051,0.644891
9149141866,-0.500522,-0.966724,0.654844
9149192788,-0.500523,-0.966570,0.665035
9149243708,-0.491559,-0.957660,0.674418
9149294630,-0.491605,-0.966355,0.684591
9149345548,-0.491488,-0.956937,0.714156
9149396470,-0.500437,-0.965826,0.704553
9149447397,-0.500313,-0.956556,0.723817
9149498324,-0.491514,-0.957129,0.704339
9149549248,-0.500338,-0.956748,0.714006
9149600195,-0.500359,-0.956932,0.704112
9149651092,-0.491529,-0.957306,0.694363
9149702023,-0.500399,-0.957300,0.684324
9149752949,-0.500410,-0.957314,0.684478
9149803874,-0.500466,-0.966179,0.684603
9149854795,-0.500457,-0.966010,0.694655
9149905718,-0.500421,-0.957329,0.684632
9149956645,-0.491554,-0.957497,0.684543
9150007572,-0.500308,-0.948074,0.704069
9150058496,-0.500380,-0.956960,0.704430
9150109428,-0.500375,-0.956953,0.704351
9150160357,-0.500390,-0.965450,0.724266
9150211284,-0.491401,-0.947874,0.723769
9150262213,-0.500355,-0.965088,0.744145
9150313147,-0.500314,-0.956401,0.734045
9150364071,-0.491448,-0.964888,0.763841
9150414991,-0.500155,-0.946771,0.773168
9150465925,-0.500176,-0.946798,0.773524
9150516850,-0.499991,-0.928659,0.792552
9150567782,-0.499996,-0.928666,0.792644
9150618707,-0.500043,-0.937360,0.802834
9150669634,-0.491233,-0.946394,0.802838
9150720555,-0.508992,-0.946247,0.793243
9150771479,-0.500130,-0.946423,0.793231
9150822384,-0.500073,-0.937715,0.782860
9150873294,-0.509120,-0.955679,0.763838
9150924211,-0.500094,-0.929422,0.753322
9150975126,-0.491310,-0.938490,0.753771
9151026046,-0.491294,-0.938470,0.753512
9151076970,-0.500232,-0.947344,0.743741
9151127890,-0.500241,-0.947514,0.733676
9151178805,-0.500268,-0.956025,0.753754
9151229725,-0.508964,-0.929418,0.743264
9151280642,-0.500174,-0.938636,0.733390
9151331569,-0.509097,-0.947332,0.733604
9151382486,-0.500252,-0.947528,0.733843
9151433405,-0.491283,-0.938456,0.753339
9151484330,-0.509114,-0.947353,0.733855
9151535253,-0.491320,-0.947137,0.763350
9151586169,-0.517964,-0.955483,0.763587
9151637090,-0.508991,-0.937928,0.763347
9151688011,-0.491186,-0.929381,0.762771
9151738936,-0.500119,-0.938090,0.763160
9151789854,-0.500175,-0.946955,0.763274
9151840767,-0.500125,-0.946416,0.793139
9151891686,-0.500140,-0.946593,0.783152
9151942599,-0.500084,-0.937728,0.783041
9151993516,-0.491217,-0.937897,0.782939
9152044430,-0.508950,-0.937559,0.783143
9152095345,-0.491140,-0.928847,0.792724
