Timestamp (us),W Element,X Element,Y Element,Z Element
9145255364,-0.316369,-0.318089,0.815297,0.366420
9145257867,-0.316363,-0.318098,0.815307,0.366396
9145260369,-0.316357,-0.318107,0.815317,0.366371
9145262872,-0.316352,-0.318120,0.815326,0.366345
9145265375,-0.316347,-0.318134,0.815334,0.366319
9145267877,-0.316342,-0.318149,0.815341,0.366294
9145270381,-0.316336,-0.318163,0.815349,0.366269
9145272883,-0.316331,-0.318178,0.815357,0.366243
9145275386,-0.316325,-0.318194,0.815365,0.366217
9145277889,-0.316319,-0.318213,0.815373,0.366189
9145280391,-0.316311,-0.318233,0.815381,0.366159
9145282894,-0.316305,-0.318255,0.815388,0.366128
9145285397,-0.316299,-0.318279,0.815396,0.366097
9145287900,-0.316292,-0.318304,0.815403,0.366066
9145290402,-0.316284,-0.318329,0.815411,0.366033
9145292905,-0.316274,-0.318354,0.815419,0.366000
9145295408,-0.316262,-0.318380,0.815429,0.365968
9145297911,-0.316248,-0.318406,0.815438,0.365935
9145300413,-0.316236,-0.318433,0.815448,0.365900
9145302916,-0.316226,-0.318461,0.815457,0.365865
9145305419,-0.316214,-0.318490,0.815467,0.365826
9145307921,-0.316202,-0.318523,0.815477,0.365786
9145310424,-0.316188,-0.318559,0.815486,0.365746
9145312927,-0.316174,-0.318599,0.815494,0.365706
9145315430,-0.316159,-0.318643,0.815501,0.365666
9145317932,-0.316141,-0.318687,0.815510,0.365623
9145320435,-0.316124,-0.318731,0.815520,0.365576
9145322938,-0.316104,-0.318760,0.815536,0.365532
9145325441,-0.316084,-0.318793,0.815551,0.365488
9145327943,-0.316062,-0.318827,0.815567,0.365441
9145330446,-0.316040,-0.318862,0.815583,0.365394
9145332949,-0.316018,-0.318896,0.815601,0.365345
9145335452,-0.315994,-0.318929,0.815621,0.365291
9145337954,-0.315967,-0.318963,0.815645,0.365233
9145340457,-0.315938,-0.319000,0.815668,0.365172
9145342960,-0.315909,-0.319037,0.815694,0.365108
9145345462,-0.315878,-0.319075,0.815720,0.365042
9145347965,-0.315850,-0.319113,0.815746,0.364974
9145350468,-0.315821,-0.319154,0.815773,0.364905
9145352971,-0.315790,-0.319196,0.815799,0.364835
9145355474,-0.315758,-0.319237,0.815829,0.364763
9145357976,-0.315726,-0.319278,0.815857,0.364689
9145360479,-0.315696,-0.319319,0.815885,0.364617
9145362982,-0.315667,-0.319361,0.815913,0.364543
9145365484,-0.315637,-0.319400,0.815944,0.364466
9145367987,-0.315608,-0.319440,0.815974,0.364388
9145370490,-0.315577,-0.319482,0.816005,0.364310
9145372993,-0.315547,-0.319524,0.816036,0.364229
9145375496,-0.315519,-0.319571,0.816066,0.364146
9145377998,-0.315492,-0.319617,0.816095,0.364062
9145380501,-0.315465,-0.319663,0.816125,0.363978
9145383005,-0.315440,-0.319711,0.816155,0.363891
9145385508,-0.315415,-0.319756,0.816186,0.363802
9145388010,-0.315390,-0.319801,0.816218,0.363714
9145390513,-0.315362,-0.319845,0.816250,0.363628
9145393016,-0.315334,-0.319888,0.816282,0.363541
9145395519,-0.315308,-0.319931,0.816315,0.363454
9145398021,-0.315283,-0.319972,0.816350,0.363360
9145400524,-0.315258,-0.320013,0.816386,0.363265
9145403027,-0.315233,-0.320053,0.816424,0.363165
9145405530,-0.315209,-0.320096,0.816461,0.363065
9145408032,-0.315185,-0.320138,0.816498,0.362965
9145410535,-0.315160,-0.320180,0.816536,0.362866
9145413038,-0.315135,-0.320220,0.816574,0.362766
9145415541,-0.315109,-0.320259,0.816613,0.362665
9145418043,-0.315082,-0.320298,0.816653,0.362567
9145420546,-0.315052,-0.320336,0.816694,0.362466
9145423049,-0.315023,-0.320371,0.816737,0.362364
9145425552,-0.314997,-0.320409,0.816779,0.362257
9145428054,-0.314971,-0.320449,0.816821,0.362149
9145430557,-0.314944,-0.320491,0.816864,0.362039
9145433060,-0.314918,-0.320535,0.816904,0.361932
9145435563,-0.314888,-0.320583,0.816944,0.361826
9145438065,-0.314859,-0.320630,0.816983,0.361720
9145440568,-0.314832,-0.320676,0.817025,0.361610
9145443071,-0.314803,-0.320723,0.817066,0.361499
9145445573,-0.314772,-0.320771,0.817109,0.361388
9145448076,-0.314739,-0.320818,0.817151,0.361280
9145450579,-0.314704,-0.320867,0.817192,0.361173
9145453082,-0.314669,-0.320914,0.817234,0.361067
9145455585,-0.314637,-0.320962,0.817275,0.360959
9145458087,-0.314604,-0.321010,0.817316,0.360852
9145460590,-0.314570,-0.321059,0.817357,0.360746
9145463093,-0.314536,-0.321108,0.817398,0.360639
9145465596,-0.314505,-0.321158,0.817438,0.360531
9145468098,-0.314473,-0.321210,0.817477,0.360424
9145470601,-0.314442,-0.321263,0.817517,0.360314
9145473104,-0.314408,-0.321316,0.817556,0.360207
9145475607,-0.314357,-0.321332,0.817609,0.360116
9145478109,-0.314303,-0.321349,0.817663,0.360027
9145480612,-0.314247,-0.321362,0.817718,0.359939
9145483115,-0.314192,-0.321373,0.817774,0.359849
9145485617,-0.314137,-0.321386,0.817829,0.359760
9145488134,-0.314086,-0.321400,0.817883,0.359671
9145490622,-0.314038,-0.321414,0.817934,0.359584
9145493124,-0.313990,-0.321428,0.817986,0.359496
9145495627,-0.313943,-0.321441,0.818037,0.359409
9145498130,-0.313896,-0.321457,0.818086,0.359323
9145500632,-0.313852,-0.321473,0.818134,0.359239
9145503135,-0.313808,-0.321488,0.818180,0.359158
9145505638,-0.313767,-0.321502,0.818225,0.359079
9145508141,-0.313727,-0.321516,0.818268,0.359004
9145510644,-0.313687,-0.321530,0.818309,0.358932
9145513146,-0.313647,-0.321544,0.818348,0.358866
9145515649,-0.313604,-0.321559,0.818386,0.358804
9145518151,-0.313562,-0.321575,0.818422,0.358744
9145520654,-0.313520,-0.321591,0.818457,0.358686
9145523157,-0.313479,-0.321606,0.818492,0.358629
9145525660,-0.313440,-0.321623,0.818524,0.358574
9145528163,-0.313401,-0.321631,0.818558,0.358523
9145530666,-0.313364,-0.321639,0.818592,0.358473
9145533168,-0.313327,-0.321644,0.818624,0.358426
9145535671,-0.313288,-0.321648,0.818656,0.358384
9145538173,-0.313250,-0.321651,0.818686,0.358345
9145540676,-0.313211,-0.321653,0.818716,0.358310
9145543179,-0.313175,-0.321655,0.818743,0.358277
9145545682,-0.313140,-0.321657,0.818769,0.358245
9145548185,-0.313107,-0.321660,0.818795,0.358214
9145550687,-0.313074,-0.321662,0.818820,0.358184
9145553190,-0.313042,-0.321665,0.818843,0.358156
9145555693,-0.313014,-0.321668,0.818865,0.358128
9145558195,-0.312989,-0.321670,0.818885,0.358101
9145560698,-0.312966,-0.321672,0.818905,0.358074
9145563201,-0.312942,-0.321675,0.818923,0.358051
9145565704,-0.312919,-0.321676,0.818942,0.358028
9145568207,-0.312895,-0.321676,0.818961,0.358005
9145570709,-0.312875,-0.321674,0.818979,0.357983
9145573212,-0.312854,-0.321673,0.818996,0.357963
9145575715,-0.312835,-0.321669,0.819013,0.357946
9145578217,-0.312817,-0.321669,0.819027,0.357928
9145580720,-0.312800,-0.321667,0.819042,0.357912
9145583223,-0.312784,-0.321665,0.819055,0.357898
9145585726,-0.312771,-0.321662,0.819066,0.357887
9145588228,-0.312761,-0.321659,0.819076,0.357875
