Timestamp (us),Percentage (%),Voltage (V),Charging Status
9166788678,83.508667,3.835087,0.000000
9167789211,83.485855,3.834859,0.000000
9168789747,83.473763,3.834737,0.000000
9169790278,83.467056,3.834670,0.000000
9170790811,83.465714,3.834657,0.000000
9171791342,83.463020,3.834630,0.000000
9172791915,83.459000,3.834590,0.000000
9173792448,83.457657,3.834576,0.000000
9174792979,83.463028,3.834630,0.000000
9175793511,83.438858,3.834389,0.000000
9176794043,83.432137,3.834321,0.000000
9177794575,83.448250,3.834483,0.000000
9178795109,83.437508,3.834375,0.000000
9179795643,83.442879,3.834429,0.000000
9180796177,83.429443,3.834295,0.000000
9181796708,83.446899,3.834469,0.000000
9182797239,83.428108,3.834281,0.000000
9183797808,83.426765,3.834268,0.000000
9184798339,83.424080,3.834241,0.000000
9185798870,83.430794,3.834308,0.000000
9186799401,83.420059,3.834201,0.000000
9187799934,83.417374,3.834174,0.000000
9188800468,83.403931,3.834039,0.000000
9189800999,83.379768,3.833797,0.000000
9190801533,83.389160,3.833892,0.000000
9191802065,83.389160,3.833892,0.000000
9192802598,83.389160,3.833891,0.000000
9193803128,83.386475,3.833865,0.000000
9194803660,83.370361,3.833704,0.000000
9195804192,83.346207,3.833462,0.000000
9196804724,83.364990,3.833650,0.000000
9197805255,83.370361,3.833704,0.000000
9198805785,83.366333,3.833663,0.000000
9199806319,83.342163,3.833421,0.000000
9200806850,83.351562,3.833516,0.000000
9201807390,83.344864,3.833449,0.000000
9202807922,83.342178,3.833422,0.000000
9203808453,83.335464,3.833354,0.000000
9204808984,83.338135,3.833381,0.000000
9205809515,83.351578,3.833516,0.000000
9206810046,83.359619,3.833596,0.000000
9207810580,83.343513,3.833435,0.000000
9208811118,83.332771,3.833328,0.000000
9209811655,83.339478,3.833395,0.000000
9210812186,83.324707,3.833247,0.000000
9211812720,83.331436,3.833314,0.000000
9212813255,83.327393,3.833274,0.000000
9213813786,83.293831,3.832938,0.000000
9214814317,83.303230,3.833032,0.000000
9215814848,83.303223,3.833032,0.000000
9216815382,83.304565,3.833046,0.000000
9217815915,83.300537,3.833005,0.000000
9218816446,83.323364,3.833234,0.000000
9219816977,83.285782,3.832858,0.000000
9220817507,83.301880,3.833019,0.000000
9221818039,83.279060,3.832791,0.000000
9222818573,83.272346,3.832723,0.000000
9223819104,83.275024,3.832750,0.000000
9224819636,83.277725,3.832777,0.000000
9225820170,83.258926,3.832589,0.000000
9226820701,83.262955,3.832629,0.000000
9227821246,83.249512,3.832495,0.000000
9228821777,83.249527,3.832495,0.000000
9229822311,83.265633,3.832656,0.000000
9230822842,83.238770,3.832387,0.000000
9231823378,83.236092,3.832361,0.000000
9232823913,83.262939,3.832629,0.000000
9233824447,83.236084,3.832361,0.000000
9234824984,83.238777,3.832387,0.000000
9235825514,83.238777,3.832387,0.000000
9236826046,83.233398,3.832334,0.000000
9237826577,83.229378,3.832294,0.000000
9238827112,83.238770,3.832387,0.000000
9239827642,83.237434,3.832375,0.000000
9240828173,83.222664,3.832227,0.000000
9241828704,83.233414,3.832334,0.000000
9242829252,83.219986,3.832200,0.000000
9243829786,83.222672,3.832227,0.000000
9244830318,83.199829,3.831998,0.000000
9245830850,83.189095,3.831891,0.000000
9246831384,83.156860,3.831569,0.000000
9247831915,83.175674,3.831757,0.000000
9248832446,83.197144,3.831972,0.000000
9249833004,83.170288,3.831703,0.000000
9250833535,83.175659,3.831757,0.000000
9251834065,83.170303,3.831703,0.000000
9252834596,83.076294,3.830763,0.000000
9253835127,83.163589,3.831636,0.000000
9254835658,83.152840,3.831528,0.000000
9255836189,83.121948,3.831219,0.000000
9256836720,83.146126,3.831461,0.000000
9257837279,83.136734,3.831367,0.000000
9258837811,83.130005,3.831300,0.000000
9259838341,83.103157,3.831031,0.000000
9260838875,83.139420,3.831394,0.000000
9261839406,83.124641,3.831247,0.000000
9262839938,83.160889,3.831609,0.000000
9263840471,83.131355,3.831314,0.000000
9264841037,83.131348,3.831313,0.000000
9265841568,83.136726,3.831367,0.000000
9266842099,83.128662,3.831287,0.000000
9267842630,83.124641,3.831246,0.000000
9268843167,83.138062,3.831380,0.000000
9269843699,83.092407,3.830924,0.000000
9270844231,83.104492,3.831045,0.000000
9271844791,83.088379,3.830884,0.000000
9272845321,83.101807,3.831018,0.000000
9273845853,83.084351,3.830844,0.000000
9274846384,83.099129,3.830991,0.000000
9275846918,83.087036,3.830870,0.000000
