Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9166363087,-0.042634,0.919460,-0.480036
9166383698,0.006366,0.919460,-0.431036
9166404309,-0.091634,0.919460,-0.480036
9166424920,-0.091634,0.919460,-0.529036
9166445532,0.006366,0.919460,-0.480036
9166466143,-0.091634,0.919460,-0.529036
9166486755,-0.042634,0.919460,-0.431036
9166507366,-0.042634,0.919460,-0.578036
9166527977,-0.140634,1.017460,-0.529036
9166548588,-0.091634,0.919460,-0.529036
9166569199,-0.140634,0.968460,-0.578036
9166589810,-0.091634,0.870460,-0.529036
9166610421,0.006366,0.919460,-0.529036
9166631033,-0.091634,0.919460,-0.676036
9166651644,-0.042634,0.870460,-0.627036
9166672273,-0.140634,0.870460,-0.529036
9166692869,-0.091634,0.968460,-0.578036
9166713481,-0.042634,0.919460,-0.480036
9166734090,-0.042634,0.870460,-0.480036
9166754706,-0.042634,0.870460,-0.578036
9166775311,-0.042634,0.968460,-0.480036
9166795923,-0.042634,0.870460,-0.529036
9166816535,-0.042634,0.919460,-0.529036
9166837146,-0.042634,0.870460,-0.578036
9166857758,-0.042634,0.968460,-0.529036
9166878369,-0.042634,0.870460,-0.578036
9166898981,-0.042634,0.870460,-0.578036
9166919593,-0.042634,0.870460,-0.529036
9166940206,-0.140634,0.870460,-0.480036
9166960819,0.006366,0.772460,-0.578036
9166981431,-0.091634,0.968460,-0.480036
9167002042,-0.042634,0.968460,-0.578036
9167022654,-0.091634,0.870460,-0.480036
9167043265,-0.042634,0.870460,-0.529036
9167063876,0.006366,0.968460,-0.578036
9167084487,-0.042634,0.821460,-0.578036
9167105094,-0.042634,0.919460,-0.578036
9167125702,-0.091634,0.968460,-0.480036
9167146309,-0.140634,0.919460,-0.529036
9167166916,-0.091634,0.919460,-0.627036
9167187523,-0.042634,0.870460,-0.578036
9167208129,-0.042634,0.919460,-0.480036
9167228737,0.006366,0.919460,-0.431036
9167249344,-0.091634,0.870460,-0.480036
9167269953,0.006366,0.919460,-0.529036
9167290562,-0.091634,0.919460,-0.529036
9167311172,-0.042634,0.821460,-0.480036
9167331780,0.006366,0.870460,-0.480036
9167352388,-0.091634,0.919460,-0.480036
9167372995,-0.091634,0.870460,-0.529036
9167393602,-0.042634,0.821460,-0.578036
9167414209,-0.042634,0.821460,-0.431036
9167434815,-0.042634,0.968460,-0.627036
9167455421,-0.042634,0.870460,-0.529036
9167476028,0.006366,0.870460,-0.529036
9167496634,-0.140634,0.919460,-0.480036
9167517242,-0.042634,0.919460,-0.431036
9167537848,-0.091634,0.919460,-0.480036
9167558455,-0.091634,0.919460,-0.578036
9167579061,-0.042634,0.870460,-0.578036
9167599668,-0.091634,0.968460,-0.480036
9167620277,-0.091634,0.919460,-0.578036
9167640888,-0.042634,0.919460,-0.431036
9167661499,-0.042634,0.870460,-0.578036
9167682117,-0.091634,0.919460,-0.529036
9167702716,0.006366,0.870460,-0.529036
9167723324,-0.042634,0.870460,-0.480036
9167743933,-0.042634,0.919460,-0.480036
9167764548,-0.042634,0.919460,-0.480036
9167785156,-0.042634,0.919460,-0.480036
9167805767,0.006366,0.919460,-0.578036
9167826378,-0.140634,0.968460,-0.578036
9167846989,-0.042634,0.870460,-0.578036
9167867599,-0.042634,0.870460,-0.529036
9167888210,-0.091634,0.968460,-0.578036
9167908820,0.006366,0.919460,-0.480036
9167929431,-0.042634,0.870460,-0.480036
9167950042,-0.042634,0.968460,-0.529036
9167970653,-0.042634,0.870460,-0.529036
9167991263,-0.091634,0.919460,-0.480036
9168011873,-0.091634,0.968460,-0.627036
9168032483,-0.042634,0.772460,-0.529036
9168053093,0.006366,0.968460,-0.578036
9168073703,0.006366,0.968460,-0.676036
9168094313,-0.042634,0.968460,-0.529036
9168114922,-0.042634,0.919460,-0.529036
9168135531,-0.042634,0.772460,-0.676036
9168156137,-0.140634,0.772460,-0.529036
9168176743,-0.042634,0.821460,-0.529036
9168197348,0.006366,0.919460,-0.480036
9168217952,-0.042634,0.870460,-0.431036
9168238554,-0.091634,0.919460,-0.480036
9168259158,-0.091634,0.968460,-0.382036
9168279766,-0.042634,0.968460,-0.382036
9168300376,-0.042634,0.919460,-0.382036
9168320985,-0.042634,0.919460,-0.382036
9168341595,-0.091634,0.870460,-0.333036
9168362204,-0.042634,0.870460,-0.431036
9168382813,-0.042634,0.919460,-0.382036
9168403422,-0.042634,0.968460,-0.431036
9168424032,-0.042634,0.919460,-0.382036
9168444641,-0.091634,0.968460,-0.382036
9168465249,-0.042634,0.919460,-0.480036
9168485856,-0.091634,0.968460,-0.480036
9168506462,-0.042634,0.919460,-0.382036
9168527069,0.006366,0.870460,-0.333036
9168547675,-0.140634,0.919460,-0.480036
9168568281,-0.091634,0.870460,-0.382036
9168588889,-0.091634,0.968460,-0.382036
9168609497,-0.091634,0.968460,-0.382036
9168630107,-0.091634,1.066460,-0.284036
9168650716,-0.042634,0.919460,-0.235036
9168671327,-0.042634,0.968460,-0.186036
9168691970,-0.042634,1.017460,-0.235036
9168712545,-0.091634,0.968460,-0.235036
9168733151,-0.042634,1.017460,-0.186036
