Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9166347234,-0.495493,-0.016414,0.244091,-0.003921,0.977868,-0.226525
9166349734,-0.435263,0.167600,0.122027,-0.002453,0.976430,-0.225074
9166352233,-0.435461,0.229132,-0.000097,-0.000990,0.975719,-0.222168
9166354733,-0.313913,0.290660,-0.000046,-0.004633,0.976410,-0.225068
9166357233,-0.253271,0.351803,0.061064,-0.002474,0.978608,-0.225801
9166359732,-0.131739,0.413138,0.122188,0.000423,0.980088,-0.223626
9166362232,-0.131985,0.474090,0.183284,-0.001021,0.979350,-0.222167
9166364732,-0.070883,0.412942,0.244349,-0.001722,0.976439,-0.222166
9166367231,0.051339,0.290840,0.305405,-0.002429,0.974254,-0.221436
9166369730,0.112442,0.229693,0.366470,-0.004616,0.975690,-0.218520
9166372230,0.173561,0.168738,0.366462,-0.006090,0.977855,-0.219971
9166374730,0.173347,0.230077,0.305411,-0.003876,0.973514,-0.222160
9166377229,0.112688,0.168740,0.305374,-0.003134,0.972070,-0.219979
9166379729,0.052276,0.046452,0.244241,-0.003129,0.972073,-0.217069
9166382229,-0.008137,-0.075837,0.183108,-0.000243,0.975007,-0.213439
9166384734,0.052982,-0.136791,0.183099,-0.003156,0.974977,-0.217796
9166387228,0.053244,-0.197550,0.060930,-0.004605,0.974237,-0.219248
9166389732,0.114609,-0.319456,-0.000175,-0.000979,0.975725,-0.215619
9166392237,0.053951,-0.380793,-0.000212,-0.002427,0.974985,-0.216343
9166394727,-0.006938,-0.380984,-0.000226,-0.001689,0.973538,-0.217073
9166397227,-0.189604,-0.381558,-0.000268,0.000479,0.975011,-0.216351
9166399726,-0.372040,-0.443277,-0.000333,0.000471,0.975736,-0.217078
9166402226,-0.432453,-0.565565,-0.061466,0.001208,0.973559,-0.222174
9166404726,-0.432207,-0.626518,-0.122562,-0.000257,0.974999,-0.222170
9166407225,-0.431977,-0.687663,-0.122585,-0.003151,0.974250,-0.218524
9166409725,-0.492421,-0.810338,-0.061571,-0.005336,0.974228,-0.222156
9166412224,-0.552834,-0.932627,-0.122704,-0.006095,0.977852,-0.222881
9166414724,-0.552818,-0.932434,-0.183778,-0.003912,0.977873,-0.220704
9166417224,-0.431040,-0.932051,-0.183750,-0.003874,0.974246,-0.216339
9166419723,-0.370183,-0.932247,-0.061589,-0.003135,0.972800,-0.216341
9166422223,-0.309525,-0.870910,-0.061552,-0.003160,0.974975,-0.220707
9166424723,-0.309755,-0.809765,-0.061529,-0.002443,0.975706,-0.222164
9166427222,-0.127335,-0.748239,-0.000390,-0.003892,0.975695,-0.219977
9166429722,-0.066446,-0.748048,-0.000376,-0.003884,0.974240,-0.222887
9166432222,-0.005557,-0.747857,-0.000362,-0.004581,0.970601,-0.224341
9166434721,-0.005541,-0.747664,-0.061436,-0.003129,0.970613,-0.225073
9166437221,-0.005985,-0.625179,-0.122463,-0.003853,0.971338,-0.219250
9166439720,0.054903,-0.624988,-0.122449,-0.003129,0.970613,-0.225073
9166442220,0.054657,-0.564036,-0.061353,-0.000974,0.972808,-0.227988
9166444720,0.054625,-0.564423,0.060794,-0.003859,0.970605,-0.227253
9166447219,0.115284,-0.503086,0.060830,-0.004563,0.968421,-0.225069
9166449719,0.175712,-0.380604,0.060890,-0.003108,0.968436,-0.223618
9166452219,0.114593,-0.319650,0.060899,-0.003139,0.970608,-0.230893
9166454718,-0.007660,-0.197935,0.121989,-0.000982,0.974264,-0.225078
9166457218,-0.069271,-0.015076,0.244190,-0.001628,0.965545,-0.222167
9166459718,-0.130605,0.107217,0.183148,-0.003065,0.964081,-0.219980
9166462217,-0.131049,0.229701,0.122120,-0.002355,0.965538,-0.222892
9166464717,-0.131033,0.229895,0.061047,-0.002376,0.968445,-0.219982
9166467216,-0.009025,0.169132,0.061052,-0.008201,0.969846,-0.220693
9166469716,0.173855,0.108366,0.122145,-0.005331,0.974230,-0.219246
9166472216,0.112982,0.108369,0.061058,-0.006783,0.974948,-0.214876
9166474715,0.113459,-0.013729,-0.000061,-0.007503,0.974215,-0.214874
9166477215,-0.008073,-0.075063,-0.061186,-0.007464,0.969858,-0.214147
9166479715,0.053062,-0.135824,-0.122267,-0.006029,0.972051,-0.213423
9166482214,0.114197,-0.196585,-0.183349,-0.005281,0.969880,-0.211243
9166484714,0.175562,-0.318492,-0.244454,-0.003102,0.970629,-0.207611
9166487214,0.175792,-0.379637,-0.244477,0.001226,0.974299,-0.206894
9166489713,0.175824,-0.379250,-0.366624,-0.000932,0.971372,-0.209799
9166492213,0.054015,-0.380019,-0.244505,-0.004590,0.974245,-0.209789
9166494713,-0.006430,-0.502695,-0.183491,-0.004591,0.974245,-0.210517
9166497212,-0.128009,-0.564610,-0.061396,-0.000224,0.973558,-0.209073
9166499712,-0.127104,-0.809385,-0.000413,0.001895,0.980112,-0.211261
9166502212,-0.126660,-0.931869,0.060615,0.001889,0.980109,-0.214899
9166504711,-0.065081,-1.115115,0.060561,-0.000991,0.977178,-0.214892
9166507211,-0.064605,-1.237212,-0.000558,-0.000998,0.978634,-0.211254
9166509710,-0.124589,-1.482179,0.060410,0.002608,0.981570,-0.211991
9166512210,-0.184819,-1.666193,0.182475,-0.000326,0.983718,-0.217803
9166514710,-0.123518,-1.788873,0.365663,-0.002510,0.984426,-0.217070
9166517209,-0.062661,-1.789069,0.487824,-0.006106,0.980765,-0.214150
9166519709,-0.062447,-1.850407,0.548875,-0.002493,0.982246,-0.217798
9166522208,0.059775,-1.972510,0.609931,-0.006900,0.988749,-0.212692
9166524708,0.060235,-2.094800,0.609886,-0.009803,0.987995,-0.214867
9166527208,0.121338,-2.155948,0.670951,-0.011939,0.982891,-0.215589
9166529707,0.182243,-2.155564,0.609891,-0.008315,0.982919,-0.220692
9166532207,0.242902,-2.094227,0.609928,-0.012679,0.983606,-0.220680
9166534707,0.363989,-1.910408,0.610025,-0.009770,0.982905,-0.222143
9166537206,0.485060,-1.726783,0.671195,-0.013355,0.977060,-0.224317
9166539706,0.606361,-1.604303,0.732342,-0.014062,0.974146,-0.227953
9166542205,0.666790,-1.481821,0.732401,-0.015547,0.977763,-0.228676
9166544705,0.726742,-1.237241,0.793580,-0.010458,0.977811,-0.225780
9166547205,0.847385,-0.930938,0.732648,-0.009010,0.977821,-0.228694
9166549704,0.968011,-0.624828,0.732790,-0.009728,0.976360,-0.231603
9166552204,1.089131,-0.440623,0.610740,-0.007504,0.971295,-0.231609
9166554704,1.027813,-0.318136,0.488625,-0.006798,0.973479,-0.232338
9166557203,1.027139,-0.134506,0.427619,-0.004618,0.972769,-0.235982
9166559703,1.026448,0.048930,0.427688,-0.003122,0.968428,-0.232349
9166562203,1.086186,0.354849,0.427815,-0.006734,0.966217,-0.231611
9166564702,1.146139,0.599428,0.488994,-0.006750,0.968397,-0.230156
9166567202,1.205861,0.905154,0.550195,-0.002411,0.970615,-0.230168
9166569702,1.265829,1.149927,0.550300,-0.008211,0.969110,-0.230880
9166572201,1.265154,1.333556,0.489295,-0.003105,0.967707,-0.225800
9166574701,1.204020,1.394317,0.550377,-0.006771,0.972036,-0.222880
9166577200,1.142901,1.455272,0.550385,-0.007496,0.972030,-0.222150
9166579700,1.081996,1.454887,0.611445,-0.003124,0.970616,-0.221435
9166582200,0.899346,1.454507,0.550329,-0.002369,0.967720,-0.219254
9166584699,0.778044,1.332027,0.489182,0.002704,0.970677,-0.211264
9166587199,0.656743,1.209547,0.428035,-0.003884,0.975700,-0.214884
9166589699,0.657648,0.964772,0.489017,-0.003130,0.972803,-0.213431
9166592198,0.658750,0.658464,0.672124,-0.001654,0.970639,-0.210525
9166594698,0.598766,0.413498,0.733092,0.000500,0.972833,-0.214896
