Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9166367470,0.026168,-0.934400,0.440145
9166416908,0.026164,-0.934388,0.440111
9166466349,0.026189,-0.934213,0.429514
9166515792,0.035127,-0.943882,0.450651
9166565232,0.017102,-0.934430,0.450652
9166614665,0.035304,-0.924995,0.419117
9166664096,0.017127,-0.934256,0.440055
9166713533,0.026193,-0.925388,0.450856
9166762963,0.026164,-0.934388,0.440111
9166812405,0.026214,-0.925201,0.440224
9166861847,0.017102,-0.934430,0.450652
9166911287,0.035226,-0.934346,0.429570
9166960725,0.035173,-0.934684,0.450729
9167010166,0.026189,-0.934213,0.429514
9167059608,0.026242,-0.925038,0.429659
9167109049,0.026168,-0.934400,0.440145
9167158496,0.017152,-0.925243,0.450765
9167207929,0.026094,-0.943762,0.450631
9167257367,0.026193,-0.925388,0.450856
9167306810,0.035181,-0.934707,0.450800
9167356245,0.026263,-0.924852,0.419030
9167405683,0.026139,-0.943400,0.429401
9167455118,0.026135,-0.943388,0.429369
9167504559,0.035202,-0.934521,0.440167
9167554005,0.035152,-0.943708,0.440054
9167603450,0.026189,-0.934213,0.429514
9167652902,0.035177,-0.934696,0.450764
9167702347,0.035152,-0.943708,0.440054
9167751793,0.026263,-0.924852,0.419030
9167801229,0.035181,-0.934707,0.450800
9167850666,0.035177,-0.934696,0.450764
9167900106,0.035177,-0.934696,0.450764
9167949579,0.035152,-0.943708,0.440054
9167998972,0.026214,-0.925201,0.440224
9168048408,0.026221,-0.925224,0.440292
9168097852,0.044193,-0.952689,0.418835
9168147294,0.026292,-0.915851,0.429772
9168196734,0.035176,-0.943533,0.429457
9168246173,0.044115,-0.953202,0.450595
9168295616,0.044164,-0.961690,0.408094
9168345057,0.053200,-0.970659,0.386843
9168394514,0.026113,-0.970087,0.376078
9168443942,0.035100,-0.979406,0.376021
9168493390,0.035104,-0.979419,0.376046
9168542833,0.044142,-0.979552,0.376102
9168592281,0.053080,-1.006896,0.354623
9168641725,0.062142,-1.006853,0.344080
9168691167,0.080286,-0.997744,0.333688
9168740619,0.089353,-1.006552,0.301854
9168790067,0.098267,-1.016396,0.333593
9168839508,0.080312,-0.979894,0.365704
9168888956,0.107431,-0.962629,0.408515
9168938410,0.098439,-0.935623,0.451156
9168987865,0.089513,-0.890627,0.515336
9169037308,0.116795,-0.854440,0.526508
9169086759,0.107882,-0.818083,0.558699
9169136213,0.117014,-0.790995,0.580236
9169185665,0.108002,-0.773013,0.612197
9169235124,0.117120,-0.754955,0.623136
9169284576,0.108003,-0.764176,0.633504
9169334033,0.126107,-0.781949,0.580459
9169383471,0.108032,-0.781684,0.580347
9169432922,0.126038,-0.800158,0.569688
9169482378,0.125987,-0.827020,0.526949
9169531849,0.098739,-0.845152,0.537060
9169581275,0.089736,-0.853702,0.505187
9169630721,0.053526,-0.871176,0.483457
9169680175,0.035306,-0.898483,0.483046
9169729631,0.008196,-0.906934,0.461606
9169779076,-0.000966,-0.925351,0.471924
9169828512,0.008094,-0.916460,0.482653
9169877952,-0.000870,-0.906965,0.472111
9169927396,-0.010006,-0.916370,0.493139
9169976843,0.017085,-0.934629,0.461323
9170026289,-0.000945,-0.934002,0.439977
9170075732,0.017109,-0.934454,0.450723
9170125184,0.026192,-0.943062,0.408237
9170174626,0.026149,-0.961111,0.386867
9170224066,0.035130,-0.970407,0.386757
9170273507,0.044172,-0.961714,0.408153
9170322954,0.062268,-0.952954,0.418947
9170372398,0.062314,-0.934918,0.440335
9170421842,0.071411,-0.917049,0.461885
9170471299,0.089612,-0.881089,0.494248
9170520748,0.080650,-0.845082,0.547644
9170570208,0.080745,-0.817860,0.569130
9170619650,0.080820,-0.799661,0.579954
9170669092,0.080770,-0.800011,0.601151
9170718531,0.080875,-0.781645,0.601434
9170767978,0.081028,-0.762929,0.580513
9170817422,0.080894,-0.781461,0.590778
9170866872,0.116995,-0.800016,0.569579
9170916327,0.116995,-0.800016,0.569579
9170965779,0.135150,-0.790928,0.559257
9171015226,0.107893,-0.818102,0.558801
9171064673,0.080694,-0.835885,0.547707
9171114116,0.071557,-0.854127,0.547426
9171163563,0.044469,-0.853554,0.536659
9171213014,0.017331,-0.862169,0.525780
9171262470,0.017306,-0.871181,0.515068
9171311919,0.026344,-0.871314,0.515124
9171361372,0.026273,-0.889524,0.504344
9171410815,0.044323,-0.907639,0.472430
9171460259,0.026197,-0.916561,0.472205
9171509709,0.053331,-0.916773,0.461736
9171559158,0.053310,-0.925797,0.451060
9171608600,0.044194,-0.935015,0.461454
9171658056,0.053235,-0.943996,0.440234
9171707509,0.044243,-0.934665,0.440257
9171756958,0.035209,-0.934544,0.440235
9171806404,0.035280,-0.916333,0.451025
9171855847,0.053356,-0.907761,0.472447
9171905302,0.053435,-0.889572,0.483311
9171954743,0.053507,-0.853687,0.536715
9172004183,0.053582,-0.835487,0.547539
9172053625,0.053607,-0.817638,0.579560
9172103077,0.071812,-0.781687,0.611978
9172152526,0.080970,-0.754424,0.622912
9172201973,0.090008,-0.745720,0.644278
9172251413,0.090082,-0.736358,0.633792
9172300856,0.072031,-0.744755,0.601772
9172350300,0.089982,-0.772407,0.590947
9172399748,0.116970,-0.800191,0.580178
9172449201,0.107982,-0.799709,0.558925
9172498649,0.098770,-0.827313,0.569129
9172548097,0.053656,-0.826125,0.537053
9172597536,0.035411,-0.853607,0.547251
9172646976,0.017463,-0.843639,0.515496
9172696413,-0.009781,-0.861771,0.525612
9172745864,-0.000741,-0.861914,0.525714
9172795295,-0.000766,-0.870926,0.515001
9172844737,0.017331,-0.871006,0.504470
9172894184,-0.000717,-0.879414,0.472488
9172943630,-0.000863,-0.898150,0.493504
9172993076,0.008122,-0.907459,0.493406
9173042525,0.008197,-0.898097,0.482919
9173091964,0.017156,-0.916418,0.472110
9173141409,0.026197,-0.925399,0.450892
9173190867,0.044322,-0.916477,0.451117
9173240307,0.026218,-0.925213,0.440258
9173289754,0.035305,-0.907321,0.461737
9173339196,0.026272,-0.898362,0.483031
9173388632,0.035261,-0.890006,0.525600
9173438068,0.017306,-0.871181,0.515068
9173487505,-0.000688,-0.852737,0.525873
9173536942,0.008251,-0.871244,0.525704
9173586377,0.026468,-0.843927,0.526061
9173635819,0.026422,-0.853124,0.525995
9173685258,0.026493,-0.843752,0.515463
9173734703,0.035439,-0.862280,0.515383
9173784151,0.035510,-0.835232,0.547477
9173833598,0.026398,-0.844462,0.557908
9173883044,0.026572,-0.816725,0.547646
9173932492,0.026576,-0.816734,0.547696
9173981931,0.008348,-0.835184,0.568509
9174031375,-0.009725,-0.843767,0.547133
9174080829,-0.009701,-0.843592,0.536532
9174130279,-0.036916,-0.861559,0.536090
9174179727,-0.036942,-0.879409,0.504064
9174229167,-0.036990,-0.897445,0.482679
9174278609,-0.027952,-0.906415,0.461419
9174328044,-0.010003,-0.916381,0.493181
9174377479,-0.000817,-0.897789,0.472263
9174426926,0.008150,-0.907295,0.482846
9174476370,0.008166,-0.889412,0.514742
9174525810,0.008272,-0.871059,0.515057
9174575261,0.017385,-0.844154,0.547252
9174624703,0.017335,-0.853342,0.547139
9174674145,0.017386,-0.835317,0.568565
9174723590,-0.000664,-0.817201,0.600479
9174773032,0.008476,-0.807806,0.579501
9174822478,-0.009727,-0.817244,0.611023
9174871926,-0.000593,-0.798993,0.611245
9174921376,-0.009600,-0.798703,0.600705
9174970823,-0.027727,-0.798779,0.621736
9175020276,-0.000589,-0.799002,0.611304
9175069727,0.008473,-0.790122,0.622073
9175119169,-0.000642,-0.799342,0.632442
9175168617,0.008321,-0.817674,0.621674
9175218082,-0.000816,-0.835916,0.621393
9175267535,-0.018792,-0.817277,0.621506
9175316985,-0.027904,-0.835344,0.610626
9175366442,-0.045953,-0.834914,0.599973
9175415896,-0.055042,-0.835121,0.621057
9175465338,-0.064150,-0.844371,0.631610
9175514792,-0.055115,-0.853331,0.610291
9175564253,-0.064103,-0.844011,0.610348
9175613706,-0.064104,-0.844001,0.610289
9175663167,-0.073215,-0.853241,0.620779
9175712612,-0.073218,-0.853220,0.620659
9175762060,-0.091291,-0.861813,0.599355
9175811513,-0.091341,-0.853315,0.641804
9175860959,-0.118404,-0.843730,0.641749
9175910408,-0.145418,-0.833806,0.620557
9175959848,-0.181668,-0.851640,0.620047
9176009296,-0.190533,-0.823790,0.609848
9176058738,-0.190656,-0.842330,0.620164
9176108182,-0.190556,-0.815118,0.641703
9176157629,-0.181543,-0.815425,0.652359
9176207076,-0.172356,-0.787996,0.652753
9176256521,-0.181419,-0.788038,0.663297
9176305970,-0.172330,-0.778975,0.663400
9176355406,-0.190431,-0.778893,0.673954
9176404835,-0.154156,-0.752036,0.685117
9176454288,-0.154230,-0.770227,0.674223
9176503729,-0.136105,-0.761314,0.674516
9176553167,-0.127167,-0.770975,0.695588
9176602601,-0.099979,-0.762019,0.685340
9176652036,-0.090967,-0.762318,0.695925
9176701480,-0.072941,-0.762933,0.717234
9176750923,-0.063853,-0.753878,0.717403
9176800363,-0.054764,-0.753669,0.696333
9176849808,-0.036688,-0.745096,0.717758
9176899254,-0.036591,-0.726714,0.717909
9176948692,-0.009401,-0.717757,0.707664
9176998140,-0.000441,-0.727244,0.718133
9177047584,-0.009476,-0.735957,0.696838
9177097037,0.044676,-0.746114,0.707662
9177146491,0.062726,-0.764229,0.675748
9177195943,0.071764,-0.773199,0.654491
9177245402,0.080722,-0.791523,0.643658
9177294852,0.080646,-0.818560,0.611524
9177344301,0.080572,-0.827922,0.622010
9177393752,0.089664,-0.827714,0.600926
9177443204,0.071612,-0.836112,0.568901
9177492656,0.071419,-0.855196,0.611134
9177542101,0.053338,-0.872596,0.568338
9177591543,0.044300,-0.881301,0.546969
9177640985,0.035191,-0.899380,0.536135
9177690426,0.017133,-0.890080,0.546638
9177739869,0.008045,-0.907972,0.525160
9177789313,-0.001014,-0.908026,0.535750
9177838754,-0.001092,-0.926214,0.524878
9177888202,-0.010077,-0.925743,0.503668
9177937655,-0.010099,-0.925930,0.514313
9177987103,-0.010100,-0.934768,0.492997
9178036548,-0.010177,-0.944118,0.503443
9178085998,-0.010230,-0.962131,0.481977
9178135448,-0.019262,-0.953185,0.503317
9178184901,-0.010224,-0.953318,0.503373
9178234355,-0.001235,-0.953800,0.524632
9178283805,-0.001064,-0.926051,0.514324
9178333245,0.007924,-0.926533,0.535581
9178382686,-0.001015,-0.916863,0.514437
9178432130,-0.019114,-0.907936,0.546238
9178481568,-0.010076,-0.899231,0.567607
9178531007,-0.019139,-0.908111,0.556838
9178580444,-0.028102,-0.889778,0.567608
9178629886,-0.019064,-0.898748,0.546351
9178679328,-0.010076,-0.908068,0.546294
9178728768,-0.000914,-0.880813,0.557289
9178778211,-0.000988,-0.890176,0.567776
9178827653,0.017091,-0.881614,0.589257
9178877109,0.017162,-0.872241,0.578714
9178926552,0.017163,-0.863403,0.600027
9178975997,0.008125,-0.854433,0.621283
9179025471,0.062551,-0.809641,0.643384
9179074888,0.044551,-0.782339,0.675410
9179124331,0.053713,-0.763922,0.665092
9179173770,0.062776,-0.755042,0.675861
9179223201,0.062772,-0.746196,0.697102
9179272639,0.071844,-0.746170,0.686699
9179322086,0.062702,-0.764404,0.686348
9179371532,0.044551,-0.782339,0.675410
9179420968,0.044551,-0.791177,0.654097
9179470404,0.035392,-0.818441,0.643166
9179519839,0.008179,-0.827581,0.664089
9179569277,-0.027926,-0.826691,0.642598
9179618723,-0.010025,-0.863531,0.631659
9179668158,-0.001012,-0.863838,0.642315
9179717588,0.007955,-0.882181,0.631607
9179767040,0.035065,-0.882568,0.631713
9179816490,0.026031,-0.882446,0.631719
9179865935,0.035143,-0.873216,0.621286
9179915385,0.044182,-0.864511,0.642658
9179964821,0.044156,-0.882362,0.610628
9180014255,0.043974,-0.910076,0.620770
9180063692,0.035114,-0.882218,0.610513
9180113126,0.044057,-0.891899,0.631718
9180162557,0.007929,-0.900032,0.599577
9180211986,-0.010200,-0.908943,0.599295
9180261417,-0.046426,-0.926612,0.588245
9180310867,-0.010375,-0.963192,0.545617
9180360309,-0.001359,-0.963512,0.556324
9180409747,0.007778,-0.954108,0.535290
9180459179,0.034913,-0.954318,0.524810
9180508624,0.044026,-0.936251,0.535692
9180558075,0.044180,-0.899862,0.557394
9180607518,0.053164,-0.900333,0.578599
9180656962,0.080357,-0.891380,0.568333
9180706406,0.080501,-0.863806,0.568618
9180755844,0.071509,-0.836802,0.611242
