Timestamp (us),Percentage (%),Power (dBm)
9166794796,80.000000,-60.000000
9167792140,80.000000,-60.000000
9168797019,76.000000,-62.000000
9169796846,82.000000,-59.000000
9170809200,86.000000,-57.000000
9171792988,80.000000,-60.000000
9172803908,78.000000,-61.000000
9173803227,82.000000,-59.000000
9174792576,76.000000,-62.000000
9175810970,80.000000,-60.000000
9176803340,82.000000,-59.000000
9177795709,72.000000,-64.000000
9178808034,74.000000,-63.000000
9179797919,80.000000,-60.000000
9180790246,84.000000,-58.000000
9181800100,80.000000,-60.000000
9182797313,80.000000,-60.000000
9183789812,94.000000,-53.000000
9184792166,90.000000,-55.000000
9185797023,92.000000,-54.000000
9186799474,98.000000,-51.000000
9187795848,78.000000,-61.000000
9188794090,78.000000,-61.000000
9189801472,78.000000,-61.000000
9190798798,70.000000,-65.000000
9191796156,80.000000,-60.000000
9192801029,70.000000,-65.000000
9193795866,78.000000,-61.000000
9194800737,84.000000,-58.000000
9195793081,66.000000,-67.000000
9196799892,76.000000,-62.000000
9197800292,80.000000,-60.000000
9198794276,76.000000,-62.000000
9199802503,60.000000,-70.000000
9200799860,54.000000,-73.000000
9201793846,72.000000,-64.000000
9202792074,72.000000,-64.000000
9203796944,76.000000,-62.000000
9204798235,76.000000,-62.000000
9205809145,50.000000,-75.000000
9206796501,76.000000,-62.000000
9207801358,84.000000,-58.000000
9208806215,86.000000,-57.000000
9209803571,84.000000,-58.000000
9210797616,76.000000,-62.000000
9211808287,90.000000,-55.000000
9212791756,90.000000,-55.000000
9213789966,100.000000,-50.000000
9214805376,82.000000,-59.000000
9215800234,76.000000,-62.000000
9216790076,68.000000,-66.000000
9217802432,80.000000,-60.000000
9218792312,72.000000,-64.000000
9219807163,72.000000,-64.000000
9220797006,76.000000,-62.000000
9221789394,72.000000,-64.000000
9222797274,76.000000,-62.000000
9223804079,76.000000,-62.000000
9224791439,64.000000,-68.000000
9225798811,62.000000,-69.000000
9226796180,80.000000,-60.000000
9227791017,76.000000,-62.000000
9228788548,74.000000,-63.000000
9229798255,72.000000,-64.000000
9230788771,66.000000,-67.000000
9231790450,70.000000,-65.000000
9232805308,86.000000,-57.000000
9233804980,72.000000,-64.000000
9234800025,80.000000,-60.000000
9235792402,80.000000,-60.000000
9236804761,78.000000,-61.000000
9237802101,84.000000,-58.000000
9238791963,92.000000,-54.000000
9239803289,92.000000,-54.000000
9240794209,88.000000,-56.000000
9241795424,90.000000,-55.000000
9242802819,96.000000,-52.000000
9243788759,100.000000,-50.000000
9244806137,70.000000,-65.000000
9245800977,72.000000,-64.000000
9246795851,76.000000,-62.000000
9247788196,80.000000,-60.000000
9248791318,76.000000,-62.000000
9249797914,78.000000,-61.000000
9250797774,72.000000,-64.000000
9251787636,76.000000,-62.000000
9252790445,76.000000,-62.000000
9253794853,70.000000,-65.000000
9254789985,72.000000,-64.000000
9255792073,82.000000,-59.000000
9256796945,68.000000,-66.000000
9257791794,70.000000,-65.000000
9258794169,72.000000,-64.000000
9259801538,72.000000,-64.000000
9260801373,78.000000,-61.000000
9261788751,86.000000,-57.000000
9262796092,92.000000,-54.000000
9263798470,96.000000,-52.000000
9264800571,88.000000,-56.000000
9265795673,94.000000,-53.000000
9266788232,96.000000,-52.000000
9267792894,82.000000,-59.000000
9268801879,94.000000,-53.000000
9269793577,74.000000,-63.000000
9270797474,66.000000,-67.000000
9271791905,78.000000,-61.000000
9272792197,74.000000,-63.000000
9273802069,72.000000,-64.000000
9274804155,74.000000,-63.000000
9275798422,72.000000,-64.000000
