Timestamp (us),Percentage (%),Voltage (V),Charging Status
9166776856,80.821739,3.808218,0.000000
9167777387,80.684776,3.806848,0.000000
9168777920,80.730431,3.807304,0.000000
9169778454,80.743866,3.807439,0.000000
9170779030,80.735802,3.807358,0.000000
9171779563,80.763992,3.807640,0.000000
9172780096,80.793549,3.807935,0.000000
9173780627,80.764000,3.807640,0.000000
9174781165,80.739822,3.807398,0.000000
9175781696,80.777428,3.807774,0.000000
9176782229,80.754601,3.807546,0.000000
9177782760,80.768036,3.807681,0.000000
9178783291,80.754608,3.807546,0.000000
9179783825,80.737144,3.807372,0.000000
9180784356,80.735802,3.807358,0.000000
9181784887,80.731773,3.807318,0.000000
9182785421,80.772064,3.807721,0.000000
9183785953,80.747887,3.807479,0.000000
9184786484,80.726410,3.807264,0.000000
9185787014,80.762665,3.807627,0.000000
9186787545,80.722374,3.807224,0.000000
9187788076,80.719696,3.807197,0.000000
9188788607,80.766693,3.807667,0.000000
9189789138,80.735802,3.807358,0.000000
9190789669,80.729088,3.807291,0.000000
9191790201,80.700890,3.807009,0.000000
9192790735,80.721031,3.807210,0.000000
9193791266,80.729088,3.807291,0.000000
9194791799,80.674042,3.806741,0.000000
9195792331,80.729088,3.807291,0.000000
9196792864,80.726410,3.807264,0.000000
9197793398,80.717003,3.807170,0.000000
9198793932,80.710289,3.807103,0.000000
9199794467,80.708954,3.807089,0.000000
9200795000,80.635094,3.806351,0.000000
9201795535,80.641815,3.806418,0.000000
9202796066,80.671349,3.806714,0.000000
9203796597,80.645844,3.806458,0.000000
9204797127,80.663292,3.806633,0.000000
9205797658,80.690147,3.806901,0.000000
9206798189,80.643150,3.806432,0.000000
9207798721,80.641815,3.806418,0.000000
9208799252,80.624344,3.806243,0.000000
9209799783,80.695526,3.806955,0.000000
9210800316,80.696869,3.806969,0.000000
9211800847,80.657921,3.806579,0.000000
9212801378,80.522293,3.805223,0.000000
9213801912,80.503510,3.805035,0.000000
9214802443,80.480682,3.804807,0.000000
9215802974,80.522293,3.805223,0.000000
9216803506,80.480675,3.804807,0.000000
9217804037,80.498131,3.804981,0.000000
9218804570,80.499466,3.804995,0.000000
9219805138,80.546471,3.805465,0.000000
9220805672,80.492760,3.804927,0.000000
9221806203,80.465904,3.804659,0.000000
9222806734,80.488739,3.804887,0.000000
9223807265,80.506195,3.805062,0.000000
9224807799,80.472610,3.804726,0.000000
9225808330,80.516930,3.805169,0.000000
9226808861,80.526321,3.805263,0.000000
9227809393,80.451134,3.804511,0.000000
9228809929,80.441742,3.804417,0.000000
9229810459,80.416222,3.804163,0.000000
9230810991,80.453812,3.804538,0.000000
9231811525,80.463219,3.804632,0.000000
9232812082,80.410851,3.804108,0.000000
9233812613,80.437706,3.804377,0.000000
9234813143,80.455154,3.804552,0.000000
9235813674,80.507530,3.805075,0.000000
9236814207,80.421593,3.804216,0.000000
9237814744,80.444420,3.804444,0.000000
9238815275,80.396080,3.803961,0.000000
9239815811,80.384003,3.803840,0.000000
9240816346,80.386681,3.803867,0.000000
9241816877,80.447105,3.804471,0.000000
9242817408,80.486053,3.804861,0.000000
9243817939,80.510216,3.805102,0.000000
9244818485,80.506187,3.805062,0.000000
9245819016,80.519615,3.805196,0.000000
9246819547,80.515587,3.805156,0.000000
9247820078,80.507523,3.805075,0.000000
9248820614,80.546478,3.805465,0.000000
9249821147,80.492760,3.804928,0.000000
9250821681,80.471275,3.804713,0.000000
9251822236,80.484703,3.804847,0.000000
9252822768,80.563927,3.805639,0.000000
9253823300,80.618980,3.806190,0.000000
9254823833,80.510208,3.805102,0.000000
9255824367,80.467247,3.804672,0.000000
9256824899,80.451134,3.804511,0.000000
9257825460,80.418907,3.804189,0.000000
9258825996,80.449791,3.804498,0.000000
9259826528,80.440392,3.804404,0.000000
9260827060,80.383995,3.803840,0.000000
9261827591,80.425629,3.804256,0.000000
9262828122,80.401459,3.804015,0.000000
9263828655,80.378616,3.803786,0.000000
9264829204,80.413536,3.804136,0.000000
9265829736,80.404137,3.804041,0.000000
9266830270,80.418907,3.804189,0.000000
9267830800,80.435028,3.804350,0.000000
9268831331,80.406822,3.804068,0.000000
9269831863,80.435028,3.804350,0.000000
9270832424,80.416214,3.804162,0.000000
9271832958,80.433678,3.804337,0.000000
9272833489,80.422935,3.804230,0.000000
9273834019,80.405472,3.804055,0.000000
9274834552,80.421585,3.804216,0.000000
9275835088,80.409500,3.804095,0.000000
