Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9166357358,-0.054807,0.937749,-0.345792
9166378186,-0.005808,0.888749,-0.345792
9166399016,-0.005808,0.937749,-0.443792
9166419844,-0.103808,0.888749,-0.443792
9166440676,-0.103808,0.937749,-0.296792
9166461504,-0.054807,0.888749,-0.296792
9166482335,-0.005808,0.888749,-0.247792
9166503166,0.092192,0.839749,-0.296792
9166523998,-0.054807,0.839749,-0.443792
9166544830,-0.054807,1.035749,-0.247792
9166565660,-0.103808,0.937749,-0.345792
9166586489,-0.005808,0.888749,-0.345792
9166607319,-0.054807,0.986749,-0.394792
9166628153,-0.005808,0.888749,-0.345792
9166648989,0.043193,0.937749,-0.247792
9166669819,-0.103808,0.986749,-0.345792
9166690649,-0.054807,0.986749,-0.394792
9166711483,-0.054807,0.888749,-0.394792
9166732315,-0.103808,0.986749,-0.394792
9166753146,-0.005808,0.888749,-0.492792
9166773976,-0.005808,0.937749,-0.443792
9166794805,-0.054807,0.937749,-0.394792
9166815635,-0.054807,0.986749,-0.345792
9166836465,-0.005808,0.937749,-0.296792
9166857296,0.043193,0.888749,-0.296792
9166878128,-0.103808,0.937749,-0.345792
9166898958,-0.005808,0.888749,-0.394792
9166919788,-0.054807,0.986749,-0.345792
9166940619,-0.005808,0.986749,-0.394792
9166961452,-0.005808,0.937749,-0.345792
9166982284,-0.005808,0.937749,-0.394792
9167003115,-0.152808,0.937749,-0.394792
9167023946,-0.103808,0.888749,-0.394792
9167044777,-0.054807,0.888749,-0.443792
9167065607,-0.005808,0.937749,-0.247792
9167086438,-0.054807,0.937749,-0.345792
9167107267,-0.005808,0.937749,-0.345792
9167128096,-0.103808,0.937749,-0.296792
9167148924,-0.103808,0.937749,-0.345792
9167169753,-0.103808,0.986749,-0.296792
9167190581,-0.054807,0.937749,-0.394792
9167211411,-0.103808,1.035749,-0.394792
9167232239,-0.103808,1.035749,-0.296792
9167253067,-0.054807,0.888749,-0.394792
9167273895,-0.103808,0.986749,-0.296792
9167294723,-0.005808,0.937749,-0.345792
9167315550,-0.054807,0.937749,-0.345792
9167336378,-0.054807,0.937749,-0.345792
9167357205,-0.054807,0.986749,-0.345792
9167378032,-0.054807,0.888749,-0.345792
9167398861,-0.103808,0.986749,-0.345792
9167419687,-0.054807,0.937749,-0.345792
9167440517,-0.005808,0.937749,-0.345792
9167461351,-0.152808,0.937749,-0.345792
9167482172,-0.103808,0.937749,-0.296792
9167502999,-0.005808,0.937749,-0.247792
9167523831,-0.054807,0.986749,-0.296792
9167544657,-0.005808,0.937749,-0.345792
9167565487,-0.054807,0.986749,-0.394792
9167586315,-0.103808,0.986749,-0.296792
9167607146,-0.054807,0.888749,-0.296792
9167627980,-0.103808,0.986749,-0.345792
9167648810,-0.054807,0.937749,-0.247792
9167669640,-0.054807,0.937749,-0.345792
9167690471,-0.103808,0.937749,-0.345792
9167711298,-0.103808,0.937749,-0.345792
9167732127,-0.054807,0.937749,-0.345792
9167752955,-0.005808,0.790749,-0.394792
9167773783,-0.005808,0.937749,-0.394792
9167794610,-0.054807,0.937749,-0.394792
9167815439,-0.103808,0.937749,-0.345792
9167836269,-0.054807,0.888749,-0.345792
9167857101,-0.103808,1.035749,-0.345792
9167877932,-0.103808,0.986749,-0.345792
9167898763,-0.103808,0.937749,-0.296792
9167919591,-0.103808,0.937749,-0.345792
9167940419,-0.103808,0.937749,-0.394792
9167961245,-0.103808,0.888749,-0.345792
9167982071,-0.103808,0.937749,-0.345792
9168002899,-0.103808,0.986749,-0.345792
9168023726,-0.103808,0.839749,-0.394792
9168044554,-0.054807,0.937749,-0.296792
9168065382,-0.054807,0.888749,-0.345792
9168086212,-0.005808,0.986749,-0.394792
9168107044,-0.054807,0.888749,-0.443792
9168127873,-0.054807,1.035749,-0.394792
9168148703,-0.103808,0.937749,-0.394792
9168169532,0.092192,0.839749,-0.443792
9168190361,-0.103808,0.937749,-0.345792
9168211192,-0.005808,0.937749,-0.345792
9168232024,-0.103808,0.937749,-0.296792
9168252855,-0.152808,0.937749,-0.296792
9168273686,-0.152808,0.937749,-0.247792
9168294516,-0.103808,0.937749,-0.345792
9168315347,-0.054807,0.888749,-0.247792
9168336178,-0.054807,0.937749,-0.394792
