Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9166345227,0.006240,-0.265499,0.000403,-0.006353,0.992946,-0.028149
9166347729,0.006278,-0.204439,0.000277,-0.007105,0.993667,-0.023791
9166350232,-0.054632,-0.021071,0.060596,-0.008564,0.994401,-0.022345
9166352734,-0.054455,0.222843,0.060071,-0.011450,0.993710,-0.026730
9166355237,-0.054275,0.344567,-0.000906,-0.011439,0.994437,-0.027455
9166357739,0.006688,0.344244,-0.000899,-0.009254,0.996591,-0.025251
9166360241,0.006646,0.283159,-0.000772,-0.009238,0.997321,-0.026703
9166362744,0.006604,0.222093,-0.000645,-0.007783,0.997309,-0.026692
9166365246,0.006522,0.100070,-0.000392,-0.007797,0.994409,-0.028155
9166367748,0.006397,0.039221,0.060440,-0.006323,0.993681,-0.031781
9166370251,0.006518,0.100026,-0.000411,-0.005590,0.993677,-0.032503
9166372753,-0.054307,0.161028,-0.061250,-0.007043,0.995861,-0.030326
9166375274,-0.115276,0.100216,-0.061111,-0.012893,0.995173,-0.026736
9166377761,-0.115197,0.039049,-0.121671,-0.013608,0.993012,-0.031110
9166380259,-0.115367,-0.021622,-0.000096,-0.010694,0.992267,-0.032545
9166382761,-0.115454,-0.082434,0.060736,-0.007785,0.995861,-0.028150
9166385263,-0.115417,-0.082408,0.060717,-0.008532,0.995860,-0.025248
9166387766,-0.054352,-0.082756,-0.000000,-0.011471,0.992978,-0.024552
9166390268,-0.054298,0.100359,0.060326,-0.010006,0.992246,-0.026724
9166392770,0.006542,0.039294,0.121146,-0.007110,0.989323,-0.028166
9166395272,0.128309,-0.021966,0.181954,-0.008561,0.987889,-0.030362
9166397775,0.128271,-0.144072,0.121444,-0.010706,0.994433,-0.028176
9166400277,0.067531,-0.022175,-0.000265,-0.012878,0.995178,-0.028917
9166402779,-0.054299,-0.021897,-0.060985,-0.015079,0.991571,-0.030398
9166405282,-0.115108,0.161256,-0.061352,-0.013645,0.990828,-0.028209
9166407784,-0.114988,0.161046,-0.122038,-0.009996,0.992250,-0.028178
9166410286,-0.053966,0.221757,-0.122119,-0.007808,0.992958,-0.028160
9166412789,0.067905,0.038168,-0.182393,-0.010739,0.992250,-0.026003
9166415291,0.128626,-0.144830,-0.121244,-0.012197,0.993708,-0.023828
9166417794,0.128669,-0.144944,-0.181911,-0.011436,0.997333,-0.024538
9166420296,0.128669,-0.083921,-0.181981,-0.010668,0.997342,-0.030348
9166422798,0.250517,0.037787,-0.121457,-0.008520,0.993693,-0.029617
9166425300,0.311342,0.098695,-0.060833,-0.010723,0.992979,-0.027454
9166427803,0.250092,0.038220,0.060717,-0.015069,0.996641,-0.026021
9166430305,0.067138,-0.144235,0.000351,-0.015050,0.999542,-0.025284
9166432808,-0.054732,-0.204895,-0.060242,-0.011409,0.998790,-0.026714
9166435310,-0.115620,-0.143639,-0.060357,-0.011414,0.998788,-0.025987
9166437812,-0.054558,-0.021855,-0.060584,-0.013603,0.997356,-0.026735
9166440314,0.067351,-0.022279,-0.060551,-0.016519,0.996654,-0.026758
9166442817,0.128236,-0.083464,-0.060398,-0.017255,0.997380,-0.024580
9166445319,0.067249,-0.083222,-0.060386,-0.018693,0.998846,-0.025313
9166447821,0.067148,-0.205150,-0.060115,-0.020906,0.994510,-0.026070
9166450324,0.006098,-0.204711,0.000603,-0.018762,0.991584,-0.023883
9166452826,0.066879,-0.326657,0.061568,-0.017287,0.991579,-0.026780
9166455329,0.066855,-0.204442,0.122001,-0.017268,0.990139,-0.031146
9166457831,0.066957,-0.143560,0.061131,-0.016539,0.991581,-0.029682
9166460333,0.067059,-0.082697,0.000280,-0.018003,0.993037,-0.026780
9166462836,0.127944,-0.143863,0.000413,-0.020207,0.990876,-0.026076
9166465338,0.127864,-0.204794,0.000539,-0.017297,0.991576,-0.025326
9166467840,0.066878,-0.204515,0.000532,-0.015802,0.995921,-0.026028
9166470343,-0.055035,-0.204020,0.000518,-0.015809,0.994471,-0.026760
9166472845,-0.115883,-0.081787,0.000258,-0.012173,0.992993,-0.028192
9166475347,-0.115687,0.162145,-0.000247,-0.012177,0.993715,-0.026735
9166477850,-0.115570,0.284048,-0.000500,-0.015109,0.991560,-0.026037
9166480352,-0.115331,0.466730,-0.061585,-0.015082,0.993741,-0.027484
9166482854,-0.176240,0.466799,-0.061572,-0.013578,0.997365,-0.030369
9166485357,-0.237008,0.527685,-0.122392,-0.011390,0.998074,-0.030351
9166487859,-0.176068,0.405351,-0.122094,-0.010676,0.999510,-0.026706
9166490361,-0.054201,0.282839,-0.121789,-0.011421,0.996615,-0.027448
9166492864,0.006516,0.160900,-0.000079,-0.011446,0.992263,-0.028916
9166495366,0.006434,0.038896,0.000173,-0.009272,0.993690,-0.025987
9166497868,0.067215,-0.083127,0.061139,-0.005596,0.997293,-0.027403
9166500371,0.128182,-0.144451,0.000547,-0.004139,0.995111,-0.030307
9166502873,0.128102,-0.205382,0.000673,-0.007081,0.992952,-0.028154
9166505376,0.067239,-0.144285,-0.060166,-0.011422,0.995891,-0.028177
9166507877,0.067258,-0.083263,-0.060273,-0.007079,0.994400,-0.026696
9166510380,0.006411,0.099909,-0.060640,-0.008562,0.991506,-0.025989
9166512882,0.067355,0.099662,-0.060614,-0.009241,0.995149,-0.028890
9166515385,0.128157,0.038598,0.000244,-0.010667,0.998066,-0.029619
9166517887,0.067253,0.038642,-0.060469,-0.008529,0.994413,-0.027433
9166520389,0.006369,0.038686,-0.121163,-0.005643,0.991486,-0.027421
9166522892,-0.054579,0.038889,-0.121131,-0.008568,0.990781,-0.025991
9166525394,-0.054642,-0.083076,-0.120841,-0.012248,0.988624,-0.022390
9166527896,-0.054707,-0.082891,-0.060097,-0.010050,0.993677,-0.018723
9166530399,0.006216,-0.144057,-0.059945,-0.008527,0.996585,-0.025246
9166532901,0.006254,-0.083035,-0.060052,-0.009959,0.998776,-0.025976
9166535403,0.006335,-0.083168,-0.120739,-0.009964,0.998775,-0.025249
9166537906,-0.115639,-0.204665,-0.120462,-0.011417,1.000234,-0.023802
9166540408,-0.054780,-0.265634,-0.059585,-0.008518,0.999483,-0.023056
9166542911,0.006140,-0.204630,0.001019,-0.009958,0.995158,-0.030349
9166545413,0.006136,-0.082454,0.061472,-0.009949,0.998780,-0.027430
9166547915,-0.054775,0.100876,0.121772,-0.009957,1.000948,-0.023789
9166550417,-0.115663,0.162037,0.121600,-0.013633,0.997345,-0.022373
9166552920,-0.176533,0.223178,0.121429,-0.014376,0.992280,-0.026029
9166555422,-0.176558,0.101154,0.121643,-0.013640,0.995896,-0.023105
9166557925,-0.176419,0.100964,0.060900,-0.012924,0.994438,-0.023104
9166560427,-0.176361,-0.021180,0.000428,-0.012186,0.994436,-0.024552
9166562929,-0.115440,-0.143342,0.000687,-0.012915,0.992994,-0.026016
9166565431,0.006448,-0.204704,0.000827,-0.012893,0.995173,-0.026736
9166567934,0.128335,-0.082958,0.061294,-0.012907,0.995891,-0.023826
9166570436,0.128378,-0.083091,0.000569,-0.013630,0.995899,-0.024558
9166572938,0.189283,-0.083280,0.000576,-0.013636,0.994449,-0.025290
9166575441,0.128115,-0.204833,0.061527,-0.015053,0.997370,-0.027472
9166577943,0.127992,-0.204610,0.122213,-0.012144,0.996622,-0.028180
9166580446,0.067005,-0.204331,0.122168,-0.013595,0.995912,-0.029647
9166582948,0.067147,-0.082472,0.061171,-0.015794,0.994476,-0.028941
9166585450,0.067124,0.039666,0.121605,-0.013626,0.994453,-0.026744
9166587952,0.067185,0.039495,0.060861,-0.007829,0.992226,-0.025981
9166590455,0.067041,-0.021335,0.121674,-0.012947,0.991535,-0.023113
9166592957,0.006034,-0.082090,0.121755,-0.012910,0.993719,-0.026014
