Timestamp (us),W Element,X Element,Y Element,Z Element
9166345227,-0.012524,-0.020710,0.716624,0.697214
9166347729,-0.012523,-0.020707,0.716623,0.697215
9166350232,-0.012526,-0.020706,0.716621,0.697217
9166352734,-0.012531,-0.020709,0.716620,0.697218
9166355237,-0.012537,-0.020716,0.716619,0.697219
9166357739,-0.012546,-0.020723,0.716619,0.697219
9166360241,-0.012553,-0.020730,0.716618,0.697219
9166362744,-0.012560,-0.020735,0.716618,0.697219
9166365246,-0.012565,-0.020739,0.716618,0.697218
9166367748,-0.012571,-0.020740,0.716620,0.697217
9166370251,-0.012576,-0.020743,0.716621,0.697215
9166372753,-0.012582,-0.020748,0.716621,0.697215
9166375274,-0.012584,-0.020754,0.716619,0.697217
9166377761,-0.012585,-0.020760,0.716618,0.697218
9166380259,-0.012587,-0.020762,0.716617,0.697218
9166382761,-0.012591,-0.020762,0.716616,0.697220
9166385263,-0.012594,-0.020762,0.716614,0.697222
9166387766,-0.012595,-0.020763,0.716612,0.697224
9166390268,-0.012600,-0.020766,0.716611,0.697224
9166392770,-0.012606,-0.020767,0.716611,0.697224
9166395272,-0.012612,-0.020766,0.716614,0.697221
9166397775,-0.012614,-0.020764,0.716616,0.697219
9166400277,-0.012616,-0.020767,0.716618,0.697217
9166402779,-0.012616,-0.020772,0.716618,0.697217
9166405282,-0.012619,-0.020779,0.716616,0.697219
9166407784,-0.012617,-0.020779,0.716614,0.697220
9166410286,-0.012616,-0.020780,0.716614,0.697221
9166412789,-0.012610,-0.020779,0.716615,0.697220
9166415291,-0.012602,-0.020776,0.716616,0.697219
9166417794,-0.012593,-0.020773,0.716617,0.697218
9166420296,-0.012585,-0.020770,0.716620,0.697216
9166422798,-0.012581,-0.020769,0.716624,0.697211
9166425300,-0.012577,-0.020767,0.716629,0.697206
9166427803,-0.012574,-0.020765,0.716633,0.697203
9166430305,-0.012567,-0.020760,0.716633,0.697202
9166432808,-0.012559,-0.020754,0.716632,0.697204
9166435310,-0.012552,-0.020749,0.716630,0.697206
9166437812,-0.012547,-0.020747,0.716629,0.697207
9166440314,-0.012540,-0.020745,0.716630,0.697206
9166442817,-0.012533,-0.020743,0.716631,0.697205
9166445319,-0.012525,-0.020741,0.716632,0.697205
9166447821,-0.012514,-0.020737,0.716633,0.697205
9166450324,-0.012506,-0.020733,0.716632,0.697206
9166452826,-0.012496,-0.020725,0.716633,0.697205
9166455329,-0.012489,-0.020718,0.716635,0.697203
9166457831,-0.012488,-0.020717,0.716637,0.697201
9166460333,-0.012485,-0.020719,0.716638,0.697200
9166462836,-0.012482,-0.020720,0.716639,0.697199
9166465338,-0.012478,-0.020720,0.716641,0.697197
9166467840,-0.012474,-0.020719,0.716641,0.697197
9166470343,-0.012471,-0.020718,0.716640,0.697198
9166472845,-0.012470,-0.020718,0.716639,0.697200
9166475347,-0.012474,-0.020722,0.716637,0.697202
9166477850,-0.012478,-0.020729,0.716635,0.697204
9166480352,-0.012484,-0.020739,0.716633,0.697205
9166482854,-0.012491,-0.020749,0.716630,0.697207
9166485357,-0.012499,-0.020760,0.716627,0.697210
9166487859,-0.012504,-0.020769,0.716624,0.697212
9166490361,-0.012508,-0.020776,0.716623,0.697213
9166492864,-0.012511,-0.020780,0.716624,0.697212
