Timestamp (us),Temperature (degC)
9167293613,35.200001
9168294548,35.125000
9169295481,35.125000
9170296415,35.250000
9171297350,35.250000
9172298284,35.250000
9173299219,35.250000
9174300156,35.250000
9175301091,35.250000
9176302026,35.250000
9177302959,35.250000
9178303895,35.250000
9179304830,35.250000
9180305765,35.250000
9181306702,35.200001
9182307637,35.150002
9183308573,35.250000
9184309508,35.250000
9185310442,35.250000
9186311377,35.250000
9187312312,35.250000
9188313265,35.250000
9189314183,35.250000
9190315120,35.250000
9191316056,35.250000
9192316991,35.250000
9193317927,35.250000
9194318861,35.250000
9195319796,35.250000
9196320731,35.250000
9197321666,35.250000
9198322602,35.250000
9199323536,35.174999
9200324472,35.174999
9201325407,35.250000
9202326341,35.250000
9203327275,35.250000
9204328209,35.174999
9205329142,35.150002
9206330077,35.250000
9207331011,35.125000
9208331944,35.125000
9209332878,35.174999
9210333811,35.224998
9211334746,35.125000
9212335679,35.125000
9213336612,35.125000
9214337545,35.174999
9215338478,35.250000
9216339411,35.125000
9217340342,35.125000
9218341275,35.125000
9219342207,35.125000
9220343140,35.125000
9221344073,35.000000
9222345005,35.075001
9223345938,35.125000
9224346870,35.125000
9225347802,35.125000
9226348748,35.025002
9227349667,35.075001
9228350599,35.125000
9229351531,35.125000
9230352462,35.125000
9231353393,35.125000
9232354324,35.049999
9233355254,35.000000
9234356185,35.000000
9235357116,35.000000
9236358046,35.000000
9237358975,35.049999
9238359905,35.099998
9239360834,35.000000
9240361763,35.000000
9241362693,35.000000
9242363622,35.000000
9243364552,35.000000
9244365481,35.000000
9245366410,35.000000
9246367339,35.000000
9247368268,34.974998
9248369197,34.875000
9249370125,35.000000
9250371054,34.924999
9251371982,34.875000
9252372910,34.875000
9253373838,34.875000
9254374794,34.875000
9255375695,34.875000
9256376622,34.875000
9257377549,34.875000
9258378477,34.875000
9259379404,34.775002
9260380331,34.799999
9261381257,34.875000
9262382184,34.875000
9263383111,34.875000
9264384038,34.799999
9265384964,34.750000
9266385890,34.750000
9267386816,34.750000
9268387741,34.849998
9269388667,34.799999
9270389592,34.750000
9271390517,34.750000
9272391443,34.750000
9273392366,34.650002
9274393291,34.674999
9275394216,34.750000
