Timestamp (us),Percentage (%),Voltage (V),Charging Status
9167032462,99.995239,4.000102,0.000000
9168032993,99.997559,3.999995,0.000000
9169033527,99.990860,3.999942,0.000000
9170034058,99.986832,3.999915,0.000000
9171034590,99.987183,3.999928,0.000000
9172035123,99.972672,3.999727,0.000000
9173035654,99.971329,3.999713,0.000000
9174036208,99.928360,3.999284,0.000000
9175036742,99.977066,3.999794,0.000000
9176037274,99.969376,3.999794,0.000000
9177037805,99.975357,3.999753,0.000000
9178038336,99.964622,3.999646,0.000000
9179038867,99.964615,3.999646,0.000000
9180039399,99.967300,3.999673,0.000000
9181039929,99.948502,3.999485,0.000000
9182040460,99.952522,3.999526,0.000000
9183040991,99.959244,3.999593,0.000000
9184041522,99.936417,3.999364,0.000000
9185042056,99.917618,3.999176,0.000000
9186042588,99.913589,3.999136,0.000000
9187043119,99.908218,3.999082,0.000000
9188043653,99.902847,3.999028,0.000000
9189044224,99.909561,3.999095,0.000000
9190044758,99.909561,3.999095,0.000000
9191045291,99.901505,3.999015,0.000000
9192045825,99.896133,3.998961,0.000000
9193046357,99.910904,3.999109,0.000000
9194046889,99.904190,3.999042,0.000000
9195047422,99.889420,3.998894,0.000000
9196047954,99.902847,3.999028,0.000000
9197048484,99.881363,3.998814,0.000000
9198049018,99.909561,3.999095,0.000000
9199049549,99.882706,3.998827,0.000000
9200050080,99.896133,3.998961,0.000000
9201050610,99.888077,3.998881,0.000000
9202051142,99.875992,3.998760,0.000000
9203051714,99.882706,3.998827,0.000000
9204052246,99.857193,3.998572,0.000000
9205052781,99.866592,3.998666,0.000000
9206053315,99.880020,3.998800,0.000000
9207053847,99.843765,3.998437,0.000000
9208054380,99.858536,3.998585,0.000000
9209054914,99.867935,3.998679,0.000000
9210055444,99.849136,3.998491,0.000000
9211055978,99.830338,3.998303,0.000000
9212056552,99.846458,3.998465,0.000000
9213057082,99.823624,3.998236,0.000000
9214057614,99.804825,3.998048,0.000000
9215058145,99.808853,3.998089,0.000000
9216058675,99.808853,3.998088,0.000000
9217059206,99.819595,3.998196,0.000000
9218059738,99.784676,3.997847,0.000000
9219060273,99.819595,3.998196,0.000000
9220060806,99.815567,3.998156,0.000000
9221061339,99.792740,3.997927,0.000000
9222061870,99.794083,3.997941,0.000000
9223062402,99.787369,3.997874,0.000000
9224062935,99.790054,3.997900,0.000000
9225063472,99.765884,3.997659,0.000000
9226064035,99.781998,3.997820,0.000000
9227064566,99.781998,3.997820,0.000000
9228065102,99.806168,3.998062,0.000000
9229065636,99.787369,3.997874,0.000000
9230066167,99.773941,3.997739,0.000000
9231066700,99.768570,3.997686,0.000000
9232067231,99.765884,3.997659,0.000000
9233067763,99.763206,3.997632,0.000000
9234068332,99.756485,3.997565,0.000000
9235068863,99.756485,3.997565,0.000000
9236069394,99.760513,3.997605,0.000000
9237069930,99.747086,3.997471,0.000000
9238070461,99.749771,3.997498,0.000000
9239070992,99.736343,3.997364,0.000000
9240071523,99.728287,3.997283,0.000000
9241072054,99.748428,3.997484,0.000000
9242072585,99.721573,3.997216,0.000000
9243073154,99.690689,3.996907,0.000000
9244073687,99.688004,3.996880,0.000000
9245074218,99.701431,3.997014,0.000000
9246074749,99.679947,3.996799,0.000000
9247075280,99.678604,3.996786,0.000000
9248075812,99.650406,3.996504,0.000000
9249076343,99.677261,3.996773,0.000000
9250076874,99.693375,3.996934,0.000000
9251077405,99.658455,3.996585,0.000000
9252077935,99.663818,3.996639,0.000000
9253078466,99.665169,3.996652,0.000000
9254078997,99.649063,3.996490,0.000000
9255079528,99.674576,3.996746,0.000000
9256080059,99.667862,3.996679,0.000000
9257080621,99.654434,3.996544,0.000000
9258081152,99.653091,3.996531,0.000000
9259081683,99.655769,3.996558,0.000000
9260082217,99.658455,3.996584,0.000000
9261082749,99.667854,3.996679,0.000000
9262083280,99.646378,3.996464,0.000000
9263083811,99.643692,3.996437,0.000000
9264084342,99.649063,3.996491,0.000000
9265084873,99.655769,3.996558,0.000000
9266085420,99.614151,3.996142,0.000000
9267085954,99.618164,3.996181,0.000000
9268086488,99.611465,3.996115,0.000000
9269087019,99.608772,3.996088,0.000000
9270087550,99.606094,3.996061,0.000000
9271088083,99.589966,3.995900,0.000000
9272088617,99.603401,3.996034,0.000000
9273089147,99.577896,3.995779,0.000000
9274089716,99.584595,3.995846,0.000000
9275090252,99.587296,3.995872,0.000000
9276090829,99.580566,3.995806,0.000000
