Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9166342359,-0.032444,0.872085,-0.075202
9166363016,-0.032444,0.921085,-0.124202
9166383674,0.016556,0.921085,-0.124202
9166404334,0.016556,0.872085,-0.173202
9166425006,-0.081444,0.872085,-0.075202
9166445650,-0.032444,0.921085,-0.075202
9166466308,-0.081444,0.921085,0.022798
9166486968,-0.032444,0.823085,-0.075202
9166507627,-0.032444,0.872085,-0.026202
9166528286,-0.032444,0.872085,-0.075202
9166548945,-0.032444,0.872085,-0.075202
9166569603,-0.032444,0.872085,-0.075202
9166590263,-0.032444,0.872085,-0.075202
9166610923,-0.081444,0.970085,-0.075202
9166631582,-0.081444,0.823085,-0.124202
9166652283,-0.081444,0.872085,-0.124202
9166672902,-0.032444,0.872085,-0.124202
9166693563,-0.081444,0.872085,-0.124202
9166714222,0.016556,0.872085,-0.026202
9166734883,-0.032444,0.872085,-0.222202
9166755543,-0.032444,0.872085,-0.075202
9166776203,-0.081444,0.921085,-0.026202
9166796862,-0.032444,0.823085,-0.075202
9166817522,0.016556,0.823085,-0.124202
9166838182,0.016556,0.823085,-0.026202
9166858840,0.016556,0.823085,-0.075202
9166879499,-0.032444,0.921085,-0.124202
9166900158,0.016556,0.872085,-0.124202
9166920816,-0.032444,0.774085,-0.075202
9166941475,-0.032444,0.823085,-0.026202
9166962133,0.016556,0.872085,-0.124202
9166982791,0.016556,0.872085,-0.124202
9167003449,-0.081444,0.872085,-0.075202
9167024108,0.065556,0.823085,-0.173202
9167044767,0.016556,0.823085,-0.075202
9167065427,-0.081444,0.823085,-0.124202
9167086085,0.016556,0.872085,-0.075202
9167106745,-0.032444,0.872085,-0.173202
9167127403,-0.032444,0.823085,-0.075202
9167148062,0.065556,0.823085,-0.026202
9167168721,0.016556,0.872085,-0.075202
9167189380,-0.032444,0.872085,-0.173202
9167210038,-0.032444,0.872085,-0.124202
9167230696,-0.032444,0.872085,-0.026202
9167251354,0.016556,0.872085,-0.124202
9167272012,0.065556,0.921085,-0.124202
9167292671,-0.081444,0.872085,-0.124202
9167313330,0.016556,0.872085,-0.173202
9167333990,-0.032444,0.872085,-0.222202
9167354650,-0.032444,0.872085,-0.124202
9167375308,-0.081444,0.921085,-0.124202
9167395967,-0.081444,0.921085,-0.173202
9167416626,-0.032444,0.921085,-0.075202
9167437284,-0.081444,0.970085,-0.124202
9167457943,0.016556,0.872085,-0.124202
9167478602,0.016556,0.872085,-0.026202
9167499261,-0.032444,0.921085,-0.124202
9167519919,0.065556,0.823085,-0.173202
9167540578,-0.032444,0.921085,-0.124202
9167561238,-0.032444,0.921085,-0.124202
9167581898,0.016556,0.921085,-0.075202
9167602555,-0.081444,0.921085,-0.124202
9167623212,-0.081444,0.872085,-0.173202
9167643869,-0.032444,0.823085,-0.075202
9167664529,-0.081444,0.921085,-0.124202
9167685188,-0.032444,0.872085,-0.124202
9167705848,-0.032444,0.872085,-0.222202
9167726507,-0.032444,0.872085,-0.124202
9167747167,-0.032444,0.872085,-0.124202
9167767826,-0.032444,0.921085,-0.124202
9167788485,-0.081444,0.872085,-0.124202
9167809145,0.016556,0.823085,-0.173202
9167829804,-0.081444,0.823085,-0.124202
9167850463,-0.081444,0.970085,-0.026202
9167871122,-0.130444,0.872085,-0.124202
9167891781,0.016556,0.872085,-0.075202
9167912440,-0.032444,0.872085,-0.124202
9167933099,-0.032444,0.921085,-0.173202
9167953759,-0.130444,0.921085,-0.075202
9167974418,-0.081444,0.872085,-0.173202
9167995078,-0.081444,0.872085,-0.124202
9168015738,0.016556,0.921085,-0.173202
9168036398,-0.032444,0.872085,-0.124202
9168057057,0.065556,0.921085,-0.124202
9168077717,-0.081444,0.970085,-0.124202
9168098376,-0.032444,0.921085,-0.124202
9168119036,0.065556,0.921085,-0.124202
9168139696,-0.081444,0.921085,-0.026202
9168160355,-0.228444,0.921085,-0.026202
9168181014,-0.081444,0.921085,-0.124202
9168201673,-0.032444,0.921085,-0.026202
9168222333,-0.081444,0.872085,-0.075202
9168242994,0.016556,0.872085,-0.026202
9168263654,0.016556,0.921085,0.022798
9168284314,-0.081444,0.921085,0.022798
9168304971,0.016556,0.823085,0.022798
9168325633,-0.032444,0.921085,0.022798
9168346289,-0.032444,0.774085,0.071798
9168366948,-0.032444,0.823085,0.022798
9168387607,-0.130444,0.872085,0.022798
9168408266,-0.081444,0.823085,0.120798
9168428924,-0.032444,0.823085,0.071798
9168449584,-0.081444,0.823085,-0.026202
9168470243,-0.081444,0.774085,0.022798
9168490902,-0.081444,0.774085,-0.075202
9168511561,-0.032444,0.823085,-0.075202
9168532221,-0.081444,0.774085,-0.026202
9168552904,-0.032444,0.823085,-0.026202
9168573539,-0.081444,0.921085,0.022798
9168594198,0.016556,0.872085,0.071798
9168614857,0.016556,0.823085,0.022798
9168635517,-0.032444,0.725085,0.120798
9168656177,0.016556,0.725085,0.120798
9168676836,-0.081444,0.725085,0.071798
9168697495,0.016556,0.725085,0.022798
9168718155,-0.032444,0.774085,0.022798
9168738814,-0.032444,0.725085,0.120798
9168759473,-0.032444,0.774085,-0.075202
9168780136,-0.081444,0.823085,-0.026202
9168800792,-0.032444,0.725085,0.071798
9168821451,-0.130444,0.823085,0.022798
9168842110,0.016556,0.872085,-0.075202
9168862767,0.016556,0.872085,0.022798
