Timestamp (us),Percentage (%),Power (dBm)
9167165299,98.000000,-51.000000
9168165836,92.000000,-54.000000
9169157364,100.000000,-50.000000
9170153881,100.000000,-48.000000
9171162870,88.000000,-56.000000
9172159389,100.000000,-50.000000
9173153409,100.000000,-50.000000
9174152455,100.000000,-50.000000
9175161430,100.000000,-49.000000
9176165461,88.000000,-56.000000
9177164456,82.000000,-59.000000
9178163121,82.000000,-59.000000
9179159150,84.000000,-58.000000
9180161504,98.000000,-51.000000
9181165515,98.000000,-51.000000
9182153992,94.000000,-53.000000
9183157927,86.000000,-57.000000
9184160078,88.000000,-56.000000
9185171565,70.000000,-65.000000
9186160592,66.000000,-67.000000
9187157108,72.000000,-64.000000
9188173613,72.000000,-64.000000
9189160135,66.000000,-67.000000
9190156669,70.000000,-65.000000
9191158168,74.000000,-63.000000
9192157182,64.000000,-68.000000
9193173540,78.000000,-61.000000
9194162706,72.000000,-64.000000
9195156726,62.000000,-69.000000
9196163236,74.000000,-63.000000
9197162250,86.000000,-57.000000
9198156303,82.000000,-59.000000
9199161009,80.000000,-60.000000
9200159299,82.000000,-59.000000
9201160810,94.000000,-53.000000
9202154831,98.000000,-51.000000
9203166337,84.000000,-58.000000
9204160347,90.000000,-55.000000
9205156891,88.000000,-56.000000
9206155889,84.000000,-58.000000
9207162397,98.000000,-51.000000
9208168923,92.000000,-54.000000
9209162942,88.000000,-56.000000
9210154449,90.000000,-55.000000
9211160958,80.000000,-60.000000
9212159972,68.000000,-66.000000
9213165610,70.000000,-65.000000
9214155506,74.000000,-63.000000
9215164561,70.000000,-65.000000
9216161030,70.000000,-65.000000
9217157547,70.000000,-65.000000
9218169052,74.000000,-63.000000
9219162622,68.000000,-66.000000
9220162087,80.000000,-60.000000
9221161101,72.000000,-64.000000
9222163919,70.000000,-65.000000
9224155649,70.000000,-65.000000
9225164656,68.000000,-66.000000
9226163669,76.000000,-62.000000
9227165182,94.000000,-53.000000
9228166709,90.000000,-55.000000
9229160728,90.000000,-55.000000
9230169717,96.000000,-52.000000
9231153746,92.000000,-54.000000
9232166710,88.000000,-56.000000
9233171756,88.000000,-56.000000
9234158297,98.000000,-51.000000
9235167286,84.000000,-58.000000
9236156310,82.000000,-59.000000
9237159034,94.000000,-53.000000
9238161846,90.000000,-55.000000
9239158363,100.000000,-50.000000
9240154896,84.000000,-58.000000
9241168248,82.000000,-59.000000
9242170375,92.000000,-54.000000
9243164396,70.000000,-65.000000
9244158433,70.000000,-65.000000
9245164922,76.000000,-62.000000
9246158938,74.000000,-63.000000
9247169031,60.000000,-70.000000
9248161963,70.000000,-65.000000
9249158477,68.000000,-66.000000
9250162485,78.000000,-61.000000
9251171489,74.000000,-63.000000
9252177371,80.000000,-60.000000
9253167019,72.000000,-64.000000
9254168528,72.000000,-64.000000
9255170057,82.000000,-59.000000
9256163216,90.000000,-55.000000
9257165567,92.000000,-54.000000
9258167080,96.000000,-52.000000
9259156100,78.000000,-61.000000
9260162619,86.000000,-57.000000
9261161619,94.000000,-53.000000
9262168123,94.000000,-53.000000
9263167144,78.000000,-61.000000
9264163648,100.000000,-50.000000
9265160163,84.000000,-58.000000
9266166669,78.000000,-61.000000
9267159853,74.000000,-63.000000
9268159698,68.000000,-66.000000
9269168699,68.000000,-66.000000
9270169381,66.000000,-67.000000
9271161097,76.000000,-62.000000
9272159675,68.000000,-66.000000
9273162244,70.000000,-65.000000
9274156402,78.000000,-61.000000
9275162765,76.000000,-62.000000
9276174277,74.000000,-63.000000
