Timestamp (us),Temperature (degC)
9166842014,40.625000
9167841028,40.625000
9168840043,40.625000
9169839060,40.625000
9170838073,40.625000
9171837091,40.625000
9172836105,40.625000
9173835122,40.625000
9174834136,40.625000
9175833151,40.625000
9176832168,40.625000
9177831183,40.625000
9178830199,40.625000
9179829214,40.625000
9180828231,40.625000
9181827244,40.625000
9182826260,40.625000
9183825277,40.625000
9184824291,40.625000
9185823308,40.625000
9186822322,40.625000
9187821337,40.625000
9188820355,40.575001
9189819369,40.500000
9190818386,40.625000
9191817400,40.625000
9192816416,40.625000
9193815433,40.625000
9194814447,40.625000
9195813464,40.625000
9196812478,40.625000
9197811496,40.625000
9198810510,40.625000
9199809526,40.625000
9200808543,40.525002
9201807557,40.575001
9202806575,40.625000
9203805589,40.625000
9204804605,40.500000
9205803620,40.599998
9206802635,40.625000
9207801652,40.625000
9208800666,40.625000
9209799682,40.625000
9210798716,40.724998
9211797713,40.700001
9212796730,40.625000
9213795745,40.625000
9214794760,40.625000
9215793777,40.625000
9216792791,40.575001
9217791807,40.500000
9218790821,40.500000
9219789838,40.500000
9220788852,40.575001
9221787867,40.625000
9222786884,40.625000
9223785897,40.500000
9224784914,40.500000
9225783927,40.549999
9226782943,40.625000
9227781956,40.625000
9228780970,40.625000
9229779986,40.625000
9230778999,40.625000
9231778013,40.625000
9232777029,40.500000
9233776041,40.500000
9234775057,40.575001
9235774070,40.599998
9236773102,40.500000
9237772098,40.500000
9238771113,40.500000
9239770129,40.500000
9240769142,40.500000
9241768157,40.500000
9242767170,40.500000
9243766184,40.500000
9244765199,40.450001
9245764211,40.375000
9246763226,40.500000
9247762239,40.599998
9248761252,40.549999
9249760281,40.500000
9250759279,40.500000
9251758292,40.500000
9252757307,40.500000
9253756319,40.500000
9254755333,40.500000
9255754345,40.500000
9256753358,40.500000
9257752372,40.500000
9258751384,40.450001
9259750398,40.375000
9260749408,40.375000
9261748420,40.375000
9262747434,40.375000
9263746445,40.375000
9264745458,40.375000
9265744468,40.375000
9266743480,40.375000
9267742494,40.375000
9268741504,40.375000
9269740515,40.375000
9270739528,40.375000
9271738537,40.375000
9272737549,40.375000
9273736561,40.375000
9274735571,40.375000
9275734583,40.375000
