Timestamp (us),Percentage (%),Voltage (V),Charging Status
9167300742,87.981529,3.879815,0.000000
9168301274,87.973465,3.879735,0.000000
9169301809,87.980186,3.879802,0.000000
9170302341,87.974808,3.879748,0.000000
9171302872,87.969444,3.879694,0.000000
9172303403,87.964066,3.879641,0.000000
9173303937,87.947952,3.879480,0.000000
9174304469,87.957352,3.879573,0.000000
9175305000,87.947952,3.879480,0.000000
9176305531,87.934525,3.879345,0.000000
9177306062,87.925125,3.879251,0.000000
9178306593,87.934525,3.879345,0.000000
9179307124,87.931839,3.879318,0.000000
9180307655,87.926468,3.879265,0.000000
9181308186,87.917068,3.879171,0.000000
9182308718,87.922440,3.879224,0.000000
9183309249,87.896927,3.878969,0.000000
9184309791,87.907677,3.879077,0.000000
9185310324,87.903641,3.879036,0.000000
9186310856,87.909012,3.879090,0.000000
9187311396,87.876785,3.878768,0.000000
9188311927,87.849930,3.878500,0.000000
9189312460,87.866051,3.878661,0.000000
9190312991,87.860680,3.878607,0.000000
9191313524,87.840530,3.878405,0.000000
9192314057,87.817703,3.878177,0.000000
9193314589,87.849930,3.878499,0.000000
9194315128,87.863358,3.878633,0.000000
9195315659,87.824417,3.878244,0.000000
9196316193,87.819046,3.878191,0.000000
9197316735,87.833824,3.878338,0.000000
9198317266,87.804276,3.878043,0.000000
9199317798,87.835159,3.878352,0.000000
9200318332,87.810989,3.878110,0.000000
9201318863,87.823074,3.878231,0.000000
9202319394,87.825760,3.878258,0.000000
9203319928,87.841873,3.878419,0.000000
9204320460,87.829788,3.878298,0.000000
9205320993,87.821739,3.878217,0.000000
9206321524,87.815018,3.878150,0.000000
9207322056,87.800232,3.878002,0.000000
9208322587,87.816360,3.878164,0.000000
9209323118,87.800247,3.878002,0.000000
9210323650,87.786819,3.877868,0.000000
9211324183,87.786819,3.877868,0.000000
9212324717,87.776070,3.877761,0.000000
9213325251,87.788155,3.877882,0.000000
9214325781,87.769363,3.877694,0.000000
9215326316,87.746521,3.877465,0.000000
9216326847,87.738480,3.877385,0.000000
9217327378,87.722366,3.877224,0.000000
9218327910,87.719681,3.877197,0.000000
9219328441,87.695511,3.876955,0.000000
9220328972,87.711624,3.877116,0.000000
9221329503,87.738480,3.877385,0.000000
9223330568,87.708939,3.877089,0.000000
9224331099,87.700882,3.877009,0.000000
9225331631,87.687454,3.876874,0.000000
9226332162,87.699539,3.876996,0.000000
9227332693,87.694168,3.876942,0.000000
9228333224,87.702225,3.877022,0.000000
9229333758,87.702225,3.877022,0.000000
9230334289,87.702225,3.877022,0.000000
9231334819,87.694168,3.876942,0.000000
9232335350,87.696846,3.876969,0.000000
9233335918,87.700882,3.877009,0.000000
9234336448,87.682083,3.876821,0.000000
9235336979,87.692810,3.876928,0.000000
9236337510,87.710281,3.877103,0.000000
9237338041,87.695518,3.876956,0.000000
9238338572,87.667313,3.876673,0.000000
9239339103,87.665970,3.876660,0.000000
9240339636,87.663284,3.876633,0.000000
9241340167,87.664627,3.876647,0.000000
9242340697,87.661942,3.876619,0.000000
9243341228,87.651199,3.876512,0.000000
9244341760,87.656570,3.876566,0.000000
9245342291,87.618973,3.876189,0.000000
9246342822,87.620323,3.876203,0.000000
9247343357,87.617630,3.876176,0.000000
9248343888,87.580032,3.875800,0.000000
9249344419,87.581375,3.875814,0.000000
9250344987,87.608231,3.876082,0.000000
9251345520,87.593460,3.875935,0.000000
9252346053,87.555862,3.875559,0.000000
9253346584,87.467239,3.874672,0.000000
9254347116,87.440384,3.874404,0.000000
9255347649,87.492744,3.874928,0.000000
9256348180,87.547806,3.875478,0.000000
9257348715,87.561234,3.875612,0.000000
9258349246,87.570633,3.875706,0.000000
9259349777,87.565262,3.875653,0.000000
9260350308,87.563919,3.875639,0.000000
9261350839,87.574661,3.875746,0.000000
9262351370,87.562576,3.875626,0.000000
9263351904,87.569290,3.875693,0.000000
9264352450,87.543777,3.875438,0.000000
9265352980,87.561234,3.875612,0.000000
9266353511,87.542435,3.875424,0.000000
9267354042,87.547806,3.875478,0.000000
9268354575,87.547806,3.875478,0.000000
9269355105,87.511551,3.875115,0.000000
9270355636,87.504837,3.875048,0.000000
9271356171,87.499466,3.874995,0.000000
9272356710,87.490067,3.874900,0.000000
9273357241,87.467239,3.874672,0.000000
9274357773,87.479324,3.874793,0.000000
9275358328,87.488724,3.874887,0.000000
9276358860,87.447098,3.874471,0.000000
