Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9166330798,0.225069,0.989445,-0.684987
9166350685,0.176069,1.038445,-0.635987
9166370572,0.225069,0.940445,-0.635987
9166390461,0.176069,0.842445,-0.635987
9166410350,0.176069,0.989445,-0.635987
9166430238,0.225069,0.989445,-0.684987
9166450127,0.176069,0.940445,-0.586987
9166470016,0.225069,0.940445,-0.635987
9166489905,0.225069,0.940445,-0.635987
9166509794,0.176069,0.989445,-0.586987
9166529683,0.176069,1.038445,-0.537987
9166549570,0.127069,0.940445,-0.733987
9166569459,0.127069,0.940445,-0.586987
9166589348,0.176069,1.038445,-0.684987
9166609237,0.176069,0.891445,-0.586987
9166629126,0.078069,0.989445,-0.733987
9166649014,0.029069,0.940445,-0.635987
9166668903,0.176069,0.989445,-0.635987
9166688792,0.176069,0.989445,-0.635987
9166708681,0.225069,0.842445,-0.635987
9166728575,0.176069,0.989445,-0.586987
9166748459,0.225069,0.891445,-0.635987
9166768347,0.176069,1.038445,-0.635987
9166788236,0.127069,0.940445,-0.635987
9166808125,0.225069,0.989445,-0.586987
9166828014,0.127069,0.989445,-0.635987
9166847902,0.225069,0.940445,-0.586987
9166867790,0.176069,0.989445,-0.586987
9166887678,0.176069,1.038445,-0.586987
9166907566,0.176069,1.038445,-0.586987
9166927455,0.176069,0.989445,-0.586987
9166947343,0.225069,0.989445,-0.537987
9166967231,0.225069,0.989445,-0.684987
9166987120,0.176069,0.989445,-0.586987
9167007008,0.176069,0.940445,-0.586987
9167026896,0.225069,1.087445,-0.635987
9167046785,0.225069,0.940445,-0.635987
9167066674,0.225069,0.940445,-0.586987
9167086563,0.176069,0.940445,-0.635987
9167106451,0.274069,0.891445,-0.733987
9167126340,0.225069,0.989445,-0.586987
9167146230,0.176069,0.989445,-0.684987
9167166120,0.225069,0.989445,-0.635987
9167186008,0.127069,1.087445,-0.586987
9167205897,0.225069,0.989445,-0.537987
9167225786,0.127069,0.989445,-0.635987
9167245675,0.176069,0.940445,-0.635987
9167265564,0.176069,1.087445,-0.635987
9167285453,0.225069,0.940445,-0.635987
9167305341,0.225069,0.989445,-0.586987
9167325229,0.176069,0.989445,-0.586987
9167345118,0.176069,1.038445,-0.537987
9167365007,0.176069,1.038445,-0.586987
9167384934,0.176069,0.989445,-0.586987
9167404785,0.127069,0.989445,-0.684987
9167424673,0.127069,0.940445,-0.635987
9167444562,0.225069,0.940445,-0.635987
9167464450,0.225069,0.940445,-0.635987
9167484339,0.274069,0.940445,-0.635987
9167504227,0.225069,0.891445,-0.635987
9167524116,0.127069,1.038445,-0.635987
9167544003,0.176069,0.891445,-0.586987
9167563892,0.176069,0.940445,-0.586987
9167583781,0.225069,0.989445,-0.684987
9167603670,0.225069,0.989445,-0.733987
9167623559,0.176069,0.940445,-0.635987
9167643450,0.176069,0.940445,-0.684987
9167663340,0.176069,1.038445,-0.586987
9167683229,0.127069,1.087445,-0.537987
9167703118,0.225069,0.989445,-0.733987
9167723008,0.127069,0.940445,-0.733987
9167742898,0.225069,0.891445,-0.586987
9167762786,0.127069,0.989445,-0.635987
9167782675,0.225069,0.989445,-0.586987
9167802563,0.225069,1.038445,-0.684987
9167822452,0.274069,0.989445,-0.635987
9167842341,0.225069,0.989445,-0.537987
9167862231,0.225069,0.989445,-0.586987
9167882119,0.127069,0.989445,-0.684987
9167902008,0.127069,1.038445,-0.684987
9167921897,0.078069,1.087445,-0.684987
