Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9166329215,0.193743,-1.235483,0.175528
9166379678,0.184458,-1.244878,0.185853
9166430134,0.203117,-1.244616,0.165234
9166480586,0.184741,-1.244655,0.165095
9166531045,0.184596,-1.244749,0.175453
9166581504,0.175558,-1.244701,0.165054
9166631958,0.193939,-1.244679,0.165212
9166682410,0.165971,-1.254233,0.196039
9166732866,0.193932,-1.244644,0.165174
9166783313,0.193648,-1.244867,0.185929
9166833759,0.184639,-1.254005,0.175456
9166884206,0.193802,-1.244807,0.175613
9166934653,0.184745,-1.244672,0.165114
9166985101,0.184603,-1.244784,0.175494
9167035564,0.184887,-1.244561,0.154733
9167086011,0.175363,-1.235505,0.175372
9167136472,0.175732,-1.253793,0.154621
9167186927,0.184642,-1.254022,0.175477
9167237382,0.193840,-1.254046,0.175595
9167287835,0.184600,-1.244766,0.175474
9167338292,0.184685,-1.263278,0.175480
9167388744,0.184642,-1.254022,0.175477
9167439192,0.175551,-1.244666,0.165016
9167489643,0.184646,-1.254040,0.175497
9167540096,0.184462,-1.244895,0.185875
9167590553,0.175307,-1.254127,0.185758
9167641005,0.202988,-1.244779,0.175670
9167691458,0.175736,-1.253811,0.154638
9167741911,0.166169,-1.235499,0.175274
9167792360,0.184514,-1.226255,0.175467
9167842812,0.184749,-1.244690,0.165133
9167893260,0.193613,-1.235646,0.185970
9167943712,0.184504,-1.254151,0.185878
9167994171,0.193798,-1.244790,0.175592
9168044626,0.174941,-1.235856,0.206534
9168095077,0.184277,-1.235751,0.196252
9168145532,0.138172,-1.235883,0.206216
9168195983,0.045697,-1.245453,0.246655
9168246432,-0.120068,-1.217704,0.255292
9168296884,-0.286266,-1.190287,0.295077
9168347335,-0.397564,-1.135234,0.345791
9168397787,-0.508874,-1.080195,0.396557
9168448238,-0.582902,-1.006195,0.406077
9168498707,-0.628989,-0.978385,0.405523
9168549148,-0.628861,-0.978285,0.395195
9168599599,-0.591714,-0.996599,0.374830
9168650051,-0.535964,-1.061205,0.354676
9168700512,-0.415936,-1.135191,0.345504
9168750979,-0.268056,-1.181139,0.305612
9168801446,-0.093337,-1.218390,0.317869
9168851900,0.126021,-1.182423,0.403307
9168902354,0.354695,-1.109213,0.468087
9168952804,0.554536,-0.953320,0.594714
9169003257,0.690572,-0.722705,0.658662
9169053711,0.846404,-0.509453,0.618386
9169104167,0.835362,-0.325111,0.690889
9169154624,0.816024,-0.205102,0.721987
9169205079,0.824376,-0.122146,0.753005
9169255529,0.796624,-0.112979,0.763191
9169305989,0.834563,-0.121373,0.680440
9169356439,0.881078,-0.204591,0.670667
9169406890,0.845027,-0.361917,0.670327
9169457346,0.763233,-0.565497,0.669602
9169507801,0.617820,-0.786962,0.615945
9169558259,0.427056,-1.007977,0.520617
9169608716,0.152965,-1.136496,0.434731
9169659171,-0.085166,-1.182058,0.380287
9169709625,-0.305861,-1.144775,0.367538
9169760082,-0.481432,-1.080325,0.407235
9169810546,-0.620191,-0.987993,0.436824
9169860992,-0.694925,-0.886685,0.487915
9169911445,-0.750803,-0.794311,0.508059
9169961896,-0.778917,-0.748251,0.528656
9170012354,-0.779184,-0.748466,0.549352
9170062809,-0.760140,-0.794417,0.518343
9170113257,-0.713359,-0.849547,0.477389
9170163712,-0.629118,-0.950617,0.405514
9170214164,-0.517359,-1.079632,0.344542
9170264614,-0.341801,-1.171961,0.315246
9170315066,-0.139921,-1.209566,0.358944
9170365516,0.144268,-1.182547,0.413885
9170415969,0.390962,-1.091060,0.499623
9170466421,0.580969,-0.889215,0.657278
9170516873,0.698517,-0.640065,0.720954
9170567331,0.808096,-0.417764,0.701193
9170617785,0.778608,-0.252026,0.783910
9170668236,0.741033,-0.141151,0.804247
9170718691,0.740720,-0.104237,0.814618
9170769151,0.731852,-0.113265,0.793757
9170819605,0.797392,-0.186692,0.732070
9170870061,0.826299,-0.315736,0.680588
9170920514,0.827874,-0.509552,0.628570
9170970961,0.682162,-0.749880,0.606320
9171021412,0.510121,-0.979956,0.490478
9171071864,0.282032,-1.117752,0.405005
9171122325,0.025678,-1.200310,0.350324
