Timestamp (us),W Element,X Element,Y Element,Z Element
9166316787,0.402543,0.565911,0.492548,0.524732
9166319283,0.402558,0.565920,0.492526,0.524731
9166321778,0.402575,0.565929,0.492501,0.524732
9166324274,0.402593,0.565938,0.492474,0.524734
9166326769,0.402610,0.565947,0.492447,0.524736
9166329265,0.402617,0.565951,0.492429,0.524744
9166331760,0.402624,0.565957,0.492410,0.524750
9166334256,0.402633,0.565965,0.492388,0.524755
9166336751,0.402644,0.565977,0.492364,0.524756
9166339247,0.402653,0.565995,0.492338,0.524754
9166341742,0.402665,0.566018,0.492308,0.524748
9166344237,0.402680,0.566047,0.492275,0.524735
9166346733,0.402700,0.566081,0.492238,0.524719
9166349228,0.402722,0.566119,0.492195,0.524701
9166351724,0.402747,0.566163,0.492146,0.524681
9166354219,0.402774,0.566210,0.492095,0.524657
9166356715,0.402805,0.566255,0.492044,0.524633
9166359210,0.402839,0.566297,0.491992,0.524610
9166361706,0.402877,0.566336,0.491940,0.524588
9166364201,0.402922,0.566370,0.491887,0.524567
9166366697,0.402968,0.566400,0.491832,0.524548
9166369192,0.403016,0.566427,0.491778,0.524534
9166371688,0.403062,0.566450,0.491727,0.524521
9166374184,0.403108,0.566470,0.491680,0.524509
9166376679,0.403151,0.566485,0.491644,0.524494
9166379174,0.403187,0.566497,0.491612,0.524483
9166381670,0.403211,0.566503,0.491590,0.524479
9166384165,0.403229,0.566507,0.491572,0.524478
9166386661,0.403241,0.566510,0.491559,0.524477
9166389156,0.403250,0.566513,0.491548,0.524478
9166391652,0.403253,0.566514,0.491537,0.524483
9166394147,0.403252,0.566514,0.491527,0.524495
9166396643,0.403246,0.566511,0.491520,0.524509
9166399138,0.403236,0.566505,0.491518,0.524525
9166401634,0.403228,0.566499,0.491514,0.524540
9166404129,0.403222,0.566496,0.491508,0.524555
9166406625,0.403219,0.566497,0.491497,0.524566
9166409120,0.403220,0.566501,0.491483,0.524574
9166411615,0.403225,0.566509,0.491465,0.524579
9166414111,0.403234,0.566518,0.491442,0.524583
9166416607,0.403249,0.566530,0.491416,0.524582
9166419102,0.403267,0.566544,0.491389,0.524580
9166421598,0.403288,0.566557,0.491361,0.524576
9166424093,0.403312,0.566563,0.491338,0.524572
9166426588,0.403337,0.566565,0.491320,0.524568
9166429084,0.403358,0.566564,0.491308,0.524564
9166431580,0.403384,0.566573,0.491287,0.524553
9166434075,0.403406,0.566583,0.491268,0.524544
9166436570,0.403424,0.566592,0.491253,0.524534
9166439066,0.403437,0.566603,0.491240,0.524525
9166441561,0.403443,0.566615,0.491231,0.524514
9166444057,0.403446,0.566631,0.491224,0.524503
9166446552,0.403445,0.566648,0.491219,0.524490
9166449048,0.403442,0.566668,0.491214,0.524475
9166451543,0.403441,0.566687,0.491205,0.524464
9166454039,0.403443,0.566706,0.491192,0.524454
9166456534,0.403447,0.566727,0.491175,0.524444
9166459030,0.403454,0.566752,0.491156,0.524430
9166461525,0.403465,0.566780,0.491132,0.524414
9166464021,0.403484,0.566806,0.491100,0.524400
9166466516,0.403506,0.566834,0.491063,0.524388
9166469012,0.403534,0.566862,0.491020,0.524376
9166471507,0.403569,0.566893,0.490970,0.524362
9166474003,0.403611,0.566927,0.490913,0.524347
9166476498,0.403660,0.566965,0.490846,0.524330
9166478994,0.403712,0.567007,0.490774,0.524313
9166481489,0.403770,0.567050,0.490699,0.524293
9166483984,0.403831,0.567089,0.490625,0.524272
9166486480,0.403895,0.567125,0.490553,0.524250
9166488975,0.403957,0.567160,0.490486,0.524228
9166491471,0.404016,0.567191,0.490424,0.524207
9166493966,0.404069,0.567220,0.490366,0.524189
9166496462,0.404117,0.567246,0.490311,0.524175
9166498958,0.404164,0.567267,0.490262,0.524162
9166501453,0.404209,0.567284,0.490217,0.524152
9166503948,0.404253,0.567293,0.490182,0.524141
9166506444,0.404293,0.567295,0.490155,0.524133
9166508939,0.404329,0.567290,0.490138,0.524126
9166511435,0.404361,0.567280,0.490130,0.524120
9166513931,0.404387,0.567264,0.490130,0.524117
9166516426,0.404403,0.567245,0.490140,0.524115
9166518921,0.404409,0.567221,0.490160,0.524118
9166521417,0.404407,0.567190,0.490191,0.524125
9166523912,0.404395,0.567152,0.490233,0.524135
9166526408,0.404374,0.567113,0.490283,0.524148
