Timestamp (us),Percentage (%),Power (dBm)
9167292638,94.000000,-53.000000
9168290834,98.000000,-51.000000
9169294312,98.000000,-51.000000
9170282294,90.000000,-55.000000
9171290422,92.000000,-54.000000
9172297515,96.000000,-52.000000
9173284325,96.000000,-52.000000
9174299963,94.000000,-53.000000
9175293165,86.000000,-57.000000
9176288864,76.000000,-62.000000
9177289866,86.000000,-57.000000
9178295236,90.000000,-55.000000
9179285945,84.000000,-58.000000
9180289148,94.000000,-53.000000
9181302315,92.000000,-54.000000
9182297999,88.000000,-56.000000
9183281814,90.000000,-55.000000
9184291901,100.000000,-49.000000
9185292584,72.000000,-64.000000
9186295771,90.000000,-55.000000
9187298957,72.000000,-64.000000
9188287168,60.000000,-70.000000
9189285424,64.000000,-68.000000
9190293542,66.000000,-67.000000
9191291736,62.000000,-69.000000
9192294103,62.000000,-69.000000
9193295613,68.000000,-66.000000
9194296300,68.000000,-66.000000
9195296991,54.000000,-73.000000
9196290193,60.000000,-70.000000
9197295874,58.000000,-71.000000
9198289078,62.000000,-69.000000
9199282665,70.000000,-65.000000
9200303025,64.000000,-68.000000
9201298634,66.000000,-67.000000
9202286836,76.000000,-62.000000
9203286614,80.000000,-60.000000
9204295699,84.000000,-58.000000
9205293904,86.000000,-57.000000
9206297073,92.000000,-54.000000
9207290272,88.000000,-56.000000
9208298465,90.000000,-55.000000
9209294167,98.000000,-51.000000
9210292329,94.000000,-53.000000
9211285632,92.000000,-54.000000
9212293701,98.000000,-51.000000
9213291906,84.000000,-58.000000
9214295946,76.000000,-62.000000
9215293297,58.000000,-71.000000
9216293972,66.000000,-67.000000
9217298768,72.000000,-64.000000
9218297806,64.000000,-68.000000
9219291004,64.000000,-68.000000
9220284231,60.000000,-70.000000
9221284913,66.000000,-67.000000
9222290558,66.000000,-67.000000
9223291242,54.000000,-73.000000
9224284466,60.000000,-70.000000
9225297598,60.000000,-70.000000
9226295804,70.000000,-65.000000
9227286484,68.000000,-66.000000
9228292173,70.000000,-65.000000
9229300345,76.000000,-62.000000
9230292710,78.000000,-61.000000
9231299194,82.000000,-59.000000
9232302489,84.000000,-58.000000
9233300556,80.000000,-60.000000
9234283797,80.000000,-60.000000
9235296925,84.000000,-58.000000
9236290121,86.000000,-57.000000
9237289921,88.000000,-56.000000
9238298966,82.000000,-59.000000
9239299667,96.000000,-52.000000
9240287849,100.000000,-49.000000
9241288529,94.000000,-53.000000
9242299191,92.000000,-54.000000
9243292400,86.000000,-57.000000
9244284910,70.000000,-65.000000
9245287747,62.000000,-69.000000
9246299414,52.000000,-74.000000
9247292609,70.000000,-65.000000
9248300790,64.000000,-68.000000
9249293983,54.000000,-73.000000
9250289654,66.000000,-67.000000
9251285370,68.000000,-66.000000
9252293531,62.000000,-69.000000
9253294186,72.000000,-64.000000
9254282387,64.000000,-68.000000
9255332477,74.000000,-63.000000
9256283771,58.000000,-71.000000
9257283408,76.000000,-62.000000
9258285126,76.000000,-62.000000
9259290767,80.000000,-60.000000
9260286455,86.000000,-57.000000
9261299607,82.000000,-59.000000
9262288599,90.000000,-55.000000
9263290981,80.000000,-60.000000
9264296840,92.000000,-54.000000
9265286536,100.000000,-49.000000
9266299398,100.000000,-48.000000
9267293703,92.000000,-54.000000
9268284412,78.000000,-61.000000
9269297536,66.000000,-67.000000
9270283574,62.000000,-69.000000
9271291446,66.000000,-67.000000
9272294573,60.000000,-70.000000
9273299218,60.000000,-70.000000
9274288438,68.000000,-66.000000
9275286633,70.000000,-65.000000
9276297292,64.000000,-68.000000
