Timestamp (us),Temperature (degC)
9166648688,37.750000
9167646881,37.750000
9168645074,37.875000
9169643270,37.875000
9170641479,37.799999
9171639656,37.775002
9172637852,37.875000
9173636047,37.875000
9174634240,37.974998
9175632436,37.950001
9176630631,37.900002
9177628824,38.000000
9178627020,37.900002
9179625216,37.875000
9180623410,37.875000
9181621605,37.875000
9182619802,37.875000
9183617996,37.875000
9184616190,37.875000
9185614387,37.900002
9186612580,38.000000
9187610775,37.875000
9188608972,37.950001
9189607165,37.950001
9190605360,37.875000
9191603556,37.875000
9192601750,37.875000
9193599944,37.799999
9194598139,37.799999
9195596332,37.875000
9196594526,37.875000
9197592721,37.775002
9198590913,37.750000
9199589106,37.750000
9200587300,37.750000
9201585491,37.750000
9202583683,37.750000
9203581876,37.750000
9204580066,37.750000
9205578258,37.750000
9206576449,37.750000
9207574639,37.674999
9208572831,37.650002
9209571020,37.750000
9210569210,37.750000
9211567401,37.750000
9212565590,37.700001
9213563779,37.625000
9214561970,37.625000
9215560157,37.724998
9216558348,37.599998
9217556535,37.549999
9218554724,37.625000
9219552913,37.625000
9220551100,37.525002
9221549287,37.575001
9222547476,37.625000
9223545662,37.625000
9224543850,37.500000
9225542038,37.500000
9226540223,37.500000
9227538412,37.500000
9228536597,37.500000
9229534783,37.500000
9230532971,37.500000
9231531155,37.450001
9232529340,37.375000
9233527527,37.375000
9234525711,37.375000
9235523898,37.424999
9236522097,37.474998
9237520266,37.375000
9238518452,37.500000
9239516635,37.424999
9240514819,37.375000
9241513005,37.375000
9242511188,37.375000
9243509373,37.375000
9244507558,37.299999
9245505741,37.275002
9246503927,37.375000
9247502110,37.375000
9248500294,37.275002
9249498479,37.299999
9250496661,37.375000
9251494846,37.375000
9252493028,37.375000
9253491211,37.375000
9254489395,37.375000
9255487576,37.375000
9256485758,37.250000
9257483942,37.250000
9258482122,37.250000
9259480306,37.250000
9260478486,37.250000
9261476668,37.250000
9262474851,37.250000
9263473032,37.250000
9264471214,37.224998
9265469396,37.125000
9266467576,37.224998
9267465758,37.174999
9268463938,37.125000
9269462119,37.125000
9270460301,37.250000
9271458480,37.150002
9272456660,37.125000
9273454842,37.125000
9274453021,37.125000
9275451201,37.125000
