Timestamp (us),Percentage (%),Voltage (V),Charging Status
9166467519,95.060730,3.950608,0.000000
9167468050,95.048645,3.950486,0.000000
9168468582,95.033875,3.950339,0.000000
9169469114,95.043282,3.950433,0.000000
9170469647,95.059387,3.950594,0.000000
9171470179,95.048645,3.950486,0.000000
9172470709,95.027161,3.950272,0.000000
9173471240,95.023132,3.950231,0.000000
9174471774,95.016426,3.950164,0.000000
9175472305,95.023132,3.950232,0.000000
9176472835,95.032539,3.950325,0.000000
9177473368,95.011055,3.950110,0.000000
9178473899,94.981506,3.949815,0.000000
9179474430,95.004333,3.950043,0.000000
9180474961,94.984192,3.949842,0.000000
9181475493,94.997627,3.949976,0.000000
9182476025,95.000313,3.950003,0.000000
9183476556,94.988220,3.949882,0.000000
9184477089,94.990906,3.949909,0.000000
9185477621,94.968079,3.949681,0.000000
9186478152,94.994934,3.949949,0.000000
9187478683,95.005676,3.950057,0.000000
9188479214,94.985535,3.949855,0.000000
9189479745,94.997620,3.949976,0.000000
9190480276,94.996277,3.949963,0.000000
9191480815,94.988220,3.949883,0.000000
9192481349,94.992249,3.949923,0.000000
9193481883,94.982849,3.949828,0.000000
9194482414,94.949280,3.949493,0.000000
9195482946,94.921082,3.949211,0.000000
9196483476,94.927788,3.949278,0.000000
9197484043,94.942566,3.949425,0.000000
9198484574,94.930481,3.949305,0.000000
9199485106,94.942558,3.949425,0.000000
9200485637,94.911682,3.949117,0.000000
9201486171,94.907654,3.949076,0.000000
9202486703,94.929138,3.949291,0.000000
9203487234,94.907654,3.949076,0.000000
9204487765,94.923767,3.949238,0.000000
9205488296,94.917053,3.949171,0.000000
9206488828,94.923767,3.949238,0.000000
9207489359,94.902283,3.949023,0.000000
9208489890,94.900940,3.949009,0.000000
9209490421,94.878113,3.948781,0.000000
9210490955,94.884827,3.948848,0.000000
9211491490,94.880798,3.948808,0.000000
9212492024,94.888855,3.948888,0.000000
9213492560,94.899597,3.948996,0.000000
9214493091,94.904968,3.949050,0.000000
9215493623,94.890198,3.948902,0.000000
9216494154,94.900940,3.949009,0.000000
9217494722,94.891541,3.948915,0.000000
9218495257,94.892883,3.948929,0.000000
9219495788,94.895569,3.948956,0.000000
9220496319,94.888855,3.948888,0.000000
9221496850,94.884827,3.948848,0.000000
9222497383,94.888855,3.948889,0.000000
9223497914,94.871399,3.948714,0.000000
9224498447,94.895569,3.948956,0.000000
9225498983,94.886169,3.948862,0.000000
9226499519,94.898254,3.948983,0.000000
9227500050,94.879448,3.948795,0.000000
9228500584,94.874077,3.948741,0.000000
9229501151,94.870056,3.948701,0.000000
9230501682,94.843201,3.948432,0.000000
9231502213,94.847229,3.948472,0.000000
9232502747,94.855286,3.948553,0.000000
9233503278,94.837830,3.948378,0.000000
9234503809,94.856621,3.948566,0.000000
9235504340,94.831116,3.948311,0.000000
9236504870,94.849907,3.948499,0.000000
9237505403,94.831116,3.948311,0.000000
9238505935,94.815002,3.948150,0.000000
9239506469,94.815002,3.948150,0.000000
9240507002,94.809631,3.948097,0.000000
9241507552,94.768005,3.947680,0.000000
9242508083,94.719666,3.947196,0.000000
9243508614,94.691467,3.946915,0.000000
9244509147,94.714294,3.947143,0.000000
9245509677,94.726372,3.947264,0.000000
9246510209,94.765320,3.947653,0.000000
9247510742,94.735779,3.947358,0.000000
9248511272,94.741142,3.947411,0.000000
9249511806,94.734436,3.947344,0.000000
9250512340,94.737122,3.947371,0.000000
9251512872,94.723694,3.947237,0.000000
9252513403,94.741150,3.947411,0.000000
9253513933,94.742493,3.947425,0.000000
9254514465,94.730408,3.947304,0.000000
9255515000,94.747864,3.947479,0.000000
9256515531,94.718323,3.947183,0.000000
9257516062,94.710266,3.947103,0.000000
9258516592,94.716980,3.947170,0.000000
9259517128,94.714294,3.947143,0.000000
9260517659,94.725037,3.947250,0.000000
9261518190,94.668633,3.946687,0.000000
9262518722,94.708923,3.947089,0.000000
9263519263,94.671326,3.946713,0.000000
9264519795,94.686089,3.946861,0.000000
9265520326,94.678040,3.946780,0.000000
9266520858,94.667297,3.946673,0.000000
9267521392,94.600159,3.946002,0.000000
9268521929,94.614929,3.946149,0.000000
9269522462,94.640442,3.946404,0.000000
9270522993,94.656555,3.946565,0.000000
9271523524,94.637756,3.946377,0.000000
9272524060,94.631027,3.946311,0.000000
9273524591,94.660583,3.946606,0.000000
9274525124,94.669983,3.946700,0.000000
9275525657,94.656555,3.946565,0.000000
