Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9166353198,0.303742,1.045428,0.323623,0.168561,0.865579,-0.469565
9166355694,0.241199,1.105312,0.384724,0.165668,0.865541,-0.470333
9166358190,0.238711,1.227258,0.385132,0.164890,0.869217,-0.467478
9166360685,0.118142,1.164534,0.262610,0.166309,0.872164,-0.466041
9166363181,-0.000987,1.040942,0.078855,0.165611,0.867061,-0.465981
9166365677,-0.056722,0.796281,-0.044148,0.167779,0.868538,-0.465971
9166368173,-0.058162,0.857147,0.017085,0.169227,0.875060,-0.468956
9166370669,-0.061042,0.978880,0.139549,0.168490,0.874346,-0.467499
9166373164,-0.000987,1.040942,0.078855,0.167747,0.871471,-0.464554
9166375660,0.064239,0.859218,-0.043683,0.169226,0.869279,-0.465962
9166378156,0.008700,0.614663,-0.227714,0.171357,0.870081,-0.462299
9166380652,-0.045986,0.308922,-0.289893,0.171345,0.870820,-0.461580
9166383147,-0.100673,0.003180,-0.352071,0.171398,0.871473,-0.466691
9166385643,-0.099625,-0.057899,-0.291246,0.172140,0.870013,-0.467390
9166388139,-0.099820,-0.058006,-0.230218,0.172139,0.867122,-0.465892
9166390635,-0.101260,0.002861,-0.168985,0.169959,0.867830,-0.465932
9166393131,-0.038914,-0.057130,-0.169059,0.169968,0.870709,-0.468158
9166395627,-0.037474,-0.117997,-0.230291,0.173583,0.872927,-0.468138
9166398122,-0.096284,-0.241031,-0.169801,0.173558,0.872960,-0.465952
9166400618,-0.093796,-0.362978,-0.170208,0.176431,0.875192,-0.464486
9166403114,-0.150971,-0.546773,-0.231979,0.177886,0.875923,-0.465205
9166405610,-0.089672,-0.545684,-0.292877,0.176481,0.875128,-0.468857
9166408106,-0.029618,-0.483622,-0.353571,0.172903,0.875029,-0.473279
9166410602,0.031485,-0.482640,-0.353441,0.172174,0.877195,-0.474047
9166413097,0.095075,-0.603604,-0.353718,0.175039,0.877993,-0.471103
9166415593,0.157422,-0.663595,-0.353791,0.174288,0.875129,-0.467430
9166418089,0.218525,-0.662613,-0.353660,0.172838,0.875115,-0.467449
9166420585,0.215841,-0.540773,-0.292224,0.172121,0.876543,-0.468937
9166423081,0.214401,-0.479906,-0.230992,0.174305,0.876552,-0.469636
9166425577,0.090756,-0.421004,-0.170020,0.176517,0.872911,-0.471013
9166428072,0.030897,-0.482959,-0.170355,0.173603,0.870733,-0.468837
9166430568,-0.030010,-0.483835,-0.231514,0.173590,0.870026,-0.467370
9166433064,-0.030862,-0.422649,-0.353367,0.176528,0.869282,-0.470235
9166435560,0.031681,-0.482534,-0.414469,0.176528,0.867837,-0.469486
9166438055,-0.026738,-0.605356,-0.476036,0.172159,0.866373,-0.467340
9166440551,-0.025494,-0.666329,-0.476240,0.174322,0.864242,-0.465094
9166443047,-0.086401,-0.667204,-0.537399,0.177239,0.862803,-0.465764
9166445544,-0.210898,-0.547116,-0.598281,0.176543,0.863480,-0.468698
