Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9166402858,-0.349151,-1.590359,0.384667
9166453437,-0.380471,-1.600003,0.393472
9166504015,-0.349123,-1.599692,0.384574
9166554585,-0.359859,-1.581197,0.384679
9166605163,-0.359754,-1.590574,0.393785
9166655733,-0.359720,-1.590485,0.384576
9166706310,-0.359697,-1.590551,0.393780
9166756887,-0.349291,-1.581071,0.384771
9166807469,-0.349430,-1.571783,0.384874
9166858044,-0.369979,-1.590566,0.393661
9166908620,-0.359663,-1.590463,0.384570
9166959193,-0.349296,-1.590492,0.393887
9167009769,-0.338696,-1.590277,0.384770
9167060343,-0.359780,-1.581241,0.393878
9167110920,-0.359837,-1.581263,0.393883
9167161499,-0.359780,-1.581241,0.393878
9167212083,-0.349275,-1.590558,0.403091
9167262666,-0.359663,-1.590463,0.384570
9167313241,-0.370212,-1.590656,0.393683
9167363814,-0.359641,-1.590529,0.393774
9167414389,-0.338816,-1.581055,0.394077
9167464972,-0.369980,-1.599833,0.384365
9167515546,-0.338523,-1.599476,0.375457
9167566130,-0.349241,-1.590470,0.393882
9167616713,-0.338557,-1.599565,0.384666
9167667286,-0.370095,-1.590611,0.393672
9167717868,-0.359746,-1.581152,0.384669
9167768454,-0.370200,-1.581234,0.384566
9167819043,-0.359780,-1.581241,0.393878
9167869621,-0.359723,-1.581219,0.393872
9167920200,-0.349117,-1.590270,0.375458
9167970781,-0.349409,-1.571849,0.394078
9168021356,-0.369922,-1.599810,0.384359
9168071934,-0.391206,-1.581509,0.393576
9168122513,-0.380838,-1.572271,0.412189
9168173088,-0.402286,-1.554256,0.449040
9168223668,-0.434764,-1.509122,0.559762
9168274242,-0.435977,-1.454365,0.661686
9168324819,-0.490272,-1.353842,0.791242
9168375395,-0.523830,-1.234313,0.893583
9168425972,-0.557388,-1.114785,0.995923
9168476550,-0.558674,-1.040921,1.042797
9168527135,-0.591069,-0.966852,1.043299
9168577717,-0.612292,-0.948528,1.052510
9168628301,-0.632715,-0.976378,1.033577
9168678883,-0.610693,-1.040877,0.996221
9168729461,-0.629727,-1.142325,0.902787
9168780048,-0.637891,-1.261913,0.772412
9168830627,-0.656443,-1.371764,0.586783
9168881210,-0.696156,-1.443587,0.290857
9168931790,-0.705690,-1.421999,-0.031365
9168982366,-0.727138,-1.298394,-0.343332
9169032945,-0.665955,-1.128245,-0.598712
9169083522,-0.742078,-0.914231,-0.698368
9169134100,-0.786609,-0.719237,-0.724214
9169184685,-0.841204,-0.570951,-0.732299
9169235264,-0.821300,-0.505859,-0.722161
9169285868,-0.821596,-0.477995,-0.721832
9169336432,-0.768243,-0.542336,-0.749672
9169387016,-0.755446,-0.690858,-0.751206
9169437612,-0.690146,-0.876396,-0.725052
9169488204,-0.655779,-1.109587,-0.598403
9169538789,-0.632452,-1.334722,-0.352034
9169589381,-0.663483,-1.449870,0.005574
9169639971,-0.601593,-1.480268,0.318992
9169690557,-0.583103,-1.389875,0.596511
9169741150,-0.585808,-1.261785,0.800565
9169791736,-0.609904,-1.096276,0.958798
9169842329,-0.675163,-0.930089,1.015267
9169892917,-0.687529,-0.819075,1.053261
9169943507,-0.710006,-0.717418,1.091012
9169994097,-0.742173,-0.661847,1.082117
9170044690,-0.721301,-0.661510,1.063922
9170095276,-0.751968,-0.698816,1.053973
9170145858,-0.729562,-0.791267,1.025516
9170196444,-0.675094,-0.929912,0.996848
9170247034,-0.641087,-1.086855,0.921724
9170297626,-0.606805,-1.243091,0.772926
9170348221,-0.624807,-1.399086,0.549969
9170398818,-0.674585,-1.470914,0.253912
9170449404,-0.726322,-1.421701,-0.077612
9170499996,-0.706614,-1.260637,-0.388759
9170550589,-0.677418,-1.062893,-0.644170
9170601174,-0.774667,-0.830794,-0.706953
9170651761,-0.850820,-0.646046,-0.659554
9170702353,-0.863099,-0.516093,-0.658191
9170752952,-0.863576,-0.488052,-0.676317
9170803544,-0.831612,-0.506205,-0.694599
9170854143,-0.798631,-0.617239,-0.713970
9170904739,-0.743883,-0.784102,-0.706111
9170955337,-0.667460,-1.006961,-0.652605
9171005923,-0.685532,-1.260031,-0.434600
9171056516,-0.684259,-1.430643,-0.077301
9171107103,-0.622274,-1.480058,0.281948
9171157726,-0.561618,-1.417380,0.577978
9171208286,-0.543273,-1.298417,0.782129
9171258886,-0.567274,-1.132899,0.940341
9171309475,-0.653168,-1.004063,0.996243
9171360066,-0.728695,-0.856290,1.024810
9171410656,-0.772053,-0.754448,1.025538
9171461249,-0.762998,-0.670864,1.035800
9171511843,-0.804921,-0.652435,1.017160
9171562432,-0.815046,-0.680297,1.007556
9171613026,-0.803285,-0.754340,0.988394
9171663617,-0.769968,-0.874487,0.950519
9171714217,-0.746474,-1.022304,0.884588
9171764803,-0.660015,-1.187787,0.773048
9171815392,-0.625449,-1.362603,0.624040
9171865984,-0.643698,-1.462019,0.318790
9171916579,-0.663314,-1.439786,-0.077205
9171967168,-0.632867,-1.287326,-0.452830
9172017763,-0.614440,-1.062036,-0.680376
9172068355,-0.722316,-0.830208,-0.724860
9172118948,-0.798610,-0.626530,-0.714092
9172169537,-0.821647,-0.487459,-0.703535
9172220132,-0.832974,-0.431900,-0.693808
9172270727,-0.811643,-0.459601,-0.693913
9172321323,-0.757683,-0.551631,-0.740464
9172371918,-0.765779,-0.718989,-0.733238
9172422507,-0.700006,-0.942210,-0.652222
9172473104,-0.665668,-1.175494,-0.516361
9172523703,-0.653077,-1.382386,-0.242246
9172574305,-0.632382,-1.469370,0.125393
9172624911,-0.602644,-1.434957,0.439225
9172675512,-0.594738,-1.335111,0.689123
9172726113,-0.639751,-1.169768,0.847149
9172776714,-0.694822,-1.003948,0.949787
9172827307,-0.760135,-0.847071,1.006188
9172877912,-0.762659,-0.698645,1.026298
9172928506,-0.795335,-0.596712,1.027092
9172979102,-0.796205,-0.541072,1.036922
9173029697,-0.754342,-0.550298,1.064856
9173080293,-0.753680,-0.596827,1.073548
9173130879,-0.752045,-0.698732,1.044782
9173181471,-0.707992,-0.837373,1.006803
9173232063,-0.694857,-1.013170,0.940507
9173282652,-0.650141,-1.169673,0.828627
9173333243,-0.636662,-1.325814,0.651990
9173383831,-0.634487,-1.416911,0.466759
9173434431,-0.611869,-1.479663,0.245217
9173485031,-0.621752,-1.478487,0.116182
9173535629,-0.642087,-1.477393,-0.012950
9173586230,-0.673766,-1.449510,-0.040574
9173636832,-0.695202,-1.412187,-0.077206
9173687432,-0.684646,-1.392803,-0.150565
9173738023,-0.663564,-1.392197,-0.196406
9173788626,-0.684892,-1.364497,-0.196301
9173839226,-0.684751,-1.383180,-0.187306
9173889826,-0.642574,-1.420536,-0.132054
9173940429,-0.642539,-1.449618,-0.003430
9173991020,-0.527433,-1.496504,0.135315
9174041611,-0.443391,-1.552882,0.273651
9174092206,-0.349451,-1.571716,0.375670
9174142808,-0.328659,-1.562331,0.385182
9174193404,-0.317634,-1.579964,0.292990
9174244000,-0.390890,-1.580559,0.292277
9174294594,-0.401392,-1.561600,0.246331
9174345193,-0.432592,-1.551762,0.163244
9174395791,-0.474141,-1.541896,0.070846
9174446387,-0.516220,-1.504119,-0.030454
9174496988,-0.558104,-1.475855,-0.104222
9174547583,-0.600382,-1.419482,-0.205312
9174598177,-0.611017,-1.381440,-0.306301
9174648769,-0.622175,-1.306157,-0.416085
9174699364,-0.612259,-1.240160,-0.507336
9174749965,-0.613505,-1.146677,-0.570780
9174800557,-0.613927,-1.099530,-0.643936
9174851151,-0.635876,-1.024959,-0.689376
9174901740,-0.604997,-0.977742,-0.743808
9174952338,-0.574135,-0.940000,-0.779944
9175002940,-0.584943,-0.912040,-0.798155
9175053538,-0.647766,-0.903322,-0.789437
9175104136,-0.741660,-0.942095,-0.698678
9175154735,-0.740576,-1.035773,-0.616829
9175205338,-0.771047,-1.120243,-0.553616
9175255941,-0.759564,-1.204626,-0.462337
9175306544,-0.768913,-1.289240,-0.362045
9175357139,-0.705812,-1.335489,-0.334342
9175407728,-0.642621,-1.362774,-0.343248
9175458330,-0.589666,-1.399006,-0.398417
9175508925,-0.673504,-1.390707,-0.362284
9175559525,-0.684062,-1.400449,-0.325662
9175610120,-0.641778,-1.427899,-0.334773
9175660711,-0.662552,-1.446993,-0.298346
9175711304,-0.672801,-1.466073,-0.252600
9175761910,-0.641256,-1.484669,-0.224871
9175812508,-0.609501,-1.522018,-0.178931
9175863117,-0.567584,-1.550196,-0.114372
9175913716,-0.546317,-1.587716,-0.059324
9175964306,-0.493845,-1.596661,-0.049702
9176014905,-0.483145,-1.615244,-0.040598
9176065503,-0.430615,-1.642988,-0.012771
9176116095,-0.430685,-1.643318,0.024069
9176166690,-0.420258,-1.652813,0.051694
9176217289,-0.399174,-1.662002,0.061007
9176267889,-0.388439,-1.680497,0.060902
9176318485,-0.398863,-1.670848,0.014857
9176369085,-0.388210,-1.660747,-0.058608
9176419684,-0.461823,-1.613866,-0.169330
9176470284,-0.482990,-1.566438,-0.288741
9176520871,-0.546614,-1.482362,-0.389729
9176571463,-0.568164,-1.397744,-0.508700
9176622052,-0.558949,-1.294539,-0.608776
9176672645,-0.664596,-1.211321,-0.654915
9176723242,-0.718795,-1.081608,-0.663188
9176773837,-0.708831,-1.043943,-0.708737
9176824434,-0.740128,-1.044265,-0.699816
9176875026,-0.761038,-1.054071,-0.663287
9176925624,-0.708514,-1.081715,-0.644684
9176976228,-0.655184,-1.146399,-0.635670
9177026818,-0.654834,-1.174440,-0.617562
9177077405,-0.571676,-1.117173,-0.708215
9177127991,-0.519441,-1.107046,-0.753666
9177178577,-0.634798,-1.089711,-0.717728
9177229159,-0.676798,-1.081092,-0.681180
9177279744,-0.666409,-1.080933,-0.690304
9177330335,-0.687773,-1.062709,-0.671901
9177380924,-0.729594,-1.053902,-0.653753
9177431511,-0.750606,-1.054331,-0.626331
9177482126,-0.771643,-1.045460,-0.598789
9177532672,-0.782040,-1.054753,-0.608219
9177583256,-0.792404,-1.073600,-0.590126
9177633838,-0.823894,-1.083499,-0.553714
9177684418,-0.771105,-1.111030,-0.544289
9177735005,-0.750019,-1.120067,-0.553397
9177785594,-0.749453,-1.147829,-0.562901
9177836182,-0.759943,-1.147999,-0.553794
9177886764,-0.739318,-1.138649,-0.544292
9177937349,-0.759710,-1.166413,-0.572435
9177987939,-0.739318,-1.138649,-0.544292
9178038533,-0.760187,-1.129335,-0.562797
9178089119,-0.771141,-1.101477,-0.571813
9178139703,-0.802860,-1.073681,-0.590228
9178190281,-0.813945,-1.027146,-0.608232
9178240867,-0.835361,-0.980681,-0.626322
9178291428,-0.804345,-0.952395,-0.644123
9178342012,-0.804137,-0.961506,-0.662645
9178392599,-0.793627,-0.970634,-0.671872
9178443177,-0.804221,-0.971070,-0.635137
9178493756,-0.762258,-0.970389,-0.671565
9178544339,-0.741345,-0.970225,-0.671361
9178594919,-0.783183,-0.979939,-0.662681
9178645500,-0.772633,-0.970549,-0.662441
9178696082,-0.751620,-0.970120,-0.689864
9178746665,-0.709944,-0.960249,-0.716997
9178797248,-0.710121,-0.950794,-0.735331
9178847826,-0.710047,-0.941487,-0.735190
9178898406,-0.678679,-0.950627,-0.725796
9178948986,-0.509987,-1.022916,-0.798660
9178999590,-0.541530,-1.013962,-0.789654
9179050148,-0.531283,-0.995127,-0.807764
9179100732,-0.563051,-0.976894,-0.798675
9179151312,-0.604931,-0.967924,-0.798961
9179201895,-0.646894,-0.968605,-0.762533
9179252475,-0.604104,-1.033549,-0.735201
9179303054,-0.518861,-1.144526,-0.717205
9179353643,-0.527709,-1.275524,-0.626664
9179404233,-0.505615,-1.397537,-0.480471
9179454815,-0.472947,-1.529005,-0.306635
9179505388,-0.419855,-1.632775,-0.095441
9179555969,-0.420017,-1.681425,0.134270
9179606547,-0.399276,-1.691345,0.217253
9179657126,-0.577588,-1.655431,0.197510
9179707708,-0.650771,-1.569383,-0.115387
9179758315,-0.778038,-1.372153,-0.445985
9179808872,-0.917881,-1.074582,-0.591354
9179859449,-0.826150,-0.877379,-0.735610
9179910025,-0.741626,-0.903697,-0.827174
9179960601,-0.760860,-1.034599,-0.755154
9180011179,-0.802114,-1.110644,-0.609045
9180061754,-0.547938,-1.321968,-0.645821
9180112325,-0.514747,-1.490677,-0.463189
9180162902,-0.514178,-1.633735,-0.077954
9180213486,-0.493589,-1.673176,0.179703
9180264079,-0.379434,-1.674638,0.429475
9180314665,-0.495139,-1.648228,0.483922
9180365249,-0.546010,-1.664297,0.179295
9180415831,-0.766101,-1.551552,-0.134730
9180466412,-0.926758,-1.243899,-0.381516
9180516996,-0.887656,-0.999776,-0.617864
9180567589,-0.815796,-0.877563,-0.707880
9180618181,-0.783417,-0.942246,-0.717506
9180668765,-0.834753,-1.036686,-0.599331
9180719359,-0.802803,-1.102177,-0.526088
9180769942,-0.559382,-1.276155,-0.590166
9180820519,-0.526536,-1.416826,-0.425639
9180871102,-0.515598,-1.521812,-0.122754
9180921687,-0.431863,-1.588473,0.116783
9180972267,-0.338441,-1.589504,0.301891
9181022856,-0.444464,-1.516901,0.393788
9181073432,-0.443567,-1.533886,0.227814
9181124008,-0.547830,-1.504984,0.033704
9181174592,-0.747692,-1.403485,-0.059196
9181225169,-0.833080,-1.253953,-0.224136
9181275776,-0.792555,-1.093578,-0.442971
9181326318,-0.783514,-0.971436,-0.579677
9181376894,-0.848203,-0.841893,-0.578843
9181427472,-0.753958,-0.840803,-0.614759
9181478054,-0.699585,-0.970330,-0.624888
9181528632,-0.719725,-1.064711,-0.488004
9181579212,-0.518568,-1.230593,-0.460280
9181629794,-0.485699,-1.390295,-0.249930
9181680369,-0.433331,-1.466842,0.026035
9181730956,-0.392107,-1.477435,0.192111
9181781543,-0.444645,-1.469291,0.274582
9181832129,-0.475914,-1.459473,0.191497
9181882715,-0.517322,-1.439613,0.025529
9181933297,-0.665084,-1.337990,-0.039234
9181983882,-0.791931,-1.197793,-0.232307
9182034507,-0.804610,-1.000712,-0.451274
9182085054,-0.817198,-0.813953,-0.559791
9182135645,-0.787033,-0.729679,-0.604615
9182186225,-0.744972,-0.747756,-0.622848
9182236809,-0.743641,-0.831433,-0.614553
9182287393,-0.721328,-0.953076,-0.505181
9182337976,-0.488159,-1.155275,-0.542057
9182388563,-0.454437,-1.371031,-0.295462
9182439150,-0.422909,-1.466849,0.035346
9182489745,-0.401824,-1.495325,0.118125
9182540336,-0.496714,-1.469169,0.218815
9182590926,-0.517388,-1.449431,0.080680
9182641517,-0.591138,-1.374286,-0.066555
9182692099,-0.738881,-1.253289,-0.213997
9182742681,-0.814629,-1.038555,-0.387312
9182793269,-0.775053,-0.850792,-0.559826
9182843856,-0.744687,-0.756951,-0.632144
9182894439,-0.744965,-0.738374,-0.631937
9182945027,-0.733358,-0.822151,-0.605138
9182995613,-0.742867,-0.916264,-0.486553
9183046199,-0.457478,-1.118394,-0.486066
9183096799,-0.413417,-1.315046,-0.285214
9183147387,-0.371495,-1.420441,0.082422
9183197981,-0.371281,-1.458477,0.174101
9183248578,-0.455175,-1.459594,0.219331
9183299175,-0.444071,-1.429065,-0.047329
9183349803,-0.580988,-1.326544,-0.194871
9183400357,-0.750460,-1.140499,-0.360207
9183450939,-0.742837,-0.896892,-0.569230
9183501528,-0.692582,-0.728058,-0.695787
9183552111,-0.746015,-0.644609,-0.722996
9183602698,-0.724576,-0.672306,-0.723083
9183653281,-0.733467,-0.793491,-0.687711
9183703862,-0.742031,-0.933682,-0.606465
9183754441,-0.497860,-1.201460,-0.579530
9183805019,-0.453183,-1.464109,-0.278087
9183855597,-0.400357,-1.587874,0.080253
9183906172,-0.410773,-1.616792,0.181143
9183956754,-0.526589,-1.590800,0.281630
9184007342,-0.536432,-1.570007,0.042292
9184057921,-0.662615,-1.485982,-0.105355
9184108524,-0.821196,-1.337025,-0.271012
9184159085,-0.854753,-1.130969,-0.471640
9184209668,-0.825865,-0.924881,-0.625616
9184260251,-0.837717,-0.822439,-0.661417
9184310833,-0.806557,-0.803440,-0.679322
9184361421,-0.752924,-0.905387,-0.661547
9184412007,-0.835641,-1.000074,-0.543676
9184462590,-0.602944,-1.213408,-0.387241
9184513178,-0.401769,-1.408216,-0.249318
9184563761,-0.391546,-1.505483,0.219423
9184614346,-0.361095,-1.478386,0.321346
9184664937,-0.434608,-1.441345,0.274994
9184715534,-0.486621,-1.411965,0.072190
9184766131,-0.612777,-1.337740,-0.020300
9184816726,-0.697925,-1.187931,-0.212856
9184867312,-0.741712,-1.019406,-0.386388
9184917901,-0.753560,-0.888296,-0.504750
9184968486,-0.754711,-0.804439,-0.531446
9185019069,-0.712546,-0.831894,-0.540571
9185069648,-0.648414,-0.924285,-0.540992
9185120234,-0.562685,-1.082490,-0.440616
9185170819,-0.360993,-1.314123,-0.339967
9185221407,-0.328646,-1.475244,0.017743
9185271996,-0.286999,-1.514082,0.229556
9185322587,-0.318906,-1.486660,0.247980
9185373179,-0.350593,-1.468417,0.257089
9185423773,-0.381898,-1.468486,0.238363
9185474366,-0.465387,-1.468856,0.209914
9185524952,-0.475462,-1.487249,0.181977
9185575547,-0.486266,-1.468931,0.200500
9185626142,-0.454549,-1.496571,0.200498
9185676739,-0.401849,-1.514540,0.182383
9185727328,-0.380726,-1.533130,0.200800
9185777923,-0.349001,-1.551506,0.210106
9185828516,-0.359324,-1.570296,0.219009
9185879105,-0.348534,-1.588768,0.218903
9185929694,-0.337908,-1.607308,0.218802
9185980282,-0.316612,-1.625674,0.218796
9186030863,-0.285465,-1.625894,0.265152
9186081446,-0.243950,-1.616720,0.311711
9186132031,-0.244210,-1.607500,0.311826
9186182618,-0.275261,-1.616724,0.283779
9186233200,-0.316922,-1.616828,0.264945
9186283789,-0.348377,-1.617185,0.273850
9186334379,-0.389968,-1.626689,0.264126
9186384961,-0.473647,-1.627278,0.254100
9186435540,-0.505548,-1.590129,0.226580
9186486131,-0.537260,-1.552845,0.189848
9186536714,-0.558694,-1.525410,0.217582
9186587301,-0.558865,-1.525851,0.263628
9186637888,-0.569612,-1.526884,0.364824
9186688478,-0.559018,-1.536090,0.364823
9186739060,-0.569699,-1.526906,0.364829
9186789646,-0.580517,-1.508832,0.410975
9186840233,-0.601566,-1.499708,0.410873
9186890816,-0.601902,-1.481064,0.401876
9186941402,-0.601847,-1.471490,0.374347
9186991984,-0.654394,-1.462720,0.383153
9187042568,-0.675517,-1.444130,0.364736
9187093156,-0.738571,-1.416492,0.336804
9187143742,-0.812236,-1.379982,0.345707
9187194330,-0.875594,-1.333856,0.327192
9187244917,-0.917975,-1.278085,0.290564
9187295503,-0.970770,-1.250559,0.281156
9187346093,-0.960390,-1.250316,0.262842
9187396679,-0.897030,-1.297116,0.355025
9187447269,-0.886737,-1.326064,0.474540
9187497857,-0.907582,-1.316746,0.456014
9187548438,-0.959924,-1.316995,0.437090
9187599026,-0.971010,-1.289407,0.455722
9187649613,-1.033924,-1.271056,0.427687
9187700200,-1.065260,-1.233410,0.354112
9187750786,-1.118046,-1.186511,0.262030
9187801369,-1.150385,-1.121313,0.216402
9187851948,-1.192284,-1.102533,0.160943
9187902533,-1.171754,-1.092842,0.133621
9187953126,-1.170952,-1.157876,0.132896
9188003716,-1.116688,-1.250129,0.113958
