Timestamp (us),W Element,X Element,Y Element,Z Element
9166353198,0.514464,0.848343,-0.122805,0.028345
9166355694,0.514462,0.848344,-0.122798,0.028368
9166358190,0.514461,0.848345,-0.122790,0.028392
9166360685,0.514464,0.848344,-0.122780,0.028413
9166363181,0.514468,0.848343,-0.122768,0.028430
9166365677,0.514472,0.848342,-0.122758,0.028442
9166368173,0.514477,0.848340,-0.122747,0.028456
9166370669,0.514482,0.848337,-0.122738,0.028472
9166373164,0.514487,0.848336,-0.122726,0.028490
9166375660,0.514489,0.848335,-0.122715,0.028504
9166378156,0.514493,0.848334,-0.122703,0.028511
9166380652,0.514498,0.848333,-0.122694,0.028512
9166383147,0.514501,0.848332,-0.122687,0.028506
9166385643,0.514504,0.848331,-0.122682,0.028500
9166388139,0.514507,0.848330,-0.122678,0.028496
9166390635,0.514510,0.848329,-0.122674,0.028492
9166393131,0.514512,0.848328,-0.122671,0.028487
9166395627,0.514514,0.848328,-0.122668,0.028481
9166398122,0.514517,0.848326,-0.122668,0.028473
9166400618,0.514520,0.848324,-0.122669,0.028464
9166403114,0.514524,0.848323,-0.122664,0.028456
9166405610,0.514526,0.848323,-0.122657,0.028447
9166408106,0.514525,0.848325,-0.122649,0.028437
9166410602,0.514523,0.848328,-0.122640,0.028427
9166413097,0.514521,0.848331,-0.122633,0.028416
9166415593,0.514518,0.848334,-0.122626,0.028404
9166418089,0.514514,0.848338,-0.122619,0.028391
9166420585,0.514510,0.848341,-0.122612,0.028381
9166423081,0.514506,0.848345,-0.122606,0.028374
9166425577,0.514504,0.848347,-0.122601,0.028369
9166428072,0.514503,0.848349,-0.122596,0.028362
9166430568,0.514503,0.848350,-0.122590,0.028354
9166433064,0.514502,0.848352,-0.122582,0.028347
9166435560,0.514501,0.848354,-0.122573,0.028338
9166438055,0.514500,0.848356,-0.122564,0.028325
9166440551,0.514500,0.848358,-0.122556,0.028311
9166443047,0.514500,0.848360,-0.122548,0.028298
9166445544,0.514502,0.848360,-0.122537,0.028285
9166448039,0.514504,0.848361,-0.122525,0.028275
9166450535,0.514507,0.848362,-0.122513,0.028268
9166453030,0.514509,0.848363,-0.122498,0.028263
9166455526,0.514514,0.848359,-0.122506,0.028247
9166458022,0.514519,0.848355,-0.122513,0.028231
9166460518,0.514526,0.848351,-0.122520,0.028213
9166463014,0.514532,0.848347,-0.122529,0.028191
9166465510,0.514536,0.848343,-0.122541,0.028168
9166468008,0.514540,0.848339,-0.122556,0.028147
9166470513,0.514546,0.848334,-0.122572,0.028128
9166473023,0.514555,0.848327,-0.122589,0.028113
9166475494,0.514564,0.848319,-0.122607,0.028099
9166477990,0.514574,0.848311,-0.122624,0.028082
9166480486,0.514582,0.848304,-0.122643,0.028063
9166482982,0.514589,0.848298,-0.122662,0.028041
9166485477,0.514595,0.848292,-0.122681,0.028020
9166487974,0.514601,0.848286,-0.122700,0.028000
9166490469,0.514605,0.848282,-0.122718,0.027978
9166492965,0.514609,0.848277,-0.122739,0.027956
9166495461,0.514615,0.848271,-0.122760,0.027937
9166497957,0.514620,0.848265,-0.122782,0.027921
9166500452,0.514624,0.848261,-0.122800,0.027908
9166502948,0.514627,0.848258,-0.122815,0.027893
9166505444,0.514629,0.848257,-0.122807,0.027893
9166507940,0.514631,0.848258,-0.122797,0.027894
9166510436,0.514632,0.848258,-0.122785,0.027896
9166512931,0.514634,0.848259,-0.122772,0.027898
9166515427,0.514634,0.848261,-0.122757,0.027898
9166517923,0.514633,0.848264,-0.122743,0.027899
