Timestamp (us),Temperature (degC)
9166755024,40.500000
9167753351,40.500000
9168751680,40.500000
9169750005,40.500000
9170748334,40.500000
9171746659,40.500000
9172744988,40.500000
9173743313,40.500000
9174741642,40.500000
9175739967,40.500000
9176738294,40.500000
9177736623,40.549999
9178734949,40.599998
9179733277,40.500000
9180731602,40.599998
9181729930,40.549999
9182728259,40.500000
9183726584,40.500000
9184724912,40.625000
9185723238,40.525002
9186721567,40.500000
9187719893,40.500000
9188718220,40.500000
9189716548,40.500000
9190714874,40.500000
9191713202,40.500000
9192711528,40.500000
9193709853,40.500000
9194708182,40.500000
9195706506,40.500000
9196704831,40.474998
9197703159,40.375000
9198701483,40.474998
9199699808,40.575001
9200698135,40.575001
9201696458,40.375000
9202694788,40.500000
9203693108,40.400002
9204691433,40.424999
9205689758,40.474998
9206688081,40.375000
9207686407,40.375000
9208684729,40.450001
9209683053,40.474998
9210681378,40.375000
9211679701,40.375000
9212678026,40.375000
9213676349,40.375000
9214674670,40.375000
9215672994,40.375000
9216671317,40.375000
9217669638,40.375000
9218667960,40.325001
9219666284,40.250000
9220664605,40.375000
9221662927,40.275002
9222661251,40.250000
9223659571,40.250000
9224657892,40.250000
9225656214,40.250000
9226654534,40.250000
9227652854,40.200001
9228651176,40.125000
9229649496,40.250000
9230647818,40.250000
9231646136,40.200001
9232644456,40.125000
9233642777,40.125000
9234641095,40.125000
9235639415,40.125000
9236637735,40.125000
9237636053,40.125000
9238634373,40.125000
9239632690,40.125000
9240631009,40.125000
9241629328,40.125000
9242627645,40.125000
9243625962,40.125000
9244624281,40.125000
9245622598,40.125000
9246620917,40.125000
9247619235,40.000000
9248617550,40.099998
9249615869,40.125000
9250614184,40.125000
9251612501,40.125000
9252610819,40.125000
9253609134,40.125000
9254607451,40.075001
9255605768,40.000000
9256604082,40.000000
9257602398,40.099998
9258600715,40.075001
9259599029,40.000000
9260597344,40.000000
9261595661,40.000000
9262593974,40.000000
9263592288,40.000000
9264590605,40.000000
9265588917,39.875000
9266587231,39.974998
9267585546,40.000000
9268583859,40.000000
9269582173,40.000000
9270580496,39.875000
9271578800,39.875000
9272577113,39.875000
9273575427,39.875000
9274573738,39.875000
9275572050,39.875000
