Timestamp (us),Percentage (%),Voltage (V),Charging Status
9167004294,74.765739,3.747657,0.000000
9168004824,74.757690,3.747577,0.000000
9169005356,74.775146,3.747752,0.000000
9170005887,74.761719,3.747617,0.000000
9171006419,74.760376,3.747604,0.000000
9172006950,74.760376,3.747604,0.000000
9173007482,74.760376,3.747604,0.000000
9174008013,74.748291,3.747483,0.000000
9175008543,74.780518,3.747805,0.000000
9176009073,74.742912,3.747429,0.000000
9177009613,74.710693,3.747107,0.000000
9178010143,74.736198,3.747362,0.000000
9179010673,74.746941,3.747470,0.000000
9180011203,74.728149,3.747281,0.000000
9181011736,74.741577,3.747416,0.000000
9182012266,74.721436,3.747215,0.000000
9183012797,74.725456,3.747255,0.000000
9184013326,74.726807,3.747268,0.000000
9185013856,74.730835,3.747308,0.000000
9186014386,74.678467,3.746785,0.000000
9187014917,74.717407,3.747174,0.000000
9188015449,74.690552,3.746906,0.000000
9189015979,74.702629,3.747026,0.000000
9190016510,74.686523,3.746865,0.000000
9191017041,74.686508,3.746865,0.000000
9192017572,74.710686,3.747107,0.000000
9193018104,74.695923,3.746959,0.000000
9194018636,74.685181,3.746852,0.000000
9195019167,74.685165,3.746852,0.000000
9196019697,74.682495,3.746825,0.000000
9197020241,74.683830,3.746838,0.000000
9198020804,74.679802,3.746798,0.000000
9199021333,74.683838,3.746838,0.000000
9200021863,74.679802,3.746798,0.000000
9201022395,74.650269,3.746503,0.000000
9202022926,74.685173,3.746852,0.000000
9203023458,74.634148,3.746342,0.000000
9204023989,74.627426,3.746274,0.000000
9205024521,74.661011,3.746610,0.000000
9206025050,74.663696,3.746637,0.000000
9207025580,74.658318,3.746583,0.000000
9208026110,74.646225,3.746462,0.000000
9209026640,74.646240,3.746462,0.000000
9210027170,74.635498,3.746355,0.000000
9211027700,74.615356,3.746153,0.000000
9212028234,74.630127,3.746301,0.000000
9213028764,74.587158,3.745871,0.000000
9214029294,74.595215,3.745952,0.000000
9215029824,74.608635,3.746086,0.000000
9216030357,74.593857,3.745939,0.000000
9217030888,74.612671,3.746127,0.000000
9218031418,74.608635,3.746087,0.000000
9219031948,74.592529,3.745925,0.000000
9220032479,74.595207,3.745952,0.000000
9221033036,74.608635,3.746087,0.000000
9222033567,74.571045,3.745710,0.000000
9223034098,74.589828,3.745898,0.000000
9224034629,74.561646,3.745616,0.000000
9225035160,74.579094,3.745791,0.000000
9226035690,74.561638,3.745616,0.000000
9227036220,74.569702,3.745697,0.000000
9228036751,74.584473,3.745844,0.000000
9229037283,74.571030,3.745710,0.000000
9230037817,74.552246,3.745522,0.000000
9231038347,74.565674,3.745656,0.000000
9232038878,74.538818,3.745388,0.000000
9233039408,74.530754,3.745307,0.000000
9234039951,74.540154,3.745402,0.000000
9235040481,74.537476,3.745375,0.000000
9236041012,74.491821,3.744918,0.000000
9237041542,74.501221,3.745012,0.000000
9238042072,74.522697,3.745227,0.000000
9239042603,74.521362,3.745213,0.000000
9240043133,74.495850,3.744958,0.000000
9241043664,74.532097,3.745321,0.000000
9242044195,74.497192,3.744972,0.000000
9243044752,74.498520,3.744985,0.000000
9244045282,74.452866,3.744529,0.000000
9245045813,74.498528,3.744985,0.000000
9246046344,74.483749,3.744838,0.000000
9247046875,74.458252,3.744582,0.000000
9248047409,74.475708,3.744757,0.000000
9249047939,74.458252,3.744582,0.000000
9250048470,74.473015,3.744730,0.000000
9251049001,74.456909,3.744569,0.000000
9252049538,74.456902,3.744569,0.000000
9253050068,74.462280,3.744623,0.000000
9254050598,74.416618,3.744166,0.000000
9255051129,74.456902,3.744569,0.000000
9256051659,74.456902,3.744569,0.000000
9257052190,74.463608,3.744636,0.000000
9258052720,74.408554,3.744086,0.000000
9259053251,74.432739,3.744328,0.000000
9260053783,74.417953,3.744179,0.000000
9261054314,74.439438,3.744394,0.000000
9262054844,74.408562,3.744086,0.000000
9263055374,74.409904,3.744099,0.000000
9264055904,74.415268,3.744153,0.000000
9265056434,74.405869,3.744059,0.000000
9266056964,74.430054,3.744300,0.000000
9267057495,74.413940,3.744139,0.000000
9268058025,74.436760,3.744368,0.000000
9269058555,74.401848,3.744019,0.000000
9270059085,74.385735,3.743857,0.000000
9271059616,74.381699,3.743817,0.000000
9272060147,74.419312,3.744193,0.000000
9273060679,74.380356,3.743804,0.000000
9274061209,74.393784,3.743938,0.000000
9275061744,74.392441,3.743925,0.000000
9276062274,74.399170,3.743991,0.000000
