Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9166350091,0.240051,0.759329,-0.905498
9166369752,0.191051,0.710329,-0.905498
9166389414,0.240051,0.759329,-0.856498
9166409074,0.289051,0.759329,-1.003498
9166428735,0.240051,0.759329,-0.954498
9166448396,0.289051,0.759329,-0.905498
9166468056,0.289051,0.759329,-0.856498
9166487716,0.338051,0.759329,-0.954498
9166507377,0.240051,0.808329,-0.856498
9166527038,0.289051,0.759329,-0.954498
9166546699,0.240051,0.759329,-0.905498
9166566359,0.240051,0.808329,-0.954498
9166586019,0.289051,0.759329,-0.905498
9166605679,0.289051,0.759329,-0.905498
9166625340,0.240051,0.808329,-0.856498
9166645001,0.289051,0.710329,-1.052498
9166664663,0.240051,0.808329,-0.954498
9166684325,0.240051,0.808329,-0.905498
9166703985,0.289051,0.808329,-0.905498
9166723647,0.338051,0.759329,-0.905498
9166743309,0.240051,0.808329,-0.905498
9166762970,0.289051,0.759329,-1.003498
9166782630,0.289051,0.710329,-0.954498
9166802289,0.289051,0.710329,-0.905498
9166821951,0.191051,0.808329,-0.905498
9166841612,0.240051,0.857329,-0.905498
9166861275,0.289051,0.661329,-0.954498
9166880937,0.289051,0.710329,-0.905498
9166900598,0.289051,0.808329,-0.954498
9166920260,0.289051,0.808329,-0.954498
9166939920,0.240051,0.808329,-0.905498
9166959580,0.240051,0.759329,-0.954498
9166979240,0.240051,0.808329,-0.905498
9166998900,0.240051,0.759329,-0.905498
9167018559,0.338051,0.661329,-0.905498
9167038219,0.240051,0.759329,-0.905498
9167057877,0.289051,0.759329,-0.856498
9167077537,0.289051,0.759329,-0.905498
9167097197,0.240051,0.808329,-0.954498
9167116885,0.240051,0.661329,-0.905498
9167136514,0.289051,0.759329,-0.905498
9167156172,0.240051,0.808329,-0.954498
9167175831,0.289051,0.759329,-0.905498
9167195491,0.338051,0.710329,-0.954498
9167215150,0.240051,0.759329,-0.954498
9167234810,0.191051,0.808329,-0.954498
9167254470,0.338051,0.710329,-0.905498
9167274130,0.289051,0.808329,-0.856498
9167293790,0.191051,0.808329,-0.905498
9167313449,0.387051,0.759329,-1.003498
9167333109,0.289051,0.759329,-0.905498
9167352768,0.240051,0.710329,-0.905498
9167372428,0.240051,0.759329,-0.905498
9167392087,0.289051,0.710329,-0.954498
9167411747,0.338051,0.759329,-0.954498
9167431405,0.289051,0.710329,-0.905498
9167451065,0.289051,0.759329,-0.954498
9167470723,0.338051,0.759329,-0.954498
9167490382,0.240051,0.759329,-0.954498
9167510041,0.240051,0.710329,-0.905498
9167529700,0.289051,0.710329,-0.954498
9167549359,0.289051,0.759329,-0.905498
9167569019,0.240051,0.808329,-0.954498
9167588680,0.338051,0.759329,-0.954498
9167608340,0.240051,0.710329,-0.954498
9167628002,0.289051,0.710329,-0.905498
9167647664,0.240051,0.759329,-0.856498
9167667325,0.289051,0.759329,-0.954498
9167686984,0.240051,0.710329,-0.856498
9167706643,0.338051,0.759329,-0.905498
9167726303,0.240051,0.759329,-0.905498
9167745960,0.191051,0.710329,-0.856498
9167765619,0.240051,0.710329,-0.954498
9167785279,0.240051,0.808329,-0.954498
9167804939,0.240051,0.759329,-0.856498
9167824600,0.289051,0.808329,-1.003498
9167844260,0.240051,0.759329,-0.954498
9167863920,0.191051,0.710329,-0.905498
9167883580,0.240051,0.759329,-0.954498
9167903241,0.191051,0.808329,-0.905498
9167922902,0.289051,0.808329,-0.856498
9167942562,0.240051,0.759329,-0.954498
9167962223,0.240051,0.808329,-0.905498
9167981883,0.142051,0.808329,-0.905498
9168001543,0.338051,0.661329,-1.052498
9168021204,0.289051,0.710329,-1.003498
9168040864,0.142051,0.808329,-1.052498
9168060524,0.387051,0.661329,-0.905498
9168080185,0.338051,0.710329,-0.954498
9168099846,0.289051,0.759329,-0.905498
9168119507,0.387051,0.661329,-0.905498
9168139166,0.240051,0.710329,-0.954498
9168158827,0.289051,0.759329,-0.856498
9168178486,0.289051,0.710329,-1.052498
9168198147,0.289051,0.759329,-0.905498
9168217808,0.240051,0.759329,-1.003498
9168237469,0.338051,0.710329,-0.954498
9168257131,0.338051,0.759329,-0.905498
9168276792,0.289051,0.710329,-0.954498
9168296454,0.240051,0.759329,-1.052498
9168316116,0.387051,0.661329,-0.954498
9168335776,0.240051,0.808329,-0.954498
