Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9166350972,0.048518,0.007051,-0.043813,0.284789,0.782000,-0.555542
9166353475,0.109117,-0.053833,0.017279,0.284780,0.783453,-0.553342
9166355977,0.169706,-0.114994,0.017729,0.283358,0.786386,-0.553335
9166358481,0.108913,-0.114710,0.017620,0.283383,0.787846,-0.554053
9166360984,0.048014,-0.175058,0.078484,0.284104,0.783472,-0.557727
9166363486,-0.073373,-0.113280,0.138522,0.277603,0.786466,-0.558505
9166365989,-0.073225,-0.052611,0.077505,0.278272,0.784990,-0.554862
9166368492,-0.012230,0.069017,0.076880,0.278280,0.786447,-0.554121
9166370994,0.048648,0.129083,-0.044636,0.283376,0.785662,-0.555529
9166373497,0.109382,0.128497,-0.105140,0.282583,0.782747,-0.552643
9166376000,0.109231,0.067527,-0.104755,0.281111,0.785670,-0.548259
9166378504,0.048332,0.007121,-0.043852,0.280402,0.784954,-0.550461
9166381007,0.048307,0.007416,0.016784,0.281923,0.784225,-0.557016
9166383510,0.109139,0.068391,0.077153,0.286253,0.779803,-0.558461
9166386012,0.109221,0.129300,0.076777,0.281875,0.780578,-0.556315
9166388515,0.169926,0.129011,0.076856,0.279676,0.783508,-0.551940
9166391018,0.109017,0.068289,0.077080,0.285492,0.780532,-0.554816
9166393520,0.108750,-0.053592,0.077760,0.279663,0.777687,-0.556363
9166396023,0.108600,-0.114505,0.078087,0.277490,0.779168,-0.555646
9166398526,0.108450,-0.175399,0.078414,0.279010,0.781348,-0.559259
9166401029,0.108416,-0.175344,0.078390,0.278266,0.781352,-0.557809
9166403532,0.108382,-0.175289,0.078365,0.280414,0.779138,-0.557073
9166406034,0.169203,-0.114553,0.078093,0.278926,0.779875,-0.553436
9166408537,0.108652,0.007295,0.016638,0.278207,0.781340,-0.552702
9166411040,0.108743,0.067925,-0.044341,0.276844,0.784285,-0.557801
9166413542,0.169449,0.067656,-0.044223,0.280454,0.782783,-0.557043
9166416045,0.169270,0.007001,0.016765,0.275333,0.782835,-0.554182
9166418548,0.169092,-0.053634,0.077734,0.276804,0.781368,-0.557095
9166421051,0.108290,-0.053072,0.138227,0.283342,0.784928,-0.553347
9166423553,0.168986,-0.053007,0.198910,0.283270,0.779821,-0.551929
9166426056,0.108193,-0.052742,0.198744,0.281105,0.782032,-0.551206
9166428559,0.047545,0.008156,0.137603,0.280405,0.779864,-0.555608
9166431062,-0.013084,0.069035,0.076482,0.281883,0.780579,-0.557045
9166433564,0.047553,0.007539,0.016292,0.286988,0.779797,-0.559183
9166436067,0.108045,-0.114572,0.017094,0.284105,0.782017,-0.559197
9166438570,0.107779,-0.236396,0.017792,0.287731,0.780519,-0.559898
9166441073,0.047015,-0.236370,-0.042939,0.283337,0.779835,-0.557764
9166443575,0.107749,-0.236841,-0.103444,0.282667,0.783493,-0.559202
9166446078,0.047082,-0.175291,-0.043245,0.284104,0.783472,-0.557727
9166448581,0.047067,-0.175236,-0.043232,0.286954,0.779789,-0.556265
9166451084,-0.013562,-0.114299,-0.104296,0.285444,0.776158,-0.554851
9166453586,-0.013441,-0.053334,-0.104615,0.284751,0.775446,-0.558512
9166456089,-0.013321,0.007613,-0.104934,0.284808,0.779822,-0.559207
9166458592,-0.013210,0.068837,-0.044631,0.286972,0.778339,-0.559194
9166461095,-0.013090,0.129745,-0.044969,0.284056,0.778370,-0.558497
9166463597,-0.073825,0.129953,-0.045058,0.282611,0.779844,-0.557772
9166466100,-0.073802,0.129912,-0.045044,0.282603,0.778387,-0.558513
9166468603,-0.073895,0.068942,-0.044678,0.278927,0.779148,-0.554171
9166471106,-0.013248,0.007742,-0.044208,0.278926,0.779875,-0.553436
9166473608,0.047379,-0.053439,-0.043739,0.278934,0.781331,-0.552694
9166476111,0.047365,-0.053422,-0.043725,0.279686,0.781328,-0.554875
9166478614,-0.013283,0.008070,0.016455,0.278992,0.782799,-0.556330
9166481128,-0.073777,0.129878,-0.044980,0.279686,0.780601,-0.555610
9166483618,-0.073531,0.251994,0.014953,0.281172,0.782773,-0.556306
9166486121,-0.073499,0.251618,-0.045674,0.281873,0.783487,-0.553374
9166488624,-0.073592,0.190609,-0.045308,0.278247,0.784258,-0.553409
9166491126,-0.073792,0.068393,-0.105212,0.274622,0.784302,-0.554178
9166493629,-0.073759,0.068075,-0.165801,0.275333,0.783563,-0.553447
9166496132,-0.073620,0.128983,-0.166101,0.273887,0.784309,-0.553457
9166498634,-0.073615,0.129536,-0.044805,0.275348,0.785021,-0.553435
9166501137,-0.073843,0.008229,0.077158,0.278231,0.784254,-0.551950
9166503640,-0.013437,-0.174515,0.138915,0.278238,0.784983,-0.551944
9166506143,-0.013424,-0.174756,0.078249,0.279733,0.786430,-0.554105
9166508645,-0.013420,-0.174702,0.078225,0.278306,0.784270,-0.558515
9166511148,-0.013415,-0.174647,0.078200,0.276110,0.782838,-0.558550
9166513651,-0.013420,-0.174295,0.138798,0.279703,0.780605,-0.557069
9166516153,0.047207,-0.235419,0.139210,0.281172,0.782773,-0.556306
9166518656,0.108039,-0.174367,0.199541,0.281195,0.785688,-0.555553
