Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9166350368,-0.509043,-0.946629,0.773625
9166401272,-0.500111,-0.937761,0.783493
9166452182,-0.500033,-0.937189,0.812920
9166503091,-0.509021,-0.946602,0.773269
9166554009,-0.500100,-0.937748,0.783312
9166604920,-0.500126,-0.937939,0.773501
9166655824,-0.508956,-0.937566,0.783233
9166706737,-0.509023,-0.946445,0.783526
9166757658,-0.500182,-0.946805,0.773613
9166808569,-0.500080,-0.937564,0.793213
9166859481,-0.491228,-0.937910,0.783119
9166910394,-0.500094,-0.937741,0.783222
9166961305,-0.491268,-0.938279,0.763323
9167012216,-0.500069,-0.937551,0.793029
9167063126,-0.500038,-0.928875,0.783110
9167114039,-0.500120,-0.937932,0.773411
9167164940,-0.508915,-0.928878,0.773132
9167215844,-0.508965,-0.937737,0.773156
9167266755,-0.508973,-0.937586,0.783505
9167317666,-0.500151,-0.946607,0.783333
9167368577,-0.508905,-0.928707,0.783212
9167419492,-0.500105,-0.937755,0.783403
9167470412,-0.500119,-0.938090,0.763160
9167521313,-0.509032,-0.946616,0.773447
9167572233,-0.509021,-0.946602,0.773269
9167623145,-0.500096,-0.937584,0.793488
9167674056,-0.491305,-0.946803,0.783593
9167724960,-0.491310,-0.946967,0.773423
9167775876,-0.508973,-0.937586,0.783505
9167826788,-0.500131,-0.937946,0.773590
9167877720,-0.509017,-0.946438,0.783435
9167928608,-0.508993,-0.937770,0.773601
9167979520,-0.509055,-0.946643,0.773803
9168030436,-0.508965,-0.937737,0.773156
9168081342,-0.500197,-0.955302,0.793525
9168132242,-0.491243,-0.938088,0.773133
9168183153,-0.509064,-0.955133,0.793628
9168234066,-0.508900,-0.928700,0.783122
9168284974,-0.500063,-0.937544,0.792937
9168335888,-0.491095,-0.919994,0.792797
9168386800,-0.500063,-0.937544,0.792937
9168437707,-0.500166,-0.946784,0.773346
9168488614,-0.500135,-0.938110,0.763423
9168539516,-0.500171,-0.946791,0.773435
9168590433,-0.509120,-0.955679,0.763838
9168641338,-0.509104,-0.947182,0.743923
9168692246,-0.500237,-0.947351,0.743826
9168743157,-0.509203,-0.947941,0.704559
9168794070,-0.509175,-0.947906,0.704161
9168844988,-0.491596,-0.966185,0.694643
9168895902,-0.518089,-0.956432,0.714434
9168946817,-0.509318,-0.957515,0.664770
9168997731,-0.518293,-0.966595,0.645331
9169048645,-0.518272,-0.966411,0.655232
9169099564,-0.518211,-0.957538,0.655030
9169150481,-0.518267,-0.966403,0.655159
9169201392,-0.518132,-0.948644,0.654609
9169252306,-0.518278,-0.966418,0.655305
9169303227,-0.500514,-0.966400,0.675086
9169354146,-0.509297,-0.957331,0.674668
9169405067,-0.500380,-0.956960,0.704430
9169455982,-0.500289,-0.947733,0.724192
9169506895,-0.491422,-0.947902,0.724098
9169557810,-0.500253,-0.955848,0.763739
9169608715,-0.500140,-0.938117,0.763511
9169659621,-0.482412,-0.938461,0.763400
9169710535,-0.491198,-0.929077,0.783461
9169761445,-0.491239,-0.937766,0.793569
