Timestamp (us),Percentage (%),Power (dBm)
9166846649,80.000000,-60.000000
9167845245,80.000000,-60.000000
9168846320,80.000000,-60.000000
9169839899,76.000000,-62.000000
9170831016,80.000000,-60.000000
9171849632,82.000000,-59.000000
9172838268,78.000000,-61.000000
9173839286,82.000000,-59.000000
9174845423,82.000000,-59.000000
9175831469,78.000000,-61.000000
9176838194,76.000000,-62.000000
9177838672,66.000000,-67.000000
9178835092,68.000000,-66.000000
9179838400,84.000000,-58.000000
9180842000,78.000000,-61.000000
9181845604,88.000000,-56.000000
9182841664,82.000000,-59.000000
9183847803,84.000000,-58.000000
9184838891,80.000000,-60.000000
9185854602,76.000000,-62.000000
9186838585,90.000000,-55.000000
9187834650,82.000000,-59.000000
9188838250,92.000000,-54.000000
9189844459,90.000000,-55.000000
9190847955,78.000000,-61.000000
9191839042,78.000000,-61.000000
9192842645,78.000000,-61.000000
9193841241,78.000000,-61.000000
9194840012,84.000000,-58.000000
9195830953,84.000000,-58.000000
9196844639,78.000000,-61.000000
9197848381,84.000000,-58.000000
9198839224,82.000000,-59.000000
9199835346,70.000000,-65.000000
9200836914,78.000000,-61.000000
9201839649,82.000000,-59.000000
9202842432,82.000000,-59.000000
9203842208,76.000000,-62.000000
9204845819,76.000000,-62.000000
9205826916,84.000000,-58.000000
9206833736,82.000000,-59.000000
9207826607,86.000000,-57.000000
9208830172,86.000000,-57.000000
9209841580,82.000000,-59.000000
9210839871,84.000000,-58.000000
9211827155,86.000000,-57.000000
9212834554,80.000000,-60.000000
9213843254,86.000000,-57.000000
9214835047,92.000000,-54.000000
9215842877,90.000000,-55.000000
9216840128,82.000000,-59.000000
9217842531,58.000000,-71.000000
9218838622,74.000000,-63.000000
9219837213,88.000000,-56.000000
9220833333,94.000000,-53.000000
9221844509,92.000000,-54.000000
9222837989,98.000000,-51.000000
9223849093,82.000000,-59.000000
9224847716,76.000000,-62.000000
9225833761,82.000000,-59.000000
9226836163,86.000000,-57.000000
9227843558,80.000000,-60.000000
9228842042,82.000000,-59.000000
9229847345,76.000000,-62.000000
9230836745,78.000000,-61.000000
9231838821,70.000000,-65.000000
9232839017,76.000000,-62.000000
9233839899,78.000000,-61.000000
9234837741,70.000000,-65.000000
9235847210,68.000000,-66.000000
9236840756,66.000000,-67.000000
9237839343,74.000000,-63.000000
9238842546,78.000000,-61.000000
9239835120,86.000000,-57.000000
9240848191,80.000000,-60.000000
9241836193,84.000000,-58.000000
9242841901,80.000000,-60.000000
9243843480,84.000000,-58.000000
9244826739,92.000000,-54.000000
9245848088,92.000000,-54.000000
9246839130,84.000000,-58.000000
9247835244,84.000000,-58.000000
9248846358,90.000000,-55.000000
9249837918,82.000000,-59.000000
9251842086,82.000000,-59.000000
9252844161,80.000000,-60.000000
9253834227,86.000000,-57.000000
9254847860,78.000000,-61.000000
9255844012,86.000000,-57.000000
9256847530,74.000000,-63.000000
9257836102,78.000000,-61.000000
9258839659,72.000000,-64.000000
9259835739,78.000000,-61.000000
9260840923,76.000000,-62.000000
9261847920,78.000000,-61.000000
9262846512,78.000000,-61.000000
9263847596,78.000000,-61.000000
9264838657,86.000000,-57.000000
9265849752,88.000000,-56.000000
9266843433,90.000000,-55.000000
9267849416,94.000000,-53.000000
9268837096,88.000000,-56.000000
9269836568,94.000000,-53.000000
9270842687,74.000000,-63.000000
9271833727,74.000000,-63.000000
9272849824,90.000000,-55.000000
9273835889,76.000000,-62.000000
9274834468,82.000000,-59.000000
9275838052,84.000000,-58.000000
