Timestamp (us),Temperature (degC)
9166648801,30.225000
9167649897,30.250000
9168650995,30.250000
9169652092,30.250000
9170653191,30.250000
9171654289,30.250000
9172655385,30.250000
9173656484,30.250000
9174657582,30.250000
9175658682,30.250000
9176659780,30.250000
9177660878,30.250000
9178661976,30.250000
9179663075,30.250000
9180664175,30.250000
9181665274,30.250000
9182666372,30.250000
9183667471,30.250000
9184668579,30.250000
9185669671,30.350000
9186670769,30.299999
9187671868,30.275000
9188672967,30.375000
9189674067,30.375000
9190675167,30.375000
9191676264,30.375000
9192677362,30.350000
9193678461,30.250000
9194679561,30.350000
9195680658,30.375000
9196681756,30.375000
9197682855,30.375000
9198683952,30.250000
9199685052,30.250000
9200686149,30.250000
9201687245,30.250000
9202688342,30.250000
9203689440,30.250000
9204690538,30.150000
9205691636,30.174999
9206692732,30.250000
9207693827,30.250000
9208694923,30.250000
9209696019,30.174999
9210697116,30.125000
9211698212,30.125000
9212699307,30.125000
9213700402,30.225000
9214701498,30.174999
9215702594,30.125000
9216703689,30.125000
9217704783,30.125000
9218705875,30.125000
9219706969,30.049999
9220708063,30.000000
9221709156,30.000000
9222710251,30.000000
9223711344,30.100000
9224712437,30.075001
9225713528,30.000000
9226714621,30.000000
9227715713,30.000000
9228716804,30.000000
9229717895,30.000000
9230718988,29.975000
9231720079,29.875000
9232721169,29.875000
9233722259,29.875000
9234723349,29.875000
9235724440,29.875000
9236725530,30.000000
9237726620,29.900000
9238727711,29.950001
9239728801,29.975000
9240729890,29.875000
9241730977,29.875000
9242732066,29.775000
9243733154,29.750000
9244734242,29.750000
9245735332,29.750000
9246736420,29.875000
9247737507,29.799999
9248738594,29.750000
9249739681,29.750000
9250740768,29.750000
9251741855,29.750000
9252742942,29.750000
9253744030,29.750000
9254745117,29.750000
9255746203,29.750000
9256747289,29.650000
9257748374,29.625000
9258749459,29.625000
9259750545,29.625000
9260751631,29.625000
9261752716,29.625000
9262753800,29.625000
9263754884,29.625000
9264755968,29.625000
9265757053,29.625000
9266758137,29.625000
9267759221,29.625000
9268760304,29.625000
9269761385,29.625000
9270762468,29.625000
9271763550,29.625000
9272764632,29.600000
9273765713,29.500000
9274766797,29.500000
9275767878,29.500000
