Timestamp (us),Percentage (%),Voltage (V),Charging Status
9598018916,81.924179,3.819242,0.000000
9599019448,81.916122,3.819161,0.000000
9600019980,81.925522,3.819255,0.000000
9601020513,81.894638,3.818946,0.000000
9602021044,81.912094,3.819121,0.000000
9603021577,81.902695,3.819027,0.000000
9604022108,81.895981,3.818960,0.000000
9605022643,81.909416,3.819094,0.000000
9606023178,81.886581,3.818866,0.000000
9607023709,81.879868,3.818799,0.000000
9608024240,81.885239,3.818853,0.000000
9609024771,81.881203,3.818812,0.000000
9610025302,81.883896,3.818839,0.000000
9611025833,81.877182,3.818772,0.000000
9612026363,81.870468,3.818705,0.000000
9613026895,81.854355,3.818544,0.000000
9614027431,81.866440,3.818665,0.000000
9615027963,81.843605,3.818436,0.000000
9616028495,81.838242,3.818383,0.000000
9617029026,81.844948,3.818449,0.000000
9618029565,81.846298,3.818463,0.000000
9619030098,81.836899,3.818369,0.000000
9620030629,81.839569,3.818396,0.000000
9621031161,81.835556,3.818356,0.000000
9622031692,81.808701,3.818087,0.000000
9623032226,81.820778,3.818208,0.000000
9624032756,81.787216,3.817872,0.000000
9625033292,81.810043,3.818100,0.000000
9626033824,81.811386,3.818114,0.000000
9627034354,81.819427,3.818195,0.000000
9628034885,81.796616,3.817966,0.000000
9629035425,81.791245,3.817912,0.000000
9630035958,81.797958,3.817979,0.000000
9631036489,81.795265,3.817953,0.000000
9632037020,81.812729,3.818127,0.000000
9633037550,81.795273,3.817953,0.000000
9634038086,81.768417,3.817684,0.000000
9635038617,81.787209,3.817872,0.000000
9636039149,81.773788,3.817738,0.000000
9637039725,81.745583,3.817456,0.000000
9638040256,81.765732,3.817657,0.000000
9639040787,81.767075,3.817671,0.000000
9640041333,81.761703,3.817617,0.000000
9641041864,81.765732,3.817657,0.000000
9642042395,81.748268,3.817483,0.000000
9643042926,81.756332,3.817563,0.000000
9644043456,81.754990,3.817550,0.000000
9645043987,81.730820,3.817308,0.000000
9646044518,81.738876,3.817389,0.000000
9647045049,81.728127,3.817281,0.000000
9648045580,81.728134,3.817281,0.000000
9649046111,81.725441,3.817255,0.000000
9650046643,81.720070,3.817201,0.000000
