Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9597914243,-0.091634,0.919460,-0.480036
9597934868,-0.042634,0.870460,-0.529036
9597955494,-0.091634,0.919460,-0.529036
9597976118,-0.140634,0.870460,-0.529036
9597996741,-0.091634,0.919460,-0.529036
9598017364,-0.042634,0.870460,-0.480036
9598037986,0.006366,0.870460,-0.480036
9598058607,-0.042634,0.870460,-0.529036
9598079230,-0.091634,0.919460,-0.480036
9598099852,-0.042634,0.968460,-0.382036
9598120475,-0.042634,0.870460,-0.333036
9598141097,-0.091634,0.870460,-0.431036
9598161720,-0.091634,0.968460,-0.431036
9598182343,-0.140634,0.968460,-0.431036
9598202963,-0.091634,0.870460,-0.480036
9598223585,-0.091634,0.870460,-0.480036
9598244207,-0.042634,0.919460,-0.529036
9598264829,-0.042634,0.919460,-0.480036
9598285450,-0.140634,0.919460,-0.431036
9598306073,-0.189634,0.919460,-0.480036
9598326696,-0.091634,0.968460,-0.480036
9598347320,-0.091634,0.919460,-0.382036
9598367943,-0.091634,0.919460,-0.480036
9598388566,-0.042634,0.919460,-0.382036
9598409189,0.006366,0.821460,-0.529036
9598429812,-0.042634,0.919460,-0.480036
9598450435,-0.091634,0.919460,-0.431036
9598471059,-0.042634,0.919460,-0.529036
9598491683,-0.042634,0.919460,-0.431036
9598512306,-0.091634,0.968460,-0.529036
9598532931,-0.042634,0.919460,-0.480036
9598553554,-0.042634,0.870460,-0.480036
9598574178,-0.091634,0.870460,-0.480036
9598594802,-0.091634,0.821460,-0.480036
9598615426,-0.091634,0.968460,-0.382036
9598636050,-0.042634,0.919460,-0.578036
9598656673,-0.091634,0.919460,-0.431036
9598677296,0.006366,0.821460,-0.480036
9598697919,0.055366,0.870460,-0.431036
9598718544,-0.140634,1.066460,-0.431036
9598739171,-0.091634,0.968460,-0.480036
9598759798,-0.042634,0.870460,-0.382036
9598780425,-0.140634,0.870460,-0.431036
9598801052,-0.042634,0.870460,-0.529036
9598821680,-0.140634,0.919460,-0.529036
9598842306,0.006366,0.919460,-0.431036
9598862929,-0.140634,0.870460,-0.480036
9598883554,-0.042634,0.919460,-0.480036
9598904178,-0.042634,0.870460,-0.431036
9598924802,0.055366,0.870460,-0.431036
9598945426,-0.042634,0.968460,-0.333036
9598966050,-0.042634,0.968460,-0.333036
9598986675,0.006366,0.919460,-0.382036
9599007299,0.055366,0.919460,-0.333036
9599027922,0.006366,0.968460,-0.235036
9599048545,-0.091634,0.968460,-0.284036
9599069168,-0.042634,0.968460,-0.284036
9599089790,-0.042634,0.968460,-0.333036
9599110414,-0.091634,0.968460,-0.480036
9599131039,-0.091634,0.968460,-0.431036
9599151663,-0.042634,0.919460,-0.382036
9599172289,-0.189634,0.968460,-0.480036
9599192915,-0.140634,0.919460,-0.529036
9599213540,0.006366,0.919460,-0.578036
9599234164,-0.091634,0.919460,-0.529036
9599254788,-0.042634,0.870460,-0.725036
9599275411,-0.042634,0.821460,-0.872036
9599296038,-0.042634,0.821460,-0.823036
9599316666,-0.189634,0.870460,-0.823036
9599337292,-0.140634,0.821460,-0.921036
9599357919,-0.091634,0.772460,-0.970036
9599378544,-0.189634,0.772460,-0.823036
9599399170,-0.140634,0.723460,-0.823036
9599419797,-0.238634,0.772460,-0.823036
9599440424,-0.091634,0.870460,-0.676036
9599461051,-0.091634,0.723460,-0.627036
9599481678,-0.189634,0.723460,-0.676036
9599502304,-0.189634,0.723460,-0.627036
9599522932,-0.189634,0.772460,-0.529036
9599543559,-0.091634,0.674460,-0.578036
9599564185,-0.140634,0.821460,-0.627036
9599584812,-0.287634,0.772460,-0.872036
9599605438,-0.140634,0.723460,-0.823036
9599626064,-0.042634,0.625460,-0.823036
9599646690,-0.042634,0.723460,-0.823036
9599667317,-0.189634,0.968460,-0.970036
9599687944,-0.091634,0.919460,-1.019036
9599708570,-0.140634,0.674460,-0.921036
9599729196,-0.238634,0.674460,-0.823036
9599749822,-0.287634,0.821460,-0.970036
9599770448,-0.140634,0.723460,-1.068036
9599791074,-0.091634,0.919460,-0.725036
9599811699,-0.189634,0.968460,-0.627036
9599832326,-0.091634,0.870460,-0.578036
9599852952,-0.238634,1.017460,-0.333036
9599873577,-0.042634,1.115460,-0.333036
9599894201,0.055366,1.017460,-0.382036
