Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9597896442,-1.101507,-0.750718,-0.183837,-0.018362,0.977061,-0.174828
9597898941,-1.283697,-0.873389,-0.244998,-0.016942,0.980704,-0.175559
9597901441,-1.344356,-0.934726,-0.245035,-0.018396,0.981420,-0.172644
9597903940,-1.344356,-0.934726,-0.245035,-0.016976,0.985064,-0.173376
9597906440,-1.466379,-0.874156,-0.183967,-0.017751,0.990139,-0.176284
9597908940,-1.587927,-0.935684,-0.184018,-0.019180,0.988680,-0.169004
9597911439,-1.709260,-1.058550,-0.123019,-0.018443,0.987232,-0.170461
9597913939,-1.648157,-1.119698,-0.061954,-0.014820,0.987989,-0.171926
9597916439,-1.586840,-1.242185,0.060162,-0.014835,0.990170,-0.169743
9597918938,-1.586642,-1.303717,0.182286,-0.018508,0.994494,-0.171188
9597921438,-1.586673,-1.304104,0.304433,-0.012701,0.995273,-0.170476
9597923938,-1.464880,-1.303528,0.243387,-0.009796,0.995298,-0.170484
9597926438,-1.343103,-1.303146,0.243416,-0.009786,0.993844,-0.171939
9597928937,-1.281507,-1.486197,0.182288,-0.011238,0.993832,-0.171935
9597931437,-1.219928,-1.669443,0.182234,-0.011214,0.990196,-0.176301
9597933937,-1.097706,-1.791545,0.243290,-0.011205,0.988011,-0.182850
9597936436,-0.915072,-1.791358,0.365480,-0.013341,0.983638,-0.179206
9597938936,-0.732207,-1.852317,0.487646,-0.016990,0.985056,-0.182107
9597941436,-0.670858,-1.974417,0.487615,-0.020674,0.990833,-0.182824
9597943936,-0.670628,-2.035562,0.487592,-0.020699,0.994468,-0.179186
9597946435,-0.670612,-2.035368,0.426519,-0.021394,0.990830,-0.179184
9597948935,-0.731715,-1.974221,0.365454,-0.024252,0.984993,-0.180632
9597951434,-0.671041,-1.912691,0.304417,-0.023546,0.987177,-0.182089
9597953934,-0.611088,-1.668111,0.365596,-0.024255,0.985721,-0.178449
9597956434,-0.673144,-1.362768,0.426769,-0.023538,0.987181,-0.176996
9597958934,-0.734969,-1.118571,0.487919,-0.022845,0.990088,-0.182090
9597961433,-0.796302,-0.996278,0.426877,-0.022082,0.985736,-0.182820
9597963933,-0.797239,-0.751889,0.488041,-0.017707,0.984325,-0.179922
9597966433,-0.797699,-0.629598,0.488087,-0.021317,0.982115,-0.178457
9597968932,-0.920151,-0.446351,0.427053,-0.017704,0.985057,-0.174101
9597971432,-1.042405,-0.324636,0.488144,-0.016978,0.985062,-0.174831
9597973932,-1.287111,-0.019673,0.488201,-0.016256,0.985796,-0.173378
9597976431,-1.409825,0.224333,0.549337,-0.014824,0.988717,-0.170471
9597978931,-1.531586,0.224144,0.488235,-0.018422,0.985055,-0.169006
9597981431,-1.531126,0.101853,0.488190,-0.011859,0.982208,-0.169024
9597983931,-1.530650,-0.020244,0.427071,-0.013340,0.985828,-0.166837
9597986430,-1.530666,-0.020438,0.488144,-0.007537,0.985875,-0.171946
9597988930,-1.530880,0.040901,0.427094,-0.004627,0.985903,-0.169043
9597991429,-1.348214,0.041475,0.427136,-0.006824,0.988793,-0.164672
9597993929,-1.226206,-0.019288,0.427142,-0.008288,0.989504,-0.167578
9597996429,-1.043079,-0.141006,0.427139,-0.006096,0.988801,-0.163219
9597998928,-0.859969,-0.262917,0.488209,-0.005332,0.983719,-0.167586
9598001428,-0.737961,-0.323680,0.488214,-0.006779,0.982979,-0.168310
9598003928,-0.555295,-0.323106,0.488257,-0.001687,0.983029,-0.163231
9598006427,-0.372628,-0.322533,0.488299,-0.005325,0.983723,-0.163221
9598008927,-0.189486,-0.444057,0.427223,-0.007536,0.986605,-0.167580
9598011427,-0.006573,-0.504436,0.366169,-0.011136,0.982942,-0.166843
9598013927,0.054792,-0.626342,0.305064,-0.007512,0.982970,-0.171946
9598016426,0.055022,-0.687487,0.305042,-0.008215,0.980057,-0.173400
9598018932,0.055482,-0.809778,0.304996,-0.008953,0.981504,-0.172670
9598021425,0.238855,-0.992448,0.243897,-0.008971,0.983683,-0.171942
9598023925,0.300188,-1.114741,0.304939,-0.009645,0.977867,-0.171213
9598026425,0.300402,-1.176080,0.365990,-0.013987,0.976379,-0.168291
9598028925,0.239744,-1.237417,0.365953,-0.012566,0.979293,-0.172660
9598031424,0.179331,-1.359705,0.304820,-0.013313,0.980734,-0.177751
9598033924,0.180005,-1.543335,0.365825,-0.014729,0.975634,-0.182113
9598036424,0.058196,-1.544104,0.487944,-0.014738,0.977088,-0.179931
9598038923,-0.063598,-1.544680,0.548989,-0.015515,0.982892,-0.179928
9598041423,-0.307169,-1.545638,0.610006,-0.019866,0.981397,-0.183554
9598043923,-0.367795,-1.606588,0.487822,-0.017665,0.979969,-0.177740
9598046423,-0.489541,-1.606583,0.365647,-0.011878,0.982926,-0.177027
9598048922,-0.550430,-1.606775,0.365633,-0.016918,0.977798,-0.176287
9598051422,-0.672437,-1.546011,0.365627,-0.016881,0.974170,-0.173377
9598053921,-0.733326,-1.546203,0.365613,-0.015480,0.979992,-0.174108
9598056421,-0.794215,-1.546394,0.365599,-0.014027,0.980005,-0.174112
9598058921,-0.855104,-1.546585,0.365585,-0.011834,0.977843,-0.177028
9598061421,-0.916255,-1.486017,0.487740,-0.017650,0.979248,-0.171919
9598063920,-1.038032,-1.486400,0.487712,-0.013301,0.980011,-0.174114
9598066420,-1.159333,-1.608880,0.426565,-0.009660,0.979318,-0.172668
9598068919,-1.219746,-1.731168,0.365432,-0.010412,0.982217,-0.172666
9598071419,-1.158397,-1.853268,0.365400,-0.008983,0.985136,-0.171942
9598073919,-1.158183,-1.914607,0.426451,-0.007520,0.984425,-0.169036
9598076418,-1.157508,-2.098237,0.487456,-0.009710,0.985129,-0.171940
9598078918,-1.278825,-2.220910,0.487382,-0.013302,0.981470,-0.166838
9598081418,-1.399897,-2.404536,0.426213,-0.011859,0.982208,-0.169024
9598083918,-1.399436,-2.526826,0.426167,-0.011145,0.982937,-0.172664
9598086417,-1.398992,-2.649311,0.487195,-0.003187,0.988098,-0.165409
9598088917,-1.398532,-2.771602,0.487150,-0.010437,0.986582,-0.164662
9598091417,-1.397857,-2.955231,0.548155,-0.008245,0.985149,-0.164668
9598093916,-1.335834,-3.260961,0.609129,-0.006792,0.985162,-0.163945
9598096416,-1.396064,-3.444976,0.731193,-0.008248,0.985877,-0.162485
9598098916,-1.456278,-3.628797,0.792184,-0.009671,0.981502,-0.167575
9598101417,-1.577810,-3.690131,0.731060,-0.010472,0.989482,-0.170483
9598103915,-1.638698,-3.690322,0.731046,-0.009749,0.990216,-0.169029
9598106415,-1.638928,-3.629177,0.731068,-0.011924,0.988739,-0.174117
9598108914,-1.639191,-3.568418,0.853238,-0.014041,0.981457,-0.174839
9598111414,-1.517461,-3.568616,1.036486,-0.010448,0.986576,-0.171210
9598113914,-1.456112,-3.690716,1.036455,-0.013367,0.988002,-0.171930
9598116413,-1.334350,-3.690527,1.097557,-0.016961,0.983612,-0.171921
9598118913,-1.273707,-3.629383,1.158667,-0.016966,0.983610,-0.174831
9598121414,-1.395945,-3.507475,1.158684,-0.016254,0.985067,-0.176288
9598123913,-1.457064,-3.446521,1.158693,-0.016931,0.979980,-0.172649
9598126412,-1.457739,-3.262891,1.097687,-0.016937,0.980707,-0.172648
9598128912,-1.397524,-3.079070,1.036696,-0.016945,0.980702,-0.177742
9598131412,-1.215549,-2.895060,1.036807,-0.016187,0.977807,-0.173378
9598133911,-1.155596,-2.650480,1.097985,-0.022729,0.978477,-0.172633
9598136411,-0.974097,-2.344373,1.159215,-0.018412,0.980681,-0.186469
